Company Name,Company Link,Company Description
Adwanted,https://www.adwanted.com/,"AdWanted is the first online marketplace to disrupt distribution of ad spaces on traditional media (TV, radio, newspapers and magazines, outdoor, non media). The distribution and match between advertisers, their advertising agencies (buyers) and media representatives (sellers) have so far ben managed by various advertising sales and media buying agencies and departments, through intermediated, lengthy, and costly sales processes. AdWanted makes it easier, cheaper and faster for advertising agencies and media to match their needs through an independent, automated and accurate online marketplace. Whereas millions of VC money has been invested in the crowded advertising space for digital media, AdWanted is an unique investment opportunity in the distribution and sale of ad spaces for traditional media, representing more than 70% of all advertising spending.

    www.adwanted.com"
Aerotain,,
Aexea,http://www.aexea.com/,"We aim at providing competent IT Solutions. Founded and managed by hi-tech professionals with extensive experience in their respective fields, we are a futuristic, technology-driven organization catering to the needs of diverse clientele.
Our organizational strengths for rapid development of scalable, multi-user online applications, along with extensive content management features, for Internet and Intranet environments gives us an extra edge. We take pride in our abilities to constantly search for new ideas, adapt and innovate to ensure success in this ever-changing global market.
We believe in consistent delivery of projects and customer satisfaction. The solutions we offer best describe our customer's requirements - be it thorough on-site project management, or offshore development centers, we strive to meet our customers' requirements effectively. Our experienced manpower, with years of technical expertise and proven skills in their respective domains has enabled us to meet our customer's requirements efficiently.

    http://www.aexea.com"
Affinio,https://affin.io/,"Tactics Cloud is an audience modelling platform for digital advertisers and marketers who need in-depth audience insights to guide their strategy, planning and buying. Unlike traditional cookie/pixel-based tracking technologies, Tactics Cloud’s machine learning algorithm analyzes billions of social connections and features in real-time to find audiences with similar interests, behaviours and networks.

    affin.io"
Agogie,https://agogie.com/,"AGOGIE develops and markets wearable resistance products for the sports performance

    agogie.com"
Ahoi.Life,http://www.ahoi.life/,"We develop software that enables our customers to have healthier and happier lives. By addressing the changeable aspects of attitudes and behaviors, Ahoi provides bespoke interventions direct to your device. Ahoi.Life empowers you to be the best you can be.

    http://www.ahoi.life"
AIKIT digital,https://www.aikitdigital.com,"AIKIT Digital is a software development studio with offices in Prague and New York that focuses on a human approach and on driving authentic innovation. AIKIT Digital partners with world-class technology projects happening anywhere - at corporations and startups alike. Off-site and on-site development with distributed, high-performance teams ensure fluid expansion for capacity and rapid outputs.

    www.aikitdigital.com"
AIKIT Digital,http://www.aikitdigital.com/,"AIKIT Digital is a Czech-based full service software company with a human approach and a huge focus on driving innovation. AIKIT Digital does off-site and on-site development with distributed, high-performance teams. Experienced with cutting edge technologies such as: big data, IoT, BI and AI. 
We are seeking complex projects to satisfy our developers'​ appetite for solving enterprise problems with technology. Our stack includes: javascript, iOS, Android, React, Angular, node.js, Swift, Ruby-on-Rails, java, ASP.NET, as well as project management and quality assurance.
With offices in Prague and New York, we are always happy to brainstorm about new project prototypes.

    http://www.aikitdigital.com"
Aircloak,https://www.aircloak.com,"""Privacy is a Challenge in a Data-Driven World. Anonymization is generally considered
the most advanced solution to satisfy both privacy compliance, and usefulness of insights.
Data or Analytics are considered to be anonymous only when re-identification of users cannot
be accomplished even with additional knowledge – so it is a tough challenge.
This is why we developed Aircloak Insights based on the peer-reviewed Diffix algorithm.
It provides dynamic anonymization of database queries, requiring neither user knowledge about how to use it, nor separate data storage.
The data remains in your existing database and analysts continue to work with the same tools they work with today.
As a transparent proxy between database and toolchain all the heavy lifting is done in the background.""

    www.aircloak.com"
Airgreets GmbH,http://www.airgreets.com,"Founded in Munich in July 2016, Airgreets is the first company to co-host in six German cities. It operates in Berlin, Hamburg, Munich, Frankfurt Am Maine, Cologne, and Düsseldorf. It supports more than 300 hosts in total and is already in general use. It's open for 10,000 nights.
The founders of Airgreets will be able to see great potential in future home-sharing areas, both on the host and on the customer side, and will therefore, be able to see great potential in AirBnB. In addition, Airgreets receives more than 80% of five-star guest reviews.
Founders Julian Litter, Sebastian Drescher, and Florian Bogenschz have extensive experience in customer and market issues, digital transformation, operations, private equity, and strategy. Against this backdrop, they established the airline in 2016 and now have a large team. You are a home-sharer and an AirBnB residence.

    http://www.airgreets.com"
Aji Digital,https://aji.digital/fr/,"AJI DIGITAL is a startup providing a digital package (device + software) linked to a digital publishing platform for interactive walls.  Their goal is to make digital and interactive walls accessible to any business. To make this possible, Aji digital has set 2 major points: - A marketing approach with a very attractive monthly offer ""all included""​. - Assistance provided to the users in the process of their digital content creation. The platform can publish components for any kind of activity. It allows basic users to create media on their smartphones and automatically transfer them to our cloud and to their walls. Then, walls could be created in a few minutes with our ""ready to use""​ templates and components.

    aji.digital/fr"
AKINGO,http://www.akingo.com,http://www.akingo.com
Akoni,https://www.akonihub.com/home,"Akoni is a digital cash treasury manager, ensuring maximum returns through the portability of cash and cash management tools. This presents dual benefits in the current market: to Banks – addressing Open Banking risks to business loss; in addition to the Basel III Liquidity upside , and to Businesses - by increasing income relating to a languishing asset, cash. Decisions are based on client and market analytics, and a matching algorithm creates the bespoke portfolio of deposit products with automated re-allocation and prompts. Leveraging machine learning, Akoni provides levels of certainty relating to cashflow projections, company/sector data analytics and technology integration – with the benefit of improved financial outcomes to the client.

    www.akonihub.com/home"
Akular,https://akular.com/,"Augemented reality working with models from developers, architects, cities and shows them in real size geolocations. Can experience building in the environment it is in to help people visualize and analyze buildings and products before they are built.

    akular.com"
Aleksere,https://magid.com/,magid.com
Alertgy,http://www.alertgy.com/,"Alertgy revolutionizes the way diabetics can manage their disease through leading edge sensor and materials technologies. We improve the quality of life and medical treatment of diabetics with a wearable, inexpensive, truly non-invasive blood sugar monitoring technology that works with a smartphone. Our technology assures that the diabetic can accurately monitor and log their blood sugar levels and alert them, their loved ones and/or their caretakers if they are having a low or high blood sugar event.

    http://www.alertgy.com"
Allymatch,https://www.allymatch.com/#/?_k=it01lm,"allymatch is designed to help business, EDOs and research institutes succeed by finding the right partners for their next innovation or business venture.

    www.allymatch.com/#/?_k=it01lm"
AlphaStreet,http://www.alphastreet.co/,"AlphaStreet removes the complexity out of investing decisions and empowers millions of individual investors to better manage their investments. It will make the process of investing simple, demystified, social and empowering.

    http://www.alphastreet.co"
alugha,https://alugha.com,alugha.com
Alumnifire,https://alumnifire.com/,"Alumnifire is the first digital networking platform powered by alumni. We give alumni and alumni offices the tools to launch free grassroots alumni networks for their communities. Our core product is an online platform that activates the members of affinity communities and identifies, catalogues, and makes accessible the value they are willing to offer one another, from jobs and internships to business opportunities and insider perks. Alumnifire makes it easy for members to navigate and leverage one of the most powerful networks they have to discover career opportunities, solicit expert advice, and find trusted mentorship. Alumnifire serves communities from colleges and universities, to high schools, to corporations, to nonprofits. Alumnifire has been launched in over 600 alumni communities, is live in over 85 and has official partnerships with over 25 alumni offices, including The University of Texas and The Ohio State University. Alumnifire sells 1) administrative tools to alumni offices and 2) employer tools to organizations to increase referral hiring through alumni networks.

    alumnifire.com"
Amalyze,https://www.amalyze.com,"AMALYZE AG helps sellers and vendors to maximize their sales on Amazon. They gather large quantities of data and provide that information to customers. Starting in 2017 they became the global provider of Amazon data in Germany and are now extending their business to the U.S. AMALYZE is aiming to be the world’s leading provider of an all-in-one-toolbox for Amazon sellers and vendors, helping them to grow and maximize their Amazon business. Since 2017 AMALYZE is also a certified partner agency for Amazon’s DSP.

    www.amalyze.com"
Ambience Data,http://ambiencedata.com/,"Ambience Data provides remote real-time environmental monitoring by offering an IoT platform as a service. We accomplish this with our specialized hardware that receives data from the sensors, which then uses a commercial GSM or WiFi connection to wirelessly transmit the information to our servers. The live data is transmitted and available on our web-based dashboard in the form of graphs, charts, tables, maps, etc. Our dashboard requires zero programming skills, can be fully setup in a matter of minutes, and has a fully customizable user interface. Customers are also able to set thresholds on each sensor parameter and receive live alerts and daily reports in the form of either email or SMS notifications.

    http://ambiencedata.com"
Ameria,https://ameria.de/en/about-ameria/,"Customers increasingly desire a retail shopping experience that is exactly as fast, personalized, and service-oriented as they receive online. This is only possible when digital technologies revolutionize the POS. Ensuring a smooth customer journey through all channels and a systematic focus on customer preferences will become the hygiene factor of the future.

    ameria.de/en/about-ameria"
AMP,http://www.amusicalplace.com/,http://www.amusicalplace.com
Analyse2,http://analyse2.com,"Analyse provides assortment management solutions for food retailers and their suppliers. Solutions are based on a unique software tool that combines product attributes, consumer trends and sales data to help companies capitalize shopper understanding and build the optimal assortment.

    http://analyse2.com"
Another Garde,https://anothergarde.com/,anothergarde.com
Antiverse,http://www.antiverse.io/,"Antiverse is building a world-first computational antibody drug discovery platform to predict antibody-antigen binding and provide antibody drug candidates.
A combination of state of the art machine learning and phage display techniques is used to predict antibodies that bind to a given antigen target with high affinity. The resulting software can then take antigen target sequence, provided by the customer, and do a high-throughput screening of all possibilities of antibody sequences to detect the sequence that will produce a high-affinity antibody for the target. The customer will be provided with the sequences promptly, thus reducing the time typically required for antibody therapeutics discovery by 3 to 18 months.

    http://www.antiverse.io"
Apila,http://apila.fr,"Apila is the 1st geolocated real time app for Smartphones, GPS, and connected cars that integrates functionalities that allows drivers to primarily easily find parking spots - on and off streets - as well as related solutions such as navigation and mobile payment.

    http://apila.fr"
Apizee,https://apizee.com/,"Apizee SaaS platform enables easy roll-out of real-time customer engagement, visual assistance, enterprise collaboration as well as video conferencing services. Based on WebRTC, a disrupting telecom technology that provides a friction-less web-based conferencing experience, Apizee solutions and APIs are leveraged by major industry and software players such as Crédit Agricole, Bouygues Telecom, Enedis, Safran, ExxonMobil, AMA and Digitaleo.
Apizee brings a simplification shock in the interoperability of communication between different terminals and application environments. Real-time communications become universal, immediate, and effortless. This simplicity will finally make it possible to generalize on a large scale all unified communication solutions whose success was until now slowed by numerous technical barriers.

    apizee.com"
AppCityLife,https://www.appcitylife.com/,"APPCityLife connects people with cities through a complete end-to-end mobile and cloud platform where cities, developers, civic hackers, nonprofits, schools, and enterprise can publish robust mobile apps and chatbots with seamless Open Data integration and normalization. The CityLife® platform is powerful enough to support rapid prototyping for experienced coders and developers while also being easily accessible to those without any previous coding experience. APPCityLife empowers individuals to create solutions and develop mobile apps which address barriers to access and remove friction from interactions which they've identified within their own community. Their mobile app templates are fully native and open source to quickly share solutions between agencies and cities. The team supports STEM education initiatives from early education to higher education; They partner with schools, continuing education programs, STEM-focused groups, and adult education institutions.

    www.appcitylife.com"
Applied Blockchain,https://appliedblockchain.com/,"Silent Data by Applied Blockchain is a platform that enables companies to collaborate and gain assurances of sensitive data held by their partners without requiring those partners to share or reveal their sensitive data. Applied Blockchain has also developed bespoke blockchain solutions for some of the world's largest organizations.

    appliedblockchain.com"
Appsco,http://www.appsco.com/,http://www.appsco.com
Aquantix AI,https://www.aquantix.ai/,"In the last few years, financial institutions and banks, in particular, have faced an increase in regulations surrounding climate risk disclosures and analysis from regulatory frameworks such as TCFD. Whereby, these rules are set to become more stringent in the years to come.
The problem financial institutions face is that they do not have access to granular data or software that can be catered to analyze the risks on their portfolios and assets. Which leads to struggles with reporting and disclosing their climate-risks. This is the main problem that we are solving.

    www.aquantix.ai"
Archon,http://archondrones.com,"Archon is launching a product that will allow the deployment of persistent autonomous operations with fleets of automated flying drones in a legal, reliable way. We aim for the disruption of the video-surveillance business by providing a network of landing/recharging stations and drones connected to the existing control rooms of security service providers.

    http://archondrones.com"
Arctic Startup,http://arcticstartup.com/,"Unity through collaboration, and hence unlimited access to opportunities for everyone we work with. We want to encourage entrepreneurship that changes the world and makes it a better place for future generations. We support businesses that have meaning and entrepreneurs that bush boundaries of what they’d thought possible.

    http://arcticstartup.com"
ArtDesignPainting,https://www.artdesignpainting.paris/,"Imagine a painting that captures all of the top sports emotions, highlights and memories in one work of art. Now, Imagine that painting coming to life through augmented reality. This is what ArtDesignPainting PARIS offers to sports fans: a « 100% connected » way of improving engagement and emotion.

    www.artdesignpainting.paris"
Artmyn,,
Atooma,http://atooma.com,"Atooma is a cloud intelligence hub to provide mobile users a context-aware experience through the connection between software sensors and physical world's hard sensors like wearable devices, smart tv, connected cars, and potentially many other devices. Atooma is available on desktop and Android, with a strong community that every day creates smart actions without any tech skill, and more than 140k users take advantage of this collective intelligence to run smart actions.

    http://atooma.com"
Attrecto,https://www.attrecto.com,www.attrecto.com
Audiolize,http://www.audiolize.net,"Audiolize GmbH was founded 2013 in Zurich

    http://www.audiolize.net"
Augury Systems,http://www.augury.com/,"""""Shazam""""

    http://www.augury.com"
Authorea,https://www.authorea.com/,"Authorea is the category leader in making research collaboration more efficient. We make it easy to write up scientific research and technical documents with your collaborators and produce more accurate research faster. Tens of thousands of researchers at prestigious scholarly institutions are using Authorea to prepare their manuscripts together. We are backed by some of New York City’s leading venture capital firms.

    www.authorea.com"
AVA AG,https://www.a-v-a.com,www.a-v-a.com
Azoti.com,,"Azoti.com enables hyperlocal food sourcing and sustainability for major foodservice & retail buyers via a unique planning and ordering SaaS solution that complements & enhances the existing food value chain reducing food waste, costs while increasing profits for all."
B-amsterdam,http://www.b-amsterdam.nl/,"B. Amsterdam is the creator of the biggest startup hub in Amsterdam. With their holistic approach of inviting a whole city into their office they inspire the companies located there and create a real senses of community.
""""""

    http://www.b-amsterdam.nl"
B-Interaktive,https://b-interaktive.com,"Since 2011, b-interaktive has been turning classic tabletop games into social experiences for smartphones and tablets. The Germany based company with a branch office in Poland has raised the bar in the international mobile business. Working with renowned brands and global partners allowed b-interaktive to create innovative products and connect people around the world via all popular mobile platforms.

    b-interaktive.com"
Babbler,http://babbler.fr/,"Babbler is an innovative PR agency that has created the first social network between brands and the media. In few clicks reporters can do advanced research of targeted brand contents (HR pics, video, press kits..)

    http://babbler.fr"
Bacon Bacon,http://www.baconbaconhq.com/,"Bacon Bacon makes borrowing and investing in friends and family simple using people's social capital to enable them to get a loan.

    http://www.baconbaconhq.com"
Bank Vault,http://www.BankVault.com,"An alumni from VentureOut FinTech Australia (OCT 2017). BankVault stops bank account hacking. It secures online transactions by creating invisible remote endpoints which sidestep hackers and malware. BankVault creates secure Passwordless access to online services, and hardens user input of sensitive data such as PINs, SSN, CVV codes. 10-100x faster to deploy than competing solutions, low-cost rollouts can be done in hours (compared to months) without client software, infrastructure changes or training. 

    http://www.BankVault.com"
BankVault,https://www.bankvaultonline.com/,"BankVault stops bank account hacking It secures online transactions by creating invisible remote endpoints which sidestep hackers and malware. Secure | Anonymous | Untraceable. Problem: Cyber crime is growing exponentially to $2 Trillion by 2019. 99% of cyber attacks target PC/Smartphones where browsers used for banking have no security. Banks cannot control who customers share their device with or what they install. In every bank cyber heist the security Fob/SMS is defeated. While banks investigate, cash flow is crippled, which can destroy a business. Solution: BankVault sidesteps the users device ensuring online transactions are secure, anonymous and untraceable to hackers.

    www.bankvaultonline.com"
BaseN,https://www.basen.net/,"BaseN provides new ways to capture, process, visualize and control enormous amounts of data in real-time - which can help businesses in various industries improve what they do, and how they do it.

    www.basen.net"
Beast Technologies,https://www.thisisbeast.com/en,www.thisisbeast.com/en
Beat,http://beat.no,http://beat.no
Behabo,http://behabo.de/,"Our secret of success is to give your business the look and feel you need to succeed with our digital solutions.
Consistently customer focused, we work individually to your needs, with the highest quality standards and the latest best practice methods of the IT market to give you one to guarantee substantial added value. Target-oriented strategies, a high degree of creativity, a sound know-how in technological implementation and the love for extraordinary solutions, is what sets us apart.
Apps, websites and games are our specialty.
Yes, we are different. And better.
But you have to convince yourself of that.

    http://behabo.de"
BestMile,http://bestmile.com/,"BestMile develops a cloud based intelligence for driverless vehicles. This fleet management software brings coherence to autonomous vehicle fleets by allowing them to be operated together as a public transport system. BestMile’s platform allows to plan

    http://bestmile.com"
Beyond Sports,http://www.beyondsports.nl,"Beyond Sports builds Virtual Reality simulations of real soccer matches

    http://www.beyondsports.nl"
BG3000,http://www.bg3000.de,http://www.bg3000.de
BHS TECH,http://www.bhs-technologies.com/,"BHS Technologies is a medical device manufacturer who is producing and selling devices for the surgical market. The company will bring a revolutionary surgical microscope to the world market in 2020 to enable surgeons using revolutionary robotic, virtual reality and live frame processing technology in the operating theatre. The company has already several letter of interests from surgeon and medical device distributors who what to use or sell this new technology. In 2019, BHS won the Tyrolean Innovation Award for its RoboticScope in the ""Technical Innovations"" category.

    http://www.bhs-technologies.com"
BigPicture (GameCoach),http://www.bigpi.co/,"Bigpicture Interactive, Inc. provides content specialized in the gaming experience
for esports fans all over the world. We deliver our unique set of values through
a platform that allows us to foster esports star players, develop fascinating gaming leagues,
and communicate with fans all over the world.

    http://www.bigpi.co"
Billfront,https://www.billfront.com/,"BillFront operates a proprietary FinTech Lending & Factoring platform through which it provides working capital financing solutions to Technology and Media Companies worldwide. By providing faster access to their global receivables, BillFront fuels the growth of its B2B clients.  Their self-developed, cloud-based and API-enabled platform connects with its customers’ accounting systems, media campaign dashboards and bank accounts. These features, combined with its deep industry know-how, allow for computer-aided credit scoring, liquidity and covenant monitoring, as well as the real-time tracking of collateral.

    www.billfront.com"
BioPic,http://www.biopic.it/it/,http://www.biopic.it/it
Biowatch,https://biowatchid.com/,"BIOWATCH is in the business of wearable biometrics. Its mission is to provide an alternative solution to current authentication methods such as PINs, passwords, cards, and keys. BIOWATCH's unique and protected technology integrates nicely inside fashion wristbands, smartwatches, and luxurious watch straps

    biowatchid.com"
BirdieMatch,http://www.birdiematch.com,"BirdieMatch is the first job portal with real matching for professionals and executives in the commercial sector.
Their logistics job listings make the search for a job easier, quicker and cheaper than ever before. More than 500 matching criteria, based on many years of logistics expertise, ensure goal-oriented candidate proposals. BirdieMatch is therefore more efficient and successful than any other job ad.

    http://www.birdiematch.com"
Birya BioTech,http://biryabiotech.com/,"Birya BioTech's system takes EpiPen autoinjectors where the drug inside has expired (12-18 months after purchase), securely opens it up using a specially designed, patent-pending device, and refills the epinephrine inside. Our system is small and mobile so this can take place in a local pharmacy within a few minutes. Schools will send Briya BioTech their unused EpiPens at the end of a school year for a bulk refill. Pharmacies will be able to refill their leftover stock and will be able to use our system to offer autoinjector refills to patients. Similar bulk customers include hospitals, airlines, summer camps, restaurants, EMS companies, and more.

    http://biryabiotech.com"
Blacbird,,"In  close  cooperation  with  the  Fraunhofer  IISB  in  Erlangen,  Blacbird  Technologies  developed  a  novel  way  of  monitoring  electrical  networks.  Beyond  measuring  simple  state  variables  (currents  or  voltages),  like  most  ofour  competitors,  we  analyze  the  dynamic  behavior  (complex  impedance)  of  the  connected  circuit.  This  enables  usto  detect  changes  dueto  aging  effects,  status,  defects  or  modifications  and  create  a  unique  fingerprint  of  the  system  in  real-time.  State-of-the-art  measurement  techniques,  that  identify  the  complex  grid  impedance  inject  a  mono-frequent  test  signal  and  measure  the  response  amplitude  and  phase.  This  technique  is  very  accurate,  but  expensive,  takes  very  long  and  must  be  adapted  to  every  specific  use  case.  We  developed  a  way  of  determining  this  property,  that  is  very  cost-efficient,  faster  and  can  beaddedto  nearly  every  electrical  system  in  a  modular  way."
Black Engine AeroSpace,https://www.bea-space.com/,"A new space company which is the product of a twenty year long development of innovative ceramic high performance rocket thrust chamber technology. The technology was based initially on transpiration cooled high enthalpy CMC (Ceramic Matrix Composites) space structures.

    www.bea-space.com"
Black Tie Ventures,http://www.blacktieventures.com/,"Black Tie Ventures (BTV) is a developer and operator of Social Casino games. We have developed a unique product and marketing approach to capitalize on the opportunities offered by the booming Social Casino industry. With over 170 Million social casino players world-wide

    http://www.blacktieventures.com"
Blendlee,http://blendlee.com/,"Learning and teaching are definitely very challenging.
We want to improve the effectiveness of learning through media.
As we live in the era of media, why don’t we use it more?
blendlee makes great media available for trainers and educators.
We develop story-based multimedia learning content and put it available in our online platform.
We help educators turn unmotivated learners into highly skilled professionals.
blendlee creates stories that make information easy to understand and to remember.
To create a complete experience, we put together many different medias, for example:
◊ Scenario videos with characters
◊ Simulations
◊ Virtual Reality

    http://blendlee.com"
Blink Book,http://editions-animees.com,"Edition Animées publishes animated coloring book: old-fashioned paper coloring books that use augmented reality to turn individual artworks into animated cartoons thanks to a free app called BlinkBook.

    http://editions-animees.com"
Blooie,https://bloo.ie/,"Blooie is a real-time engagement platform for online businesses to personally engage with their customers to increase conversations.

    bloo.ie"
Blottr,https://blottr.com,blottr.com
Blubrake,http://www.blubrake.it,http://www.blubrake.it
Blue Genes,,"African-American and various marginalized communities are 20% more likely to be diagnosed with a serious mental illness than White Americans, yet less than half of this underserved population actually receives treatment. Blue Genes is here to change that through an AI-driven mental health platform that provides culturally-competent digital therapy integrated with physical channel services. The core technology is wrapped in a lifestyle brand that uses trusted, cultural entry points like music, arts, sports, fashion, etc. to have conversations with people about their mental health and guide them to personalized treatment. Blue Genes combines science, technology, design, and culture to provide people with safe, affordable, and competent treatment anytime, anywhere."
BlueBird,http://www.blue-bird-tech.com/,http://www.blue-bird-tech.com
BLUICE,,
Bluum,https://www.bluum.com/,www.bluum.com
BoatForRent,http://boatforrent.com/,"BoatForRent.com is the ultimate boat rental marketplace: connecting people looking for boats for rent directly to boat owners and rental companies.

    http://boatforrent.com"
Bobler,http://bobler.com,"Bobler reinvents the way you address people. We make vocal messages relevant and easy-to-use in all daily situations, either when you're multitasking or on the go.

    http://bobler.com"
BoldArc,http://www.boldarc.com,"BoldArc is a pioneer in the Virtual Reality industry, where we deliver interactive experiences in B2B. With the four core values Sustainable, Inclusive, Developing and Rockstar in our veins, we have taken the position as one of the leading developers in the Nordics. BoldArc&rsquo;s innovative experiences are unique in terms of visual quality and interaction design.

    http://www.boldarc.com"
Bookcore,https://bookcore.net/,"BookCore will regularly connect to your vendors and collect your books’ sales data, so you don’t have to worry that you missed anything. It will transform the data into an easily understandable form and present it to you. All on Autopilot. There are over 10 marketplaces on Amazon and over 50 on Apple iBooks. It is extremely hard to track all the reviews and stars in all marketplaces. BookCore will track that for you and let you clearly see how readers like your work, how do they engage so you can respond promptly.

    bookcore.net"
Boolino,http://boolino.com,"Boolino will be the world’s leading online platform about children’s books and reading. Our mission is to improve children’s learning abilities worldwide by turning them into enthusiastic readers, and we are developing a unique search and recommendation engine for children’s books which helps parents to find the most suitable reading content for their kids. For publishers, Boolino is a marketing platform to reach their target audience in a very segmented manner (applying the “persona methodology” and big data analysis). On top, we are developing subscription-based premium services for families, being “my little book box”, a unique tool for pre-/early reading kids, the first premium product we have launched.

    http://boolino.com"
Botego,http://www.botego.com/,"Botego is a startup focusing on developing Natural Language Processing technology. Its product line includes: virtual intelligent agents

    http://www.botego.com"
Boutique on click,http://boutiqueonclick.com,"Boutique on click is an online shopping center, an elegant and very highly-curated market place of hand-selected Italian retailers and designers, presenting to a savvy consumer who’s looking for unique Made in Italy products. Boutique on click provides a turn-key e-commerce and marketing vehicle for specialty shops and designers who do not have their own e-commerce and also to those that do. We give the chance to emerging Italian designers and small fashion and design companies to have their e-commerce at low costs. Despite to excitement from the community, Boutique on click has unfortunately closed.

    http://boutiqueonclick.com"
Braintech Media UG,http://www.brn.ai,http://www.brn.ai
