"Company Name","Location","Status","Company Contact","Company Contact Title","Primary Sector","Primary Sub-Sector","Primary Focus","Primary Target/Tech/Product","Secondary Sector","Secondary Sub-Sector","Secondary Focus","Secondary Target/Tech/Product","Description","Problem","Solution","Tags","URL","QFC Awardee","Blue Knight","Site Head"
"Bainisha CVBA","Virtual (Virtual)","Alumni","","","MedTech","Surgery","Robotics",,,,,,"The opportunity is to introduce a completely new, highly accurate and very user friendly method to measure joint dynamics both from the bone structure and soft tissue point of view.  Moreover our technology is very cost effective if compared with other existing techniques and the ultimate tool for patient centric solutions.","We solve two problems, the first one is to make robotic surgery less invasive and the second one is to be able to measure tension on ligaments during surgery.  This will lead to better outcomes for patients and will help surgeons by providing them high quality data","Our displacement sensors are able to effectively build a digital twin of any joint in a human body.  We can deliver highly accurate, longitudinal data that support clinicians with their diagnosis, during surgery and with the rehabilitation therapy afterwards.  The technology we use is  very user friendly and always has client centricity in mind","wearable, sensor, IoT, remote monitoring, orthopaedic, health patch, rehabilitation","https://jnjinnovation.com/JLABSNavigator/company/Bainisha_CVBA","Yes","No",""
"Basecamp Bio","JLABS @ Shanghai (Shanghai)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Platform","GPCR Structure-Based Drug Discovery","Pharmaceuticals","Other (Pharmaceuticals)","Platform","GPCR Structure-Based Drug Discovery","Basecamp Bio is a technology platform company with unique expertise and capabilities in next generation structure-based drug discovery designed to address the most challenging protein targets including membrane proteins such as GPCRs.","The most challenging or undruggable drug targets play essential roles in the human body and represent a significant number of human druggable targets.","Basecamp Bio’s experience in (1) structure-based drug discovery; (2) integration of multiple biophysical methods for hit identification; (3) integration with medicinal chemistry and biology; (4) combined with state of the art computational technology harnesses the power of structural information to design novel small molecule compounds. This unique technology integration allows Basecamp to accelerate drug discovery by computationally selecting and optimizing candidate molecules successfully and more efficiently for the most challenging protein targets. These small molecule compounds are prioritized based on-target potency, off-target selectivity as well as pharmaceutics, drug metabolism and pharmacokinetic properties reducing the likelihood of side effects to create best in class medicines.","GPCR, Structural Biology, Medicinal Chemistry, Drug Discovery, Small Molecule","https://jnjinnovation.com/JLABSNavigator/company/Basecamp_Bio","No","No",""
"Basetwo","JLABS @ Toronto (Toronto)","Current Resident","","","Pharmaceuticals","Discovery, Product Development and Supply","Biotherapeutics Development",,,,,,"Basetwo provides pharmaceutical manufacturers with a no-code AI platform that enables their process engineers to rapidly build, test and operationalize digital twins that enable them to improve the product quality and profitability of their plants.","The need for consistent product quality, faster speed to market, and cost-competitiveness is at an all-time high in today’s environment. Developers will continue to demand better ways to cut down time to market, decrease costs, and contract manufacturers will seek to improve visibility and cost competitiveness.This is why BioPlan & Associates annual survey of hundreds of pharmaceutical manufacturers described the single most important operational area as ‘manufacturing productivity and efficiency’. 

Machine learning (ML) represents an opportunity to address this. However, today’s enterprise ML tools are not designed to solve engineering challenges and have difficulty dealing with the complex nature of manufacturing data. Moreover, only 20% of ML solutions are operationalized beyond pilot projects. As a result, valuable cost saving process knowledge is trapped in the spreadsheets and minds of engineers.","Basetwo provides a no-code AI platform designed specifically to address today’s pharmaceutical manufacturing challenges. The platform allows Process Engineers to easily build physics-informed ML digital twins of their mission-critical equipment and unit operations.

Live digital twins that Process Engineers can understand and trust unlock the ability to validate and troubleshoot equipment, optimize upstream and downstream manufacturing unit operations, reduce consumable costs and reliably tune controllers.","Artificial intelligence, digital twins, Pharma 4.0, Industry 4.0, simulation, machine learning, no-code platform, process optimization, manufacturing science and technology, supply chain, process development, equipment qualification and validation, OEE","https://jnjinnovation.com/JLABSNavigator/company/Basetwo","No","No",""
"Basilard BioTech, Inc.","JLABS @ San Diego (San Diego)","Current Resident","","","Pharmaceuticals","Discovery, Product Development and Supply","Discovery Sciences",,,,,,"Our novel (disruptive), IP protected Celletto(TM) technology platform uses MEMS and microfluidics-based mechanoporation to provide better transfection performance and scalability potential in ex-vivo gene delivery for any cell type used in the Cell and Gene Therapy industry.","Celletto address the limitations of viral vectors and outperforms other ex-vivo gene delivery techniques - particularly electroporation, and eliminates the concerns over safety, limited scalability, poor efficiency and limited versatility - all at an ultimately lower cost.","Celletto™ works with any cell type and can deliver large cargos to the nucleus.  Our commercial prototype transfects 250,000 cells/cycle – a clinically relevant threshold sufficient for early technology evaluation by prospective CGT co-development partners.  We have several such engagements under way/planned.  Future versions of Celletto™ will be scalable to throughputs up to 200 million cells/cycle, thus meeting the needs of a wide range of CGT discovery, development, and manufacturing applications.","CGT, Ex-Vivo Gene Delivery, Non-Viral, Mechanoporation, Transfection Tools, Nuclear Delivery, MEMS, microfluidics, Cell Capture, Cell Viability, Throughput, Gene Editing","https://jnjinnovation.com/JLABSNavigator/company/Basilard_BioTech,_Inc.","No","No",""
"BeLite Bio","JLABS @ San Diego (San Diego), JLABS @ Shanghai (Shanghai)","Current Resident","","","Pharmaceuticals","CVMRPH","Retinal Diseases",,"MedTech","Vision Care","Oral Therapies for Retinal Diseases",,"Drug development company specializing in innovative therapies for Stargardt's and AMD.","Dry AMD: Globally, dry age-related macular degeneration AMD is a major health concern that severely affects and disabling millions of middle aged to elderly people every day.
Metabolic Diseases: Non-acholic Fatty Liver Disease (NAFLD), NASH, Type 2 Diabetes (T2D)
Oncology: Acute Myeloid Leukemia and Glioblastoma (GBM)","LBS-008 for Dry AMD & Stargardt
•	Phase 2 small molecule oral treatment targeting dry aged related and juvenile AMD
•	Binds to and inhibits the RBP4 protein, preventing production of A2E – a cytotoxic by-product of the visual cycle that leads to lipofuscin accumulation seen in AMD and Stargardt disease
LBS-009 for inflammatory metabolic syndromes 
•	Preclinical small molecule targeting inflammatory/metabolic syndromes
•	Binds to and inhibits the RBP4 protein, with its overexpression profile that leads to insulin resistance, type 2 diabetes, non-alcoholic fatty liver disease (NAFLD) and non-alcoholic steatosis phenotypes","AMD, Retinal Diseases, NASH, Ophthalmology, Stargardt, RBP4","https://jnjinnovation.com/JLABSNavigator/company/BeLite_Bio","No","No",""
"BestHealth4U","Virtual (Virtual)","Current Resident","","","MedTech","Ethicon","Wound Closure",,,,,,"BH4U is developing a smart medical device that monitors chronic wounds without removing the patch.","Chronic wounds are affecting 2-6% of the population worldwide, being considered an economic and social burden on society, accounting for 2-4% of the total budget of the health care system. Chronic and complex wounds (such as post-surgical wounds, diabetic foot ulcers, pressure ulcers, leg venous ulcers, etc), require constant management as patients with mismanaged wounds can suffer from infection, sepsis, or gangrene. Without access to training or professional monitoring, patients will be at risk of developing severe complications and worsening their condition.","adhesiv.Ai is a smart dressing that combines a flexible skin-friendly patch that continuously monitors the progression of the wound healing. This innovative technology is integrated into a digital tracking software (artificial intelligence predicting the wound evolution), enabling health practitioners to effectively control and manage their patients' wounds at a distance, thus allowing patients to have a continuous and safe follow-up from home.","chronic wound, wound monitory, smart patch, wound sensing","https://jnjinnovation.com/JLABSNavigator/company/BestHealth4U","Yes","No",""
"Beth Bioinformatics Co., Limited","JLABS @ Shanghai (Shanghai), Virtual (Virtual)","Current Resident","","","Pharmaceuticals","Vaccines","Data Sciences",,,,,,"Beth Bioinformatics is a biotech company that provides innovative solutions for pharmaceutical companies to empower the development of better vaccines. Technologies include virus evolution prediction, vaccine effectiveness (VE) evaluation in-silico, codon optimization/deoptimization, epitope screening and more.","Our technologies centers around improving vaccine candidates in different aspects, ultimately improving the chances of successful vaccine development and performance. Our different technologies target at different problems, including drop in VE due to viral mutation, evaluating VE of products against new variants in real-time, epitope screening for potential antiviral or universal vaccine candidates, improving protein expression and quality etc.","For viral mutation, we have developed prediction models that could accurately predicts future evolution and dominant circulating strains for the two fast-mutating viruses - Influenza and SARS-CoV-2. The prediction for Influenza is very robust and could already be accurately done one year in advance, while for SARS-CoV-2 we could predicts key mutations more than 5 months away. BethBio uses this technology to design better antigens that could have less genetic mismatch with circulating strain and be more resilient to future mutations. In the case of seasonal Influenza vaccines, results from prospective, retrospective and animal validation experiments show that the change in VE using our antigen design ranges between 4% to 40% improvement, compared to the current vaccine antigen in use. This technology could also be used to support epitope and antiviral candidates screening.

To reduce the delay in VE evaluation, our team analyzed over 2 million SARS-CoV-2 sequences and developed the world's first method to predict VE in-silico. The technology achieved 95% prediction accuracy in independent data sets and could provide real-time estimations of VE of different vaccines against any variants immediately, while also accounting for differences in vaccine technology platform used. Using this solution, pharmaceutical companies could immediately evaluate their existing product and candidates to make informed decisions, without having to wait for real world data or spend resources for clinical trials. We could also advise pharmaceutical companies on the clinical trial design that could maximize the VE outcome. Similarly, this technology is also available for Influenza.

As for protein expression, BethBio developed a new codon optimization method with higher Codon Adaptation Index and higher recoding capacity. We could provide a list of flexible recoding strategies to our clients to help them achieve different kinds of desired outcome, as well as providing solutions to certain technical problems they faced. 

We also provide epitope screening of suitable candidates that can be used for vaccines, antivirals and more. For instance, we have completed screening of T-cell epitopes for broadly reactive COVID-19 vaccines and received good immunogenicity outcome.

Other than vaccine development solutions, BethBio also provides improvement solutions for human disease genetic-risk assessment test that could increase prediction accuracy, achieve true individualized prediction (different and more accurate risk assessment despite individuals having same risk genes), and maintain or even improve accuracy when analyzing multi-population human genome data with high heterogeneity.","Vaccine, virus, mutation prediction, bioinformatics, computational biology, AI, genome data analysis, solution provider","https://jnjinnovation.com/JLABSNavigator/company/Beth_Bioinformatics_Co.,_Limited","No","No",""
"BiLab","Virtual (Virtual)","Alumni","","","MedTech","Surgery","Robotics",,,,,,"Startup company to develop & produce noninvasive continuous monitoring medical devices of cardiopulmonary functions using electrical impedance tomography (EIT).","The human body conducts electric current when exposed to an electric field. The increased amount of inhaled air in the lungs increases the electrical resistance or impedance of the lung tissue and therefore further impedes the current flow. This increases the induced voltage inside the body.

When a high-frequency current is injected into the lungs through surface electrodes around the chest, the electrodes can sense the voltage changes originated from the changes in lung volume. Electrical impedance tomography (EIT) utilizes these voltage changes to produce cross-sectional images of lung ventilation.","Unlike the ionizing radiation of X-ray, EIT is known to be safe. The amount of injected currents is below the safety limit of the international standard. Whereas other medical imaging modalities of X-ray, MRI, and ultrasound produce structural images, EIT is mainly for functional imaging. Clinical applications of EIT include real-time continuous monitoring of physiological functions such as lung ventilation, lung perfusion, upper airway closing, and hemodynamics.","Cardiopulmonary, Continuous Monitoring","https://jnjinnovation.com/JLABSNavigator/company/BiLab","Yes","No",""
"BioCapital Holdings","JLABS @ TMC (Houston)","Current Resident","","","Consumer","Skin Health","Protected Skin",,"Consumer","Self Care",,,"Developing a novel anti-UV compound with applications in paint, sunscreen, & cosmetics.","UV damage to human skin and man-made materials; Unwanted microbial growth on skin and other surfaces; High-value anti-oxidants and sugar alternatives; Invasive and/or costly methods to diagnose Alzheimer’s and diabetes; Petroleum-based foam used in furniture, mattresses, car seats, etc.","Cost efficient solutions to every day issues: We turn yeast and bacteria into factories to produce: Anti-UV compound - paint, sunscreen, cosmetics; Natural anti-microbial compound - paint, cosmetics; Lycopene – antioxidant; Natural sugar alternatives.   We develop devices that establish a more cost-effective way to detect and measure insulin and glucose level re Type 2 diabetes; Develop devices that help detect, diagnose, and predict Dementia and Alzheimer’s using a non-invasive blood test.  We produce a Bio Foam that is a hypo allergenic, nonpetroleum-based memory foam ideal for hospital bedding.","Sun Protection, COVID-19","https://jnjinnovation.com/JLABSNavigator/company/BioCapital_Holdings","No","No",""
"Biocelline Enterprise Co. Ltd","JLABS @ Shanghai (Shanghai)","Current Resident","","","Consumer","Skin Health","Platform","Precision skin care platform",,,,,"Apply systematic methodology for targeted research on skin problem; Find the matching ingredients for targets; Use of drug delivery systems to reach specific targets; Apply cohort test to demonstrate skin efficacy; So that to achieve optimized efficiency.","Basic research of the Cosmetics industry in China is weak. Product homogeneity is common, and core competitiveness is lacking. Cosmetics industry is a science-driven and highly innovative industry, which requires a large initial investment to produce products that meet the needs of all parties. Most cosmetic enterprises in China are still in the early stage of development, and more enterprises focus on ""channel"" rather than ""research and development"". In the case of weak strength in research and development strength, the innovation speed is lower than that of overseas products.","Based on the concept of Precision Skin care, establish a theoretical and technical support system for product development, that is ""Precision consumers survey -Precision Targeting - High throughput screening- Precision delivery - Precision clinical test - Precision tracking - Precision launch."" 

Meanwhile, our research and innovation focus on skin penetration technology, such as Liposome as Transdermal delivery system, Microneedles, Iontophoresis.","Transdermal delivery system, Iontophoresis, microneedles, liposome","https://jnjinnovation.com/JLABSNavigator/company/Biocelline_Enterprise_Co._Ltd","No","No",""
"BioCold Technologies","Virtual (Virtual), JLABS @ TMC (Houston)","Current Resident","","","Pharmaceuticals","Other (Pharmaceuticals)","Janssen Supply Chain",,,,,,"An energy efficient way to refrigerate naturally by using a novel bionanotechnology (fully biodegradable) capable of freezing at higher temperatures and to remain frozen for long periods without requiring constant energy consumption.","At NanoFreeze we built a new way to refrigerate naturally by bioengineering the most efficient ice nucleator that needs less energy to freeze. Our bionanotechnology is characterized by functionalizing ice nucleating enzymes into different materials making this enzyme more resilient to temperature changes. This way we can create a coolant that can freeze up to 4ºC, remain frozen until 84 hours with the right insulating material and at the same time being sustainable with the environment since it can be disposed as plant fertilizer. With this bionanotechnology NanoFreeze can create cold chain equipment like coolant products and returnable and non-returnable systems. All of the solutions use the bionanotech coolant to extend refrigerating cycles until 84 hours and this way enlarge the shelf life of the perishable products that are being transported. These solutions point to guarantee refrigeration without requiring constant use of energy and at the same time to have 0 plastic waste by using 100% recyclable materials and managing circular economy as a disposal method. Between NanoFreeze coolant products there are ice packs, cold coats and panels, all of them uses bionanotechnoogy in order to have the same cooling benefits. Additionally, NanoFreeze also creates refrigerated containers and cold packages which are foldable in order to optimize freight and space when the equipment its empty. These containers are made to bring a solution that can provide cold chain stability to transport biologics, medicines, chemicals or food during long journeys without requiring a cold cabin. With an integrated solution like NanoFreeze containers and cold packages it will be possible to give rural populations access to immunization, reaching further regions that currently are unattainable with the existing cold chain technologies.","The water regularly freezes at 0ºC with the presence of ice nucleating particles which can be dust, pollen or bacteria. However, without any ice nucleating particle, water must be placed at a temperature of -41ºC in order to freeze. NanoFreeze has created the most efficient ice nucleator by using ice nucleating enzymes but making them more resilient through nano-engineering processes where multiple enzymes are suspended in nano particles. With this novel technology it’s possible to create a water-based coolant that freezes up to 4ºC, that has a strong cooling capacity of 8.3 kJ/Kg and at the same time that can remain frozen upto 84 hours without requiring constant use of energy. The technology of NanoFreeze in addition to being an energy efficient cooling component, is also 100% sustainable with the environment since it uses natural enzymes that can be disposed as plant fertilizer. NanoFreeze bionanotechnology today is under patent request in different territories and also has a PCT. Comparing NanoFreeze technology with regular coolants or Phase Change Materials, the main differences are 1) it is 100% biodegradable, 2) it has the highest specific heat of 8.3 kJ/Kg on the market and 3) can compete at similar prices as existing offerings. Regular coolants that can offer the same specific heat of NanoFreeze technology are made of paraffins or vegetal oils like petroleum which are expensive and polluting for the environment.","bionanotechnology, cold chain equipment, biologic samples, vaccines","https://jnjinnovation.com/JLABSNavigator/company/BioCold_Technologies","Yes","Yes",""
"BioDevek","JLABS @ LabCentral (Cambridge, MA)","Alumni","","","MedTech","Surgery","Biosurgery",,,,,,"Developing an adhesive sealant that can be injected in situ and cure while adhering to the tissue.","The high prevalence of leakage from the GI-suture line owing to anastomosis-dehiscence results in major complications in patients. Leakage occurs in up to 30-50% of the cases, depending on tissue site and disease state, and results in high morbidity and mortality. An adhesive that can be applied at the site with tunable mechanical properties that alleviates the stress concentration around the suture/staple-line and improves healing is expected to improve clinical outcome and patients’ quality of life. None of the existing sealants provide optimal solution and are either limited in their adhesion capacity or biocompatibility.","BioDevek has been working on the development of an adhesive sealant that can be injected in situ and cure while adhering to the tissue. This material showed in-vitro, in-vivo biocompatibility.  Technology has demonstrated safety and efficacy as vascular sealant.","Smart Biomaterials, Surgical Sealant, Local Drug Release","https://jnjinnovation.com/JLABSNavigator/company/BioDevek","No","No",""
"BioEclipse Therapeutics, Inc. (fka ConcentRx)","JLABS @ SSF (South San Francisco)","Alumni","","","Pharmaceuticals","Oncology","Hematologic Malignancies",,,,,,"Our Solution ? A combined immunotherapy, incorporating immune cells that protect the oncolytic agent from destruction by the immune system prior to reaching its target.","The major problems with existing cancer therapies are due to resistance and recurrence.  Problem #1 - Tumors become resistant to treatment. Most ovarian cancer patients (~ 80%) become resistant to standard of care.   Problem #2 - Tumors have various mechanisms to evade the immune system. Tumor cells can hide by changing their cell surface to become invisible to immunotherapies.  Problem #3 - Metastatic disease and minimum residual disease that are not treated during standard therapy due to resistance or immune evasion, can lead to recurrence.","Our Solution – A combined immunotherapy, incorporating immune cells that protect the oncolytic agent from destruction by the immune system prior to reaching its target.  Solution #1 - For resistant tumors   • Combination therapy with multi-mechanistic            integrated biology:     • Immune cell delivery of virus specifically to tumor bed     • Target to effector ratio of 1:1,000,000  Solution #2 - For tumor immune evasion  • Tumor selective virus infects and kills tumor cells:      • Virus infection causes an increase in stress ligands on the surface of tumor cells      • Virus interaction with tumor cells makes tumor highly visible to immune system      • CIK cells target, bind to and kill tumor cells  Solution #3 - For cancer recurrence  • Durable immune response against multiple tumor antigens     • CIK cells attract the adaptive immune system for a cytotoxic T-cell response     • This response is against tumor antigens from lysed tumor cells     • This is a memory T-cell response","Oncology, Immuno-oncology, Immunotherapy","https://jnjinnovation.com/JLABSNavigator/company/BioEclipse_Therapeutics,_Inc._%28fka_ConcentRx%29","No","No",""
"BioFabrics","Virtual (Virtual)","Alumni","","","Consumer","Other (Consumer)","Antimicrobial Technology",,,,,,"We propose a lab coat that leverages nature's safest and most sensitive genetic/chemical sensors encoded directly into fabrics by using cell-free synthetic biology and wearable electronics to automatically alert, protect and react to dangerous pathogens and toxins.","For millennia, humans have interacted with a complex ecosystem of beneficial bacteria and other living organisms that thrive within and over our bodies. These organisms provide a range of services, all of which are genetically encoded and (by extension) can be replicated, programmed or re-engineered into fabrics using synthetic biology approaches. Most fabrics sold worldwide are made of natural fibers, which come from living organisms that have the potential to exhibit many of these same sensing and reactive properties. Recognizing this potential, we have incorporated freeze-dried cell-free synthetic biology sensors into fabrics to provide this functionality with low regulatory risk.","We are making a lab coat fabric that acts as a programmable ""living"" distributed network capable of detecting and reacting to a variety of common lab/hospital situations, from biohazard splashes to stress molecules in sweat. We are reimagining how yarns and textiles made for protective garments can become smarter through a biomimetic approach, that essentially utilizes cell's native genetic coding and transcription-translation machinery to allow fabrics to ""feel"" its environment. These sensors can produce changes in the electrical impedance or color of the fabric, which can in turn alert users or can be automatically detected by internet-of-things (IoT) enabled devices to report specific events. Alternatively, these systems can also be engineered to automatically react to an insult (with no user input or electronics required) to automatically produce protective compounds depending on the sensed stimulus.","Biofabric, Infectious Disease Prevention, Sensor Solution","https://jnjinnovation.com/JLABSNavigator/company/BioFabrics","Yes","No",""
"BIOLIFE4D","JLABS @ TMC (Houston)","Current Resident","","","MedTech","Cardiovascular & Specialty Solutions","3D Printing",,,,,,"BIOLIFE4D will initially focus on bioprinting 3D cardiac patches. We have experimented with different materials, cell combinations, and also carefully defined optimal electrical stimulation and stretch parameters required for patch maturation. Our objective is to translate this technology to bioprint 3D cardiac patches. These patches will then be developed to a high-throughput screening assay for pharmacological testing.","Nearly 1 out of every 3 deaths annually in every developed country around the world are attributable to cardiovascular disease.  Myocardial infarction (MI) (ie, heart attack) is the irreversible death (necrosis) of heart muscle secondary to prolonged lack of oxygen supply (ischemia). Approximately 1.5 million cases of MI occur annually in the United States alone","BIOLIFE4D has initially focused on bioprinting 3D cardiac patches. We have experimented with different materials, cell combinations, and also carefully defined optimal electrical stimulation and stretch  parameters  required  for  patch  maturation.  Our objective  is  to  translate  this technology to  bioprint  3D  cardiac patches using iPS derived cardiac myocytes and Purkinje cells and use custom bioreactors to culture the patches. These patches will then be developed to a high-throughput screening assay for pharmacological testing and also tested to restore ejection fraction in infarcted mammalian hearts.  BIOLIFE4D is simultaneously working on bioprinting a “mini-heart” which is a scaled-down version of a human heart based on the geometries of a human heart.","Stem Cell","https://jnjinnovation.com/JLABSNavigator/company/BIOLIFE4D","No","No",""
"BioLum Sciences","JLABS @ TMC (Houston), JLABS @ San Diego (San Diego)","Alumni","","","Pharmaceuticals","CVMRPH","Cardiovascular Disease",,"Pharmaceuticals","Other (Pharmaceuticals)","Discovery Sciences",,"Specializes in advanced luminescent technologies for measuring clinical biomarkers. The company is founded and managed by asthma sufferers dedicated to improving the lives of patients with chronic respiratory and cardiovascular diseases.","BioLum’s biomarker analysis platform provides an affordable and effective method to non-invasively measure respiratory and cardiovascular disease biomarkers that are highly correlated with diseases such as asthma, COPD, and Pulmonary Arterial Hypertension. While the medications for these diseases have vastly improved over the years, easy & early methods for diagnosis and monitoring are needed to streamline patient care. When measuring lung function, spirometry, the basis of asthma diagnostic equipment, has essentially not changed since 1846. Biomarker analysis has improved our understanding of these diseases, but the cost and difficulty of use has prohibited a wide-scale adoption throughout the medical community. BioLum offers a low-cost solution that solves this problem, with the intention of eventually reaching the homecare market.","Although our current technology is aimed at general lung and cardiovascular disease, our analysis platform can be adapted to measure a wide variety of biomarkers found in biological samples (breath, blood, urine) as is reflected in the language of our patent. We see the BioSense as a transformative tool for diagnostics and monitoring, especially in disease states with comorbidities like COPD and pulmonary hypertension where patient stratification remains a considerable challenge to therapeutic development.","Asthma, Biomarker, Breath, COPD, Cardiovascular, Diagnostic, PAH, Respiratory","https://jnjinnovation.com/JLABSNavigator/company/BioLum_Sciences","No","No",""
"Biomea Fusion","JLABS @ SSF (South San Francisco)","Alumni","","","Pharmaceuticals","Oncology","Hematologic Malignancies",,,,,,"biomea health, LLC was formed in 2017 by a small group of biotech executives. We are dedicated to developing highly selective medicines for patients. It is our goal to design and clinically develop patient friendly therapies with higher efficacy than the current standard of care. The more precise a therapeutic agent is, the better the potential outcomes for individual patients? needs.","Currently we focus on two disease areas, infectious diseases and oncology. Each of these areas have high mortality rates and inadequate treatment options. Our infectious disease program is focused on ‘super bugs’, those bacteria that are resistant to almost any existing antibiotic, typically caused by DNA changes in the bacteria. Such changes make effective treatments very difficult. With our oncology program we are also focused on specific changes to the DNA of patients, which can be isolated as key drivers for certain diseases.","We leverage our collaboration with A2A Pharmaceuticals to design novel scaffolds coupled with our in-house drug design expertise to create small molecules capable impact diseases with high unmet need.","Small Molecule Therapeutic","https://jnjinnovation.com/JLABSNavigator/company/Biomea_Fusion","No","No",""
"Biorchestra","JPOD @ Boston (Cambridge, MA)","Alumni","","","Pharmaceuticals","Neuroscience","Alzheimer's Disease",,,,,,"Developing RNA-based therapeutics that regulate mRNA and microRNA and a drug delivery system that can effectively and safely deliver them to specific target organs.","Alzheimer’s disease (AD) is the most common form of dementia, affecting approximately 50 million individuals worldwide. This number is expected to rise rapidly in the next few years due to a globally ageing population. According to Alzheimer’s association, AD has incurred a socioeconomic cost of approximately $305 billion in the US alone in 2020 and this value is predicted to reach $1.1 trillion in 2050. These values highlight the urgent need to intervene and manage AD through the discovery of early diagnosis and disease-modifying strategies.","? BIORCHESTRA strives to provide a solution through a disease-modifying therapy that will reverse AD pathogenesis and permanently halt AD progression as well as the development of an easily accessible, non-invasive diagnostic method that will facilitate early AD diagnosis. Specifically, BIORCHESTRA has found an epigenetically overexpressed microRNA in the brain of AD patients and has discovered its strong association with AD pathogenesis in preclinical models. The expression levels of this microRNA in salivary exosomes has shown strong predictive accuracy at differentiating between amyloid PET positive and negative patients, which is the current golden standard of AD diagnosis. Thus, we have developed a real-time PCR kit that is expected to serve as a non-invasive, patient-friendly diagnostic method that will facilitate early diagnosis of AD. 

? We have also found that through the regulation of this microRNA with the use of an anti-sense oligonucleotide (ASO), we may be able to treat AD. By epigenetically modifying old and dysfunctional brain cells into young and healthy ones, our ASO not only removes misfolded protein pathologies but also improves neuroinflammatory and neuro-restoration processes as well as cognitive functions. In contrast to conventional treatment methods that exclusively target misfolded proteins, our ASO simultaneously modulates multiple AD-related pathological processes and, thereby has demonstrated potential to be used as a disease-modifying therapy in AD.

? The successful development of CNS disease therapies has been hindered due to difficulties associated with blood-brain barrier (BBB) penetration. Especially, RNA-based drugs like ASOs are highly unstable in the bloodstream and have low BBB penetration rate and, thereby have been commonly administered via highly invasive procedures, such as intrathecal administration as in the case with IONIS’s Spinraza and IONIS/BIOGEN’s tau-targeting IONIS-MAPTRx. To solve this problem, BIORCHESTRA has developed a brain-specialized DDS to allow the intravenous administration and clinically meaningful delivery of our ASO into the brain. Using our DDS, our ASO has shown to reach the intra-brain cells without any side-effects at a world-record of 7%, thus, our DDS is expected to serve as a high-end platform in the field of CNS-targeting drug delivery of RNA-based drugs.","Anti sense oligonucleotide, microRNA, mRNA, Alzheimer’s disease, Parkinson's disease, amyotrophic lateral sclerosis, BBB drug delivery system, Central nerve system","https://jnjinnovation.com/JLABSNavigator/company/Biorchestra","Yes","No",""
"BioSense Suzhou","JLABS @ Shanghai (Shanghai)","Alumni","","","Pharmaceuticals","Oncology","Platform","Cell-free Biosynthesis (CFB) technology","Pharmaceuticals","Immunology","Rheumatology",,"A drug discovery company leveraging a pioneering synthetic biology-based platform technology that allows rapid generation and optimization of novel kinase inhibitors (KI) based upon the proven functional scaffolds of potent natural KIs.","Kinases have emerged as one of the most fruitful areas and are very active for new drug discovery/development in recent years. Over 50 kinase inhibitors targeting over 40 kinases have been approved and marketed in recent years. Despite the successes, marketed drugs are targeting only less than 10% of all kinases. There are potent kinase inhibitors in natural products such as bisindole alkaloids but they often have very poor selectivity so their drugability potential is severely limited.  For many years, scientists have tried  find a way to generate as many analogs of the natural products as possible but with little success.  Because of the complex scaffold of bisindole alkaloids, it is highly inefficient or unfeasible to synthesize these compounds using conventional chemical synthesis methods.","Our technology platform, integrating synthetic biology, cell-free biosynthesis, medicinal chemistry, and structure-based drug design, offers a powerful discovery tool and capability that previously were not available. The utilization of highly efficient enzymatic reactions instead of traditional step-wise chemical synthesis in combination with structure-based drug design allows us to rapidly optimize selectivity, solubility, metabolic stability, and other properties required for clinical success. 

The technology can also be used to generate tens of thousands of new analogs in a short period of time (analog synthesis takes hours vs months/years when using traditional chemical synthesis methods). This library of analogs with functional scaffolds will be a powerful tool for screening new kinase targets and generating new drug leads.  

Highly efficient enzymatic reactions or synthetic biology has been successfully used in other industries such as food, nutrition and materials and our platform is pioneering the application of the technology in drug discovery.","Protein Therapeutics, Screening Technology","https://jnjinnovation.com/JLABSNavigator/company/BioSense_Suzhou","No","No",""
