Company Name,Location,Sector,Startup Link
Fonbnk,US,Blockchain / Crypto / NFT / Web 3.0,https://www.fonbnk.com/
Fonos,Asia,Arts / Entertainment / Media / Sports & Gaming,https://fonos.vn/
Forage,US,Finance - Banking / Payments / Lending,https://www.joinforage.com/
FourFront Media,US,Arts / Entertainment / Media / Sports & Gaming,#
Freshpaint,US,Development Tools & Infrastructure,http://www.freshpaint.io
Galileo,Europe,Education / Personal & Professional Development,#
Gamma,US,Communication / Collaboration / Productivity,#
Garuda Robotics,Asia,Development Tools & Infrastructure,https://garuda.io/
Gated,US,Communication / Collaboration / Productivity,https://www.gated.email
Gentem Health,US,Finance - Banking / Payments / Lending,https://gentem.com/
Ghost Financial,US,"Finance - Banking / Payments / Lending,Food / Agriculture",https://ghostfinancial.com/
Gigantec Media,Asia,Advertising / Marketing,#
Gildform,US,Arts / Entertainment / Media / Sports & Gaming,http://www.gildform.com
Glidian,US,Health & Wellness,https://glidian.com/
Gosats,Asia,Blockchain / Crypto / NFT / Web 3.0,https://gosats.io/
Grandeur,Asia,Development Tools & Infrastructure,https://grandeur.tech/
GrooveTime,US,Health & Wellness,www.delivered.sg
Growrk,US,HR / Hiring / Employment,https://growrk.com/
Harvest,US,Finance - Banking / Payments / Lending,http://growmyharvest.com
Healthtracka,Africa,Health / Fitness / Wellness,www.healthtracka.com
HearMeCheer,Canada,"Development Tools & Infrastructure,Arts / Entertainment / Media / Sports & Gaming",https://hearmecheer.com
Hemster,US,Arts / Entertainment / Media / Sports & Gaming,http://www.hemster.co
Hey Favor,US,Health & Wellness,https://heyfavor.com/
Home,Canada,Finance - Banking / Payments / Lending,https://joinhome.com/
Honeycoin,Africa,Finance - Banking / Payments / Lending,https://honeycoin.app/
Hurry Home,US,Real Estate / Housing,#
Hyper Local,Asia,Arts / Entertainment / Media / Sports & Gaming,#
I-50,US,Manufacturing,http://ifiveo.com/
IFlux,Africa,Retail / E-commerce,https://iflux.app/
Index,US,Data / Analytics / AI / ML,https://indexapp.com/
InsurGrid,US,Finance - Insurance,https://www.insurgrid.com/
Insured Nomads,US,Finance - Insurance,#
Interview Now,US,Communication / Collaboration / Productivity,https://interviewnow.io
Jaan Health,US,Health & Wellness,#
Jefa,Latin America,Finance - Banking / Payments / Lending,https://jefa.io/
Jetstream,Africa,Retail / E-commerce,https://jetstreamafrica.com/
Jingu Health,US,Health & Wellness,https://www.jinguhealth.com/
Jonah Trades,US,Finance - Investing,https://www.jonahtrades.com/
KYC,US,Travel / Hospitality,https://kychospitality.com/
Kabo,Canada,Retail / E-commerce,https://kabo.co/
Karat,US,Finance - Banking / Payments / Lending,https://trykarat.com/
Karuna Labs,US,Health & Wellness,http://karunavr.com/
Kenzie Academy,US,Education / Personal & Professional Development,https://kenzie.snhu.edu/
Kurtosis,US,Blockchain / Crypto / NFT / Web 3.0,https://www.kurtosistech.com
Legitmate Tech,US,Blockchain / Crypto / NFT / Web 3.0,https://legitimate.tech
Lifepal,Asia,Finance - Insurance,https://lifepal.co.id/
Lilia,Canada,Health & Wellness,#
Locad,Asia,Logistics / Shipping,#
LoftyAI,US,Real Estate / Housing,http://lofty.ai
Lou,US,Sales / Operations / Customer Service,https://www.louassist.com/
Lounge,US,Communication / Collaboration / Productivity,https://lounge.place/
Lovo,US,Advertising / Marketing,http://www.orbisai.co
Ludio,US,Arts / Entertainment / Media / Sports & Gaming,#
Ludis Analytics,US,Arts / Entertainment / Media / Sports & Gaming,https://www.ludis.io/
Luma,US,Communication / Collaboration / Productivity,#
Lunchbox Health,US,HR / Hiring / Employment,https://www.lunchboxhealth.com/
MYV,Asia,Arts / Entertainment / Media / Sports & Gaming,https://wtfmedia.io/
Made and Modern,US,Retail / E-commerce,#
Maple,US,Finance - Other,maple.so
Maria Health,Asia,Finance - Insurance,https://mariahealth.ph/
Marty Labs,US,Development Tools & Infrastructure,https://www.martylabs.com/
Massive,US,Development Tools & Infrastructure,http://www.computewall.com
MayaEats,US,Food / Agriculture,#
Mayday,Canada,Communication / Collaboration / Productivity,https://mayday.am/
MedTruly,US,Health & Wellness,https://www.medtruly.com/
Meowtel,US,Pets / Animals,https://meowtel.com
Meroxa IO,US,Development Tools & Infrastructure,#
MetaBall,US,Blockchain / Crypto / NFT / Web 3.0,#
Millie,US,Health / Fitness / Wellness,https://millieclinic.com/
Mindtera,Asia,Health & Wellness,https://www.mindtera.com/
Minisocial,US,Advertising / Marketing,https://www.minisocial.io/
Mio,Asia,Food / Agriculture,https://mioapp.co/
Modus (acq),US,Real Estate / Housing,https://www.modusclosing.com/landing
Monograph,US,Construction / Materials,https://monograph.io/
Moovaz,Asia,Logistics / Shipping,www.moovaz.com
Motoran,Asia,Retail / E-commerce,https://www.motoran.id/
MyKuya,Asia,HR / Hiring / Employment,https://www.mykuya.com/
Narus,Asia,Finance - Investing,www.getmartini.com
NashEQ,Africa,Finance - Banking / Payments / Lending,https://www.nasheq.co/
Neivor,Latin America,Finance - Banking / Payments / Lending,https://neivor.com/
NerdWallet,US,Education / Personal & Professional Development,https://www.nerdwallet.com/
Nest Collaborative,US,Health & Wellness,#
Neural Lab,US,AR / VR / Machine Vision,https://neural-lab.com
Newcon,US,"Arts / Entertainment / Media / Sports & Gaming,Education / Personal & Professional Development",https://www.newcon.io/
ODoc,Asia,Health & Wellness,https://odoc.life/
Oasis,US,Communication / Collaboration / Productivity,#
Oblivious.ai,Europe,Data / Analytics / AI / ML,http://oblivious.ai/
Offsight,US,Construction / Materials,https://www.offsight.com/
Ola,US,Finance - Investing,#
Om,Canada,Legal / Government / Regulation,#
OnDelta,US,Education / Personal & Professional Development,#
OnLoop,Asia,Education / Personal & Professional Development,#
One Body,US,Health & Wellness,#
One Step,US,Health & Wellness,https://onestepsoftware.com/
OpenChefs,US,Food / Agriculture,https://tryopenchefs.com/
Oraan,Asia,Finance - Banking / Payments / Lending,https://www.oraan.com/
Otherside AI,US,Data / Analytics / AI / ML,https://www.othersideai.com/
Overflow,US,Finance - Banking / Payments / Lending,https://www.overflow.co/
Oyen,Asia,Finance - Insurance,https://www.oyen.my/
Pakt,US,Finance - Insurance,https://www.joinpakt.com/
Pancea,US,Health & Wellness,https://pancea.ai/
Pantas,Asia,Finance - Banking / Payments / Lending,www.gopantas.com
Park Place Payments,US,Sales / Operations / Customer Service,parkplacepayments.com
Parrotmob,US,Retail / E-commerce,www.parrotmob.com
PassRight,US,Legal / Government / Regulation,https://www.passright.com/
PayHippo,Africa,Finance - Banking / Payments / Lending,https://payhippo.ng
Pento,Europe,Finance - Banking / Payments / Lending,#
Perfect Venue,US,Arts / Entertainment / Media / Sports & Gaming,https://www.perfectvenue.com/
Phaseshift,Canada,Construction / Materials,https://www.thephaseshift.com/
Pi-Xcels,Asia,Retail / E-commerce,#
Piecewise,US,Finance - Banking / Payments / Lending,www.piecewise.co
Pixery,US,Finance - Banking / Payments / Lending,https://pixeryup.com/
Plant,US,Development Tools & Infrastructure,https://plantapp.io/
Pocketed,Canada,Finance - Banking / Payments / Lending,https://hellopocketed.io/
Pod Foods,US,Food / Agriculture,https://podfoods.co/
Pollen,Asia,Retail / E-commerce,#
Possible Finance,US,Finance - Banking / Payments / Lending,https://www.possiblefinance.com/
PouchPass,Asia,Health & Wellness,https://pouchpass.com/
PressOn Shop,US,Arts / Entertainment / Media / Sports & Gaming,https://pressonshop.com/
PrizePool,US,Finance - Banking / Payments / Lending,https://getprizepool.com/
Prometeo,Latin America,Finance - Banking / Payments / Lending,#
PropertyScout,Asia,Real Estate / Housing,#
Propseller,Asia,Real Estate / Housing,https://propseller.com/
Pulley,US,Finance - Investing,#
Pyrl,US,Data / Analytics / AI / ML,https://pyrl.io/
Quiltt,US,Development Tools & Infrastructure,https://www.quiltt.io/
Quod AI,Asia,Development Tools & Infrastructure,https://www.quod.ai/
RIDA,Asia,Retail / E-commerce,https://www.delivered.sg/
RallyBright,US,Education / Personal & Professional Development,www.rallybright.com
Ramani,Africa,Finance - Banking / Payments / Lending,https://www.ramani.io/
Ramped,US,Education / Personal & Professional Development,https://rampedcareers.com
Ratio,Canada,Blockchain / Crypto / NFT / Web 3.0,https://www.ratio.me/
Real Simple Labs,US,Blockchain / Crypto / NFT / Web 3.0,https://realsimplelabs.com/
Really,Asia,Real Estate / Housing,#
Reap Technologies,Asia,Finance - Banking / Payments / Lending,https://www.reap.hk/
Red Leader Technologies,US,Mobility / Transportation,https://www.redleadertech.com/
Redactable,US,Communication / Collaboration / Productivity,https://www.redactable.com
Remotebase,Africa,HR / Hiring / Employment,https://www.remotebase.com/
RentalHeroes,Australia,Real Estate / Housing,https://www.rentalheroes.com.au/
Reprosent,US,Health / Fitness / Wellness,https://www.reprosent.com
ReturnKey,Asia,Retail / E-commerce,#
Robbie AI,US,Advertising / Marketing,https://robbie.ai/
Roboamp,US,Development Tools & Infrastructure,#
Robomart,US,Food / Agriculture,https://robomart.co/
Rocket Academy,Asia,Education / Personal & Professional Development,#
Roll,US,Blockchain / Crypto / NFT / Web 3.0,https://www.turingadvisorygroup.com/
Round 21,US,Blockchain / Crypto / NFT / Web 3.0,https://www.round21.com/
Routefire (acq),US,Blockchain / Crypto / NFT / Web 3.0,https://routefire.io/
Rupa Health,US,Health & Wellness,https://rupahealth.com/
Ryna,Canada,Real Estate / Housing,https://www.theryna.com/
Sacra,US,Finance - Other,#
Sanctuary,Canada,Robotics,https://www.sanctuary.ai/
Scout,US,Finance - Investing,#
Scout,US,Education / Personal & Professional Development,https://www.investwithscout.com/
Scylla Technologies,US,Security / Cybersecurity,#
Series Financial,US,Finance - Banking / Payments / Lending,#
ServiceBack,Asia,General / Industry Agnostic,http://www.serviceback.sg/
Setter (acq),Canada,Real Estate / Housing,https://setter.com/
Shoplive,Asia,Retail / E-commerce,https://www.shoplive.cloud/en
Shoutoutz,Asia,Arts / Entertainment / Media / Sports & Gaming,#
Showcase,Asia,Retail / E-commerce,http://www.showcase.co.th/
Skills Union,Asia,Education / Personal & Professional Development,https://www.skillsunion.com/
Slai.Ai,US,Data / Analytics / AI / ML,https://www.slai.io/
SmartARM,Canada,Robotics,https://smartarm.ca/
Sophon Analytics,Asia,Advertising / Marketing,#
Spline,Latin America,Development Tools & Infrastructure,https://spline.design/
SpotOn,US,Pets / Animals,#
Stable,US,HR / Hiring / Employment,http://mistro.io/
Stagger,US,Advertising / Marketing,http://stagger.com/
Standard Cyborg,US,Development Tools & Infrastructure,https://www.standardcyborg.com/
StarKitchens,Africa,Retail / E-commerce,https://starkitchensgroup.com/
Stardust,US,Blockchain / Crypto / NFT / Web 3.0,https://www.stardust.gg/
Steady Capital,US,Data / Analytics / AI / ML,#
Stendard,Asia,Logistics / Shipping,www.stendard.io
SupplyLine,Asia,Logistics / Shipping,https://supplyline.network/
Support Pay,US,Finance - Banking / Payments / Lending,#
Swap,Latin America,Finance - Banking / Payments / Lending,#
Swarm,Asia,HR / Hiring / Employment,https://www.swarm.work/
SwayBrand,US,Retail / E-commerce,#
Switch,US,Finance - Banking / Payments / Lending,www.payclub.com
Switchboard,US,Development Tools & Infrastructure,https://www.propulsionlab.co/
Sydecar.io,US,Finance - Investing,www.sydecar.io
Symba,US,HR / Hiring / Employment,https://symba.io/
TalentQL,Africa,Personal & Professional Services,https://talentql.com/
Tales,US,Arts / Entertainment / Media / Sports & Gaming,https://taleswriter.com/
TargetDocs,US,Construction / Materials,www.protrakr.com
Techmate,US,Communication / Collaboration / Productivity,#
TeleCalm,US,Security / Cybersecurity,https://teleCalmProtects.com
Tendo Pay,Asia,Finance - Banking / Payments / Lending,#
Thank You Kindly,US,Retail / E-commerce,https://www.thankyoukind.ly/
The Cru,US,Education / Personal & Professional Development,#
The Ora Group,Asia,Health & Wellness,#
The X Place,US,Arts / Entertainment / Media / Sports & Gaming,#
Throne,US,Communication / Collaboration / Productivity,https://throne.live/
Tiny Health,US,Health & Wellness,http://seedinglabs.co/
Tribe,Asia,Finance - Other,www.tribefintech.com
Trivial,US,Development Tools & Infrastructure,https://www.withtrivial.com/
Twofold,US,General / Industry Agnostic,http://www.twofoldusa.com/
Twurs,Asia,Travel / Hospitality,www.twurs.com
UPage,Asia,Development Tools & Infrastructure,https://upage.pk/
Unstack,US,Advertising / Marketing,#
Uprise,US,Finance - Other,https://ontrail.co/
Vendease,Africa,Food / Agriculture,https://www.vendease.co/
Vested,US,Finance - Investing,www.vestedfinance.co
Vietcetera,Asia,Arts / Entertainment / Media / Sports & Gaming,#
Vimcal,US,Communication / Collaboration / Productivity,#
Vinovest,US,Finance - Investing,https://www.vinovest.co/
Virtual Internships,Asia,HR / Hiring / Employment,https://www.virtualinternships.com/
Voiceflow,Canada,Development Tools & Infrastructure,https://www.getvoiceflow.com/
Waiver Finance,US,Finance - Banking / Payments / Lending,https://www.waiverfinance.com/
Webflow,US,Development Tools & Infrastructure,https://webflow.com/
Wellacy,US,Health & Wellness,http://bewellacy.com/
Wellnite,US,Health & Wellness,https://www.wellnite.com/
Wrangle,US,Communication / Collaboration / Productivity,https://www.wrangle.io/
Yada,US,Sales / Operations / Customer Service,http://www.helloyada.com
