Company Name,Company Link,Description,Location,Founder Email
Bikky,https://bikky.com/,"Bikky is the first CRM for restaurants helping you power digital hospitality by providing the system of record for all of a restaurant’s guest data. Bikky maps your guest footprint across all of your channels, from point-of-sale to delivery to loyalty, helping you know who your guests are, understanding their behavior across channels, and serving them across their entire customer journey.
Founders: Mathieu Dalmau, Abhinav Kapur, Deepti Sharma, Shandeep Sharma
founders@bikky.com

Website
@bikkyhq",Enterprise,
BlendED,https://blendedcourse.com/,"BlendED is a course design platform and marketplace that transforms how professors build, deliver, and monetize course curriculum. We combine the best qualities of online and face-to-face instruction, enabling professors to engage the modern learner with rich content experiences. We save students money, create more engaging courses, and provide professors with additional income.
Founders: David Boone, Dr. Jeff McClellan
founders@whatsnextedu.com

Website
BlendED",Enterprise,
Blinkbuggy,http://blinkbuggy.com,"Blinkbuggy is a product that lets you capture your family life in video 3 seconds at a time. Our mobile and web tools give parents a powerful way to keep up with the huge volume of digital memories and automates the creation of personalized time-lapse videos. Our platform helps families capture, organize, share and preserve memories in a simple, structured way.
Founders: Liad Spiro, Emma Weisberg
founders@blinkbuggy.com

Website
@blinkbuggy",Consumer,
BlockstreetHQ,http://www.orcadex.com/,"BlockstreetHQ is a digital media publisher that produces videos, podcasts, and articles to simplify blockchain for the masses. The company partners with thought leaders to help bridge the gap between an emerging industry and the larger global community searching for information that’s accurate and easy to understand.
Founder: Brian Lee
founders@blockstreethq.com

Website
@BlockstreetHQ",Enterprise,
Bond Sports,https://facilities.bondsports.co/,"Bond Sports is the holistic solution to manage athletic spaces. Save time and money with an easy-to-use, modern platform to manage all of your activities, rentals and members.

Website
@bond_sports",★,
BookBuses,http://bookbuses.com,"BookBuses is a B2B platform for renting charter buses. We provide businesses and organizers real-time search, on-demand pricing, and instant bus booking—and then let them track the bus on the day of the event with our app. BookBuses gives customers a better experience and helps the fragmented charter bus industry improve fleet utilization.
Founders: Oscar Aabech Jung, Bjorn Broby Glavind, Ostap Kovalisko
founders@bookbuses.com

Website
@bookbuses",Enterprise,
bOPS,https://www.bops.ai/,"bops is an inventory intelligence platform helping manufacturers and distributors source, make, and deliver their products. By powering data applications, bops provides operators with end-to-end supply chain visibility and continuous insights to make daily decisions and unlock working capital.
Founders: Jorge Risquez, Domingo Noriega
founders@bops.ai

Website
@bops_ai",Enterprise,
Bubbl,http://bubbl.me,"Bubbl is a mobile video clip sharing service that lets users capture online video highlights. At the push of a button, Bubbl grabs the short “snip” of streaming content that matters most to the viewer, making sharing and digesting video content more engaging.
Founders: Rob Perkins, Haydn Strauss, Mauhan Zonoozy
founders@Bubbl.me

Website
@BUBBLme",Enterprise,
Bunchcut,,"Bunchcut is a B2B collaboration engine to intelligently manage visual content in one place and in real time. Professionals who work with visual content waste countless hours in this process and need a new tool to make better data-driven decisions. Our platform is a powerful solution to the multibillion dollar visual content overload problem.
Founders: Jan Pickard, Alex du Preez, Nathalie du Preez



@BUNCHCUT",Enterprise,
Butler Hospitality,https://www.butlerhospitality.com/,"Butler Hospitality is the first ghost kitchen network for hotels. We partner with hotels to transform their restaurant kitchens into Butler-operated food hubs, and develop restaurant brands through exclusive relationships with hotel owners, managers, and brands.
Founder: Premtim (Tim) Gjonbalic
founders@butlerhospitality.com

Website
@Butlermenu",Enterprise,
BuzzTable,http://www.trycake.com/products/cake-waitlist-management/,"BuzzTable puts the “old school” table buzzer on your phone – establishing a direct line of communication between the restaurant and their customer. Other apps focus on restaurant discovery, but we’re all about retention – incentivizing customer to return through loyalty rewards, deals, and a more personalized relationship.
Founders: John Brennan, John Williams, Warner Siebert, Mike Cerrone
founders@buzztable.com

Website",Enterprise,
Caire,https://www.cairebeauty.com/,"Caire is a subscription DTC skincare brand for women 40+. Our Lab’s Hormone Defying Science uses proprietary formulations to specifically rejuvenate the skin structure losses caused by natural hormone decline and menopause. Caire delivers clean science, framed with a modern brand voice to women at a highly affordable price point.
Founders:  Lorrie King, Celeste Lee
founders@cairebeauty.com

Website",Consumer,
CancerPath,https://www.mycancerpath.com/,"CancerPath is a patient-empowerment platform democratizing access to cutting-edge cancer therapies. For the 80% of cancer patients with limited access to specialized physicians, we provide a mechanism to obtain personalized, precision therapies that can potentially double additional lifespan.
Founders: Gautam Rajpal PhD, Samuel Lee
founders@mycancerpath.com

Website",Enterprise,
CardFlight,https://cardflight.com/,"CardFlight connects mobile developers with payment processors. Developers retain full control of their integrated app experience, and use our encrypted mag stripe reader and SDK/API so that they can safely and securely accept card present payments in their apps, with support for their existing merchant account(s). We provide the easiest way to incorporate card-present payment acceptance into your own mobile app.
Founder: Derek Webster
founders@cardflight.com

Website
@CardFlight",Enterprise,
Careswitch,https://careswitch.com/,"Careswitch is an all-in-one software platform that simplifies and automates the essential tasks of a home care business. We help solve the caregiver shortage by making it easier for agencies and caregivers to make more money in home care.
Founders: Ilya Vakhutinsky, Mark Fayngersh
founders@careswitch.com

Website
@careswitch",Enterprise,
CarrotFi,https://www.carrotfi.com/,"CarrotFi is a digital platform that streamlines the home ownership journey for borrowers by simplifying personal finance counseling. We enable lenders to better engage with mortgage customers, proactively matching borrowers with personal finance solutions that create liquidity across household expenses. We help accelerate mortgage origination, repayment and resolution, while also boosting lender profitability.
Founder: Kwang Lim
founders@carrotfi.com

Website",Enterprise,
Cartified,http://cartified.com,"Cartified is an online used car marketplace that makes car buying easier and faster with its proprietary “car bot” technology. Cartified’s platform locates the vehicle a buyer wants, enables a local test drive and delivers a trusted purchasing experience. . .all while avoiding the dreaded car salesman.
Founders: Vlad Kartashov, Eddie Chu, Dmitry Karpov
founders@cartified.com

Website
@cartifiedcars",Consumer,
Castellum.AI,https://www.castellum.ai/,"Castellum.AI is a B2B SaaS compliance platform that helps businesses avoid losses and fines by identifying financial crime risk 80% more accurately than the legacy companies.
Founders: Peter Piatetsky, Julian Vasilkoski
founders@castellum.ai
 

Website",Enterprise,
CaterCow,https://www.catercow.com/,"CaterCow is a marketplace where you can browse and book catering packages online. Hire a chef to make table-side guacamole for your party, order picnic lunches for your company outing, or rent a food truck for your wedding reception. Each clearly priced package can be booked without the frustrating back and forth of traditional catering.
Founders: Chris Collins, Carly Chamberlain
founders@catercow.com

Website
@catercow",Consumer,
Caylent,http://caylent.com,"Caylent is a DevOps-as-a-Service platform that helps software developers build, deploy, and manage their containers in the cloud. Our platform makes it simple, fast and cost effective for companies to automate DevOps. Software teams use Caylent for 1-click deployments, continuous delivery, automated testing, monitoring, and more.
Founders: JP La Torre, Stefan Thorpe
founders@caylent.com

Website
@caylentinc",Enterprise,
ChalkTalk,https://chalktalk.com/,"ChalkTalk is an online platform for personalized, teacher-led instruction, both in person and remote. We turn K-12 Math and English Language Arts curricula into instructional materials, group activities, and practice exercises adapted to match individual student needs. We free teachers from lesson planning, creating teaching materials, assignments, grading, state standards reporting, and assessments, leaving more time for meaningful teacher-student interactions.
Founder: Mohannad Arbaji
founders@chalktalk.com

Website
@ChalkTalk",Enterprise,
Chicory,http://chicory.co,"Chicory is a media and technology platform for online grocery. Chicory reaches approximately 80 million unique monthly users and has partnered with companies like Peapod, Campbell’s and General Mills International to lay the groundwork for the future of grocery.
Founders: Joey Petracca, Yuni Sameshima
founders@chicory.co

Website
@chicoryco",Enterprise,
Choosy,http://getchoosy.com/,"Choosy is an on-demand social shopping platform where users influence every collection to match their favorite style inspirations. Through social tagging and a team of Style Scouts, Choosy identifies and manufactures trend-driven fashion delivered to shoppers in as little as two weeks. It’s the modern-day equivalent of the ultimate window-shopping experience, creating a new generation of social commerce. All looks are designed and produced in-house, so women sizes 0-20 can get today’s most covetable looks without the ticket price of labels.


Founders: Jessie Zeng, Sharon Qian, Mo Zhou
founders@getchoosy.com

Website
@choosyusa",Consumer,
Circle,https://letscircle.co/,"Circle  is a video platform with specialized features for virtual networking events. We make it simple for hosts to setup and manage events; we give guests an intuitive interface where they can mingle in multi-room events and easily follow-up with new contacts after leaving the meeting. We add the in-person experience to virtual gatherings.
Founders: Kidae Hong, Claire Park
founders@letscircle.co

Website",Enterprise,
Cirkled In,https://www.cirkledin.com/,"Cirkled In is a modern, secure, and engaging profile platform empowering students to showcase their holistic achievements, academics and beyond, for all applications from college and scholarships to internships and jobs, with just a button click. Using this rich-data, Cirkled In enables college recruiters and employers to find and recruit the best-fit candidates, creating win-win.
Founders: Reetu Gupta, Prashant Shukla
founders@cirkledin.com

Website
@cirkledin",Consumer,
Cityline,https://cityline.io/,"Cityline is an app that allows rental property owners to instantly vet, accept, and process prospective tenants by running credit, income, identity, and background checks in seconds. Upon tenant approval, we generate custom lease agreements and automate the behind the scenes work of execution, guaranteeing legal compliance and eliminating tenant/owner exchange. We allow owners to monitor and improve the financial health of their real estate portfolio throughout lease periods, leveraging their own tenants’ screening data. 
Founders: Ryan Jaeger, Ryan Musto, and Rohan Watumull
founders@cityline.io

Website
@Cityline on TikTok",Enterprise,
Closet Dash,,"ClosetDash lets women swap their old fashions to shop for new fashion. Swappers exchange clothes for credit toward merchandise from our large inventory. Customers with nothing to swap can just shop for great deals. Our clothing sales produce a 60% gross margin. We’ve swapped more than 9,000 pieces of clothing to date!
Founders: Jennifer Lee",Consumer,
Cloudonix,https://cloudonix.io/,"Cloudonix is an infrastructure as a service platform that enables companies to more effectively interact with consumers through their mobile and web apps. We give enterprises multiple ways of communicating with their customers over a single cloud-based IP channel, through voice, data, video, and text. We provide enterprises with significant savings and more efficient agent interactions compared to current solutions.
Founders: Nir Simionovich, Eric Klein
founders@cloudonix.io

Website
@cloudonix",Enterprise,
Coinapoly,https://www.coinapoly.com/,"Coinapoly is an asset management platform for residential real estate.  Our technology cracks the code for homeownership with its rent-to-own platform for new single-family homes.  This enables renters to buy a part of their home over time while also providing better risk-adjusted returns to real estate investors.
Founder: Sandeep Vardhan
founders@coinapoly.com

Website",Consumer,
CoLoadX,http://coloadx.com,"CoLoadX is a B2B marketplace serving the highly fragmented, international ocean freight and logistics industry. We apply a combination of proprietary technologies and domain expertise to deliver savings up to 25% to shippers. Our marketplace connects hundreds of thousands of freight forwarders to wholesalers with inventory on ocean ships.
Founders: Fauad Shariff, Petere Miner
founders@coloadx.com

Website
@coloadx",Enterprise,
CommonKey,https://commonkey.com/,"CommonKey is a cloud-based password management platform, providing SMBs easy to use security tools based on the highest industry security standards. Teams can securely share login credentials, easily manage permissions, while giving management statistics on a company’s security activity and strength.
Founders: Andrew Stroup, Michael Cohen
founders@commonkey.com

Website
@CommonKey",Enterprise,
Confetti,https://www.withconfetti.com/,"Confetti is a proprietary booking platform that saves companies time and money on their events. Each customer’s unique requirements are matched with vetted vendors, eliminating the pain of sourcing vendors. Confetti then instantly generates multi-vendor proposals and automatically handles the logistics for our customers.
Founders: Lee Rubin, Eyal Hakim
founders@withconfetti.com

Website
@withconfetti",Enterprise,
Consigned,,"Consignd allows anyone to be a retailer. We let bloggers, pinners and anyone with an audience open an online store without ever having to source, ship or own inventory. 
Founders: Luke Sherwin, Gabriel Flateman, Neil Parikh, Christopher Smothers, Giles Holt",Enterprise,
Convessa,http://convessa.com,"Convessa is an AI platform that powers connected, voice-controlled products. Our software lets organizations build virtual assistants to engage their customers in intelligent two-way conversations. We help companies get to market quickly by handling all the complexities of building and maintaining personalized and contextual conversational experiences.
Founders: Nik Bhattacharya, Dan McCafferty
founders@convessa.com

Website
@convessa",Enterprise,
CoolR,http://www.coolrgroup.com/,"CoolR is an inventory data solution for retailers and the CPG industry. We give customers real-time visibility into their sales and operations performance with our automated inventory monitoring system. We use a combination of wireless cameras, sensors, and computer vision-based software platform to solve one of retail’s biggest challenges—tracking inventory and shelf performance.
Founders: Roy Mehta, Durlabh Jain
founders@coolrgroup.com

Website",Enterprise,
Coral,https://www.startcoral.com/,"Coral is a B2B platform for installers of heat pumps and other energy-efficient home upgrades. Our technology helps installers convert more sales by qualifying customer leads, enabling instant access to financing and government incentives, and establishing a lifelong customer relationship. With Coral, installers grow their business while homeowners reduce energy costs and carbon emissions.
Founders: Samir Pendse, Nizar Dhamani
founders@startcoral.com


Website",Enterprise,
Coverr,https://www.getcoverr.com/,"COVERR is an online financial services provider customized for Gig Economy workers (independent contractors, such as Uber drivers or DoorDash delivery personnel). COVERR evaluates alternative and traditional factors to provide contractors with capital to help stabilize earnings volatility or small emergencies.
Founder: Kobina Ansah
 

Website
@withCOVERR",Enterprise,
Cquence,https://cquence.app/,"Cquence is a SaaS platform that automates the painstaking review and organization of video footage throughout the entire video creation process. The platform indexes millions of AI metadata points for every project, making it easy to instantly find clips of any person, object, or quote. Leading media and entertainment organizations use Cquence to make video creation faster and video content more valuable.
Founders: Domenic Matesic, Nick Rasch, Larry Rosenzweig
founders@cquence.app

Website
@CquenceApp",Enterprise,
Crafted,https://www.cookwithcrafted.com/,"Crafted is the livestreaming community for home cooks, like Twitch, but going after a market 10 times the size of gaming. Through food communities, home cooks go live to showcase recipes and products, and cook together in real time. We empower food brands and retailers to sell to highly-engaged audiences through our livestreaming and commerce solution.
Founders: Todd Baldwin, Sarah Nesheim
founders@cookwithcrafted.com
 

Website
@cookwithcrafted on IG",Consumer,
CUPS,https://cupsworks.com/,"Cups is an all-in-one platform built specifically for the more than 30,000 independent coffee shops in the U.S. We give these stores the purchasing power and business tools that are currently only available to big-chain franchises, all without sacrificing their unique, independent character.
Founder: Gilad Rotem
founders@cupsworks.com

Website
@cupsworks",Enterprise,
Curacity,http://www.curacity.com/,"Curacity is the leading analytics platform measuring and monetizing the link between content and commerce for the hotel world. Its attribution technology turns content into an investable and scalable customer acquisition channel for hotels.

Website
@Curacity",★,
Daivergent,https://daivergent.com/,"Daivergent  is a technology platform providing human intelligence to support development of AI products through our exceptional remote workforce: adults with autism. Our platform handles the assessment, training, and project management that enables this workforce to complete customer data tasks up to three times more accurate and faster than a typical person.
Founders: Byran Dai, Rahul Mahida
founders@daivergent.com

Website
@DaivergentHQ",Enterprise,
Dalia,https://www.dalia.co/,"Dalia helps employers get more qualified applicants for less. Its recruitment marketing automation platform converts lost job seeker traffic to give talent acquisition teams more qualified applicants and lower their job advertising spend.
Founder: Sam Fitzroy
founders@dalia.co

Website
@DaliaLabs",Enterprise,
Dashride,https://dashride.com/,"Dashride is a cloud-based mobile dispatching platform that simplifies ride management for the livery industry. Its white-label platform integrates with existing software, helping livery companies reduce costs, maximize driver efficiency and provide an app to end-consumers—and helps them compete with new industry entrants.
Founders: Nadav Ullman, Tom Bachant
founders@dashride.com

Website
@dashride",Enterprise,
Debitize,https://debitize.com/,"Debitize is a personal finance app that helps customers build smarter financial habits, beginning with their credit card spending. We let consumers use any existing credit card like a debit card, immediately setting aside funds to cover purchases, letting them earn rewards and build credit without worrying about potential interest and late fees.
Founders: Liran Amrany, Jeff Hu
founders@debitize.com

Website
@debitize",Consumer,
Dezignable,,"Dezignable is an online home design marketplace that connects clients with professionals to create custom designs for the home, including detailed floor plans and product lists. The result is a curated e-commerce experience, designed specifically to the consumer’s budget and style.
Founders: Marty Collins, Alison Andrews Reyes
founders@dezignable.com

@dezignable",Consumer,
Dibsie,,"Dibsie is a shopping site curated by your friends that allows you to shop hundreds of brands and retailers in one place. You can also share activity like searches and bookmarks with your friends and followers.
Founders: Garren Givens, Scott Poniewaz, Dylan Fareed",Consumer,
DiploAI,https://diploai.org/,"DiploAI is a SaaS platform that helps governments navigate public-sector data and bureaucracy. We use machine learning and NLP algorithms to streamline international engagement and strategy and cut out the need for consultants or manual analysis.
 Founder: Baptiste Bouvier
founders@diploai.org

Website",Enterprise,
DirtSat,https://www.dirtsat.com/,"DirtSat empowers commercial property owners to turn underutilized rooftop assets into climate workhorses with outsized environmental and economic returns. Our data-driven tools surface hidden ROI across commercial portfolios ripe for green roof implementation. The most viable properties are autonomously identified and ranked, streamlined for development, and measured for impact.
Founders: Christine Tiballi, Nathalie Descusse-Brown
founders@dirtsat.com
 

Website
LinkedIn",Enterprise,
DocFlight,http://docflight.com/,"DocFlight is an international telemedicine company connecting Chinese patients to leading US doctors. Our platform enables patients to book virtual consultations (including translators) and receive medical recommendations—all in one place. DocFlight supports a full range of specialties, with an initial focus on oncology.
Founders: Sally Wang, Peter Liu
founders@docflight.com

Website
@Doc_Flight",Consumer,
DogSpot,https://hellodogspot.com/,"DogSpot places high-tech, single-occupancy dog houses on the sidewalk outside of stores where dogs aren’t allowed. We deploy networks of DogSpots to give the 80M US dogs and their owners an opportunity to spend more time together without needing to worry about doggie logistics. In doing so we also help 57% of retail and food establishments better attract and serve dog owning customers.
Founders: Chelsea Brownridge, Todd Schechter
founders@dogparker.com

Website
@dogspot",Consumer,
Easy Pairings,,"Easy Pairings improves the hiring and job search process for restaurant front-of-house positions. By matching the right job seekers with open positions, Easy Pairings cuts recruitment costs and helps restaurants find talent quickly and easily.
Founders: Darren Wan, Peter Lada
founders@easypairings.com",Enterprise,
Emporia,https://www.emporiaresearch.com/,"Emporia is a self-serve B2B research platform that’s built on nearly one billion professional and firmographic records. Our customers use Emporia to collect on-demand insights for new product development, sales enablement, competitive analysis and more.
 Founders: Michael Hess, Mark Hannan, Jake Roeland
 founders@emporiaapp.com
 


Website",Enterprise,
Encap Health,https://encaphealth.com/,"Encap Health is transforming the after-visit experience to improve patient health – starting with automated, engaging, and actionable visit summaries. Our emailed summaries (no portals or log-ins) include the latest health education, product, medication, and lifestyle recommendations personalized for each patient.
Founders: David Neyhart, Kamilla Tekiela, Dr. Nicolas Chronos
Founders@encaphealth.com

Website
LinkedIn",Enterprise,
Esger,https://www.esger.co/,"Esger is a SaaS platform that simplifies the ESG certification process for small and medium-sized businesses so they are certification-ready in weeks, not months.
Founders: Advait Raykar, Aparajita Thakker, Ken He, and Eesha Khanna
founders@esger.co

Website
LinkedIn",Enterprise,
Ettitude,https://www.ettitude.com/,"Ettitude is a direct-to-consumer bedding and homewares brand. Starting with bedding and sleepwear, we use the world’s first organic bamboo lyocell fabric to manufacture soft, cooling, odor-absorbent, and hypoallergenic products. We give our customers stylish, sustainable and ethically produced comfort for a fraction of the cost of silk and luxury cotton.
Founders: Phoebe Yu, Kat Vorotova
founders@ettitude.com

Website
@ettitude",Consumer,
Eventable,https://www.eventable.com/,"Eventable is a marketing automation platform for the calendar. We help brands engage their audiences through any calendar, enabling them to promote events–from sports schedules to retail sales to TV programming. Eventable drives timely interaction through the calendars consumers already use to manage their daily schedules.
Founders: Sameen Karim, Akash Malhotra
founders@eventable.com


Website
@eventable",Enterprise,
Everyspace,https://everyspacehq.com/,"Everyspace is an engagement platform for managing internal communications, communities, and events to keep employees connected. We integrate across Slack, Zoom, email, calendar, and more to create a centralized social intranet for employees to get involved. This provides an automated workflow for HR teams who get a proprietary engagement score that implicitly measures interaction across all internal tools and uses ML to predict likelihood of employee churn.
Founder: Tom Bachant
founders@everyspacehq.com

Website
@everyspacehq",Enterprise,
