Company Name,Company Link,Description,Geography
Allevi,http://www.allevi3d.com/,"Allevi develops 3D bioprinters and bioinks intended to cure disease, test novel drugs, and eliminate the organ waiting list. They aim to develop versatile technology that simplifies the designing and engineering of 3D tissues.",Mid-Atlantic
AllHere,http://allhere.com/,AllHere is a conversational AI solution for K-12 education. Their chatbot subscription SaaS platform is offered to schools and school districts on a per-student pricing basis.,New England
Allset,http://allsethq.com/,"Allset is an all-in-one app that helps you message customers, book appointments and accept payments – with one tap.",Mountain
Almanac Labs,https://almanac.io/,"Almanac is a platform providing digital businesses with best practices, tools, and templates based on industry standards. Users have access to tools, templates, and guides from startup experts, as well as new technology and easily accessible formats.",California
Alpaca,http://alpaca.casa/,Alpaca uses AI to match tenants and landlords and guide them through the rental process. They connect users with hundreds of housing groups and listings on social networks.,New York
Alto Experience,http://ridealto.com/,"Alto is an on-demand ridesharing platform intended to offer transportation services using a dedicated fleet of new, safe, and well-maintained vehicles.",South
AltoIRA,http://altoira.com/,"Alto is an alternative asset-investing platform intended to administer self-directed individual retirement accounts. Users can invest retirement savings in private equity, venture capital, cryptocurrency, and other assets.",Southeast
Altro,https://altro.io/,Altro is building a platform that helps young adults build credit through nontraditional ways,California
Alviere,http://alviere.com/,"Alviere (formerly Mezu) provides a single-integration API that streamlines and automates the delivery of financial products. They offer businesses branded FDIC-insured bank accounts, debit cards, cross-border currency exchange, risk and fraud prevention, and more.",Mid-Atlantic
Alyce,http://alyce.com/,Alyce offers an AI-powered corporate gifting platform that better personalizes gifts for each recipient. Personal social data helps companies choose custom gifts. Recipients have the option to exchange it for something else or donate to a charity of their choice.,New England
American Gene Technologies,http://www.americangene.com/,"American Gene Technologies develops gene and cell therapy drugs that treat infectious diseases, monogenic disorders, and cancers. The drugs use a proprietary gene-delivery platform to develop patented gene and cell therapies that cure these diseases.",Mid-Atlantic
Americana,https://americana.af/,"Americana operates at the intersection of non-fungible tokens (NFTs) and physical assets. Its NFTA Universal Chip allows customers to bring any valuable off-chain physical asset on-chain, providing the security and benefits that the blockchain offers. The company’s small NFTA chip can be embedded on any physical object, collectible, artwork, or other valuable asset to secure its value on the blockchain. Once assets are on-chain, Americana’s platform will facilitate their exchange through its marketplace.",South
Ampool,http://ampool-inc.com/,Ampool enables high speed analysis of data stored locally or in the cloud. It accesses data stored across all silos in real time while running sub-second queries.,California
Analog Inference,http://analog-inference.com/,Analog Inference is a semiconductor company developing products for neural computing. Their artificial intelligence hardware-acceleration solutions provide high performance with low power demand.,California
Anduin Transactions,http://anduintransact.com/,"Anduin Transactions is the developer of a financial platform intended to streamline private market transactions for its clients. They utilize cloud services to track and expedite financial transactions, such as diligence, milestone reporting, auditing, and deal negotiation.",California
ANRA,http://anratechnologies.com/,"ANRA is a cloud-based, unmanned air-traffic management platform for commercial drone operators and civil governments. The company provides management, data analytics, FAA compliance, resource management, and maintenance information in a single platform.",Mid-Atlantic
Anycart,http://anycart.com/,"Anycart combines features of grocery delivery services and recipe websites in a single platform. Users can shop for any meal and order the requisite groceries, with free home delivery or store pickup from grocery stores in 200+ cities.",California
Anything World,https://anything.world/,"Anything World is an AI-enabled middleware platform that helps developers build interactive 3D experiences for games, images, and video production — at lower costs and speeds 40% faster than alternatives. The platform combines voice computing and 3D rendering with layers of behavioral intelligence. Its 600,000 digital assets can easily be integrated into any 3D world, and its voice-controlled system can seamlessly populate 3D environments.",Europe
Anzu.io,https://anzu.io/,Anzu is an advertising platform and analytics tool for the gaming industry. Their patented real-time 3D tracking provides marketers with accurate viewer metrics and the ability to target user personas seamlessly in-game.,New York
ApertureData,http://aperturedata.io/,"ApertureData provides a high-performance data management solution that makes visual assets easily manageable for machine learning and other applications. Its visual data management system, ApertureDB, accelerates and simplifies ML-based applications. It enables media, entertainment, medical imaging, and other types of companies to gain insights from their large collection of images, videos, and associated high-dimensional data.",California
Appify,http://appify.com/,"""Appify helps businesses build custom applications to address a range of digitization needs, from simple data entry to more complex workflows."" A no-code, drag and drop model with customizable application sets enables technical and non-technical users to build mobile apps.",California
Applied XL,https://appliedxl.com/,"Applied XL is an AI company that monitors massive databases and provides industry-specific updates in real time, such as new treatments and new ways of diagnosing diseases. The company creates digital sensors for detecting changes in industry-specific data powered by the latest machine learning techniques and editorial algorithms. The AXL intelligence platform delivers real-time alerts by detecting highly relevant shifts in clinical trials data.",New York
Apprentice Health,http://apprenticehealth.com/,"Apprentice Health develops software that helps care teams keep their workdays personalized, smooth, on-time, and profitable. It offers scheduling, analytics, and analysis that enable healthcare professionals to create high-performance workflows.",New England
Aprende Institute,http://aprende.com/,"Apprende (Learn) has developed the leading online education platform for vocational training in LatAm and the U.S. Hispanic market, offering a wide array of online certifications and courses. Their platform integrates technology and digital media with traditional instruction-led activities, helping employees and students improve her work skills, start their own business, or embark on a new career. It monitors student progress, promotes engaged learning, and provides students a flexible, customized learning experience that is accessible on any device.",Southeast
Aquabyte,http://aquabyte.ai/,"Aquabyte’s aquaculture monitoring systems use cameras and machine learning to improve fish farming efficiency. The platform uses computer vision technology to offer real-time sea lice counts, biomass estimation, and feed optimization.",California
Arable Labs,http://arable.com/,"Arable Labs provides farmers with a hardware and software suite to efficiently and scalably collect crop data. The platform leverages AI and machine learning to help farmers optimize when and how much to irrigate, fertilize, and use pesticides.",California
Arc Technologies,https://arc.tech/,"ArcFI provides SaaS companies with fast, non-dilutive growth capital, delivered through a seamless, consumerized enterprise technology experience. By integrating with customers’ backend financial systems through its secure customer portal, ArcFi can make real-time underwriting decisions algorithmically to provide software companies with instant capital without seeing dilution or taking on debt.",California
Arcadia Power,http://arcadia.com/,"Arcadia has developed a clean energy tech platform that provides individuals and organizations greater transparency into their energy usage. Their platform provides easy access to clean energy via a mobile-optimized dashboard to manage, track, and view energy usage. This gives homeowners, businesses, and others greater control over what energy they support, how much it costs, and how they pay.",Mid-Atlantic
Architect.io,https://www.architect.io/,"Architect is an end-to-end, DevOps-as-a-Service platform that serves modern software architecture needs by helping teams collaborate and achieve deployment, networking, and security automation all at once. Architect’s innovative Architecture-as-Code framework automates tedious time-consuming and error-prone tasks, allowing software developers to extend other microservices, secure their applications, and more rapidly deploy to production and on-demand environments.",New England
Arcus,http://arcusfi.com/,"Arcus (formerly Regalii) has built a two-way, real-time API that connects financial service providers with merchants. The API allows banks and financial service providers’ customers to connect bills and payments directly to their bank and credit cards.",New York
Ardius,http://ardius.com/,"Ardius is a research and development tax credit management platform. Their solution discovers R&D tax credits, provides tax forms for filing, and generates comprehensive reports for validation and compliance for SMBs.",California
Arris Composites,http://arriscomposites.com/,"Arris Composites, developer of next-gen composites for mass market applications designed to address the scalability problem of 3D printing and the steep costs and limitations of composite manufacturing.",California
Arrive,http://arrive.com/,"Arrive is a scalable, friction-free drive-up and reservation parking service for consumers and enterprise customers. They partner with companies, brands, and municipalities of all kinds to provide seamless parking and other mobility-related services.",Great Lakes
Arrows,https://arrows.to/,"Arrows helps software companies onboard new customers, ensuring that those customers get up and running with new digital products as quickly as possible. Arrows replaces spreadsheets or project management tools with a shared onboarding plan with tasks, checklists, and email reminders.",California
Artiphon,http://artiphon.com/,"Artiphon is dedicated to making smart, playful instruments that everyone can enjoy. Their flagship products are Orba, a handheld synth/looper, and INSTRUMENT 1, a MIDI controller that lets you strum, bow, tap, slide, and drum any sound on a single interface.",Southeast
Ascend Elements,https://ascendelements.com/,"Ascend Elements has created an IP-protected recycling process focused on lithium-ion batteries for Electric Vehicles, a market projected to rapidly grow (>30% CAGR) over the next decade. Ascend Elements enables not just the recycling of battery chemicals but also the re-production of cathode materials — one of the more costly components of Li-ion batteries — all with a 59% lower cost of goods vs. producing from virgin raw materials.",New England
Assembly,https://www.joinassembly.com/,"Assembly is a no-code workflow builder, enabling any user in any organization to streamline day-to-day processes Assembly’s no-code building blocks automate and organize core business processes and interactions, replacing the countless point solutions used by enterprises today.",California
Asto CT,http://astoct.com/,Asto CT has built a system for standing x-ray computed tomography (CT) for horses. They are pioneering the use of cutting-edge robotics with advanced multi-slice CT to provide state-of-the-art screening and diagnosis.,Midwest
Astra,http://astra.finance/,"Astra is a mobile app that allows consumers to optimize their cash flow through automated bank transfers. The app lets users transfer cash between their checking and savings accounts, to enable an easier, more intuitive cash flow processes.",California
Atlas,https://atlasfinancial.com/,"Atlas (formerly Trading TV) enables users to invest in professionally managed portfolios organized by themes that its analysts believe will provide alpha-generating performance over the long term. Examples of portfolio themes include Sports and Entertainment, Young Money (FinTech), Sustainability and ESG, Future of Work, and Recession Ready.",New York
Atmoslabs,https://atmos.xyz/,"Atmos is a play-to-earn blockchain gaming universe built around metaverse-native sports. It has a robust resource and land-based economy, offering unique community ownership opportunities. Blending mechanics from gaming, NFTs, and DeFi, the company provides true game-asset ownership, where there is a revenue sharing model between players, content creators, and developers.",Midwest
Atomic8,https://www.atomic8.co/,Atomic8 offers a Slack app that helps managers and contributors on distributed teams to be more productive and efficient in their work and collaboration. Distributed team members provide inputs and leverage AI to find actionable insights and move projects forward while reducing unnecessary time spent in meetings.,Canada
Attest Technologies Limited,http://askattest.com/,Attest is a B2B SaaS market research platform designed to offer on-demand consumer insights. Its platform enables companies to engage directly with 100+ million consumers across 45+ countries.,Europe
Audioshake,http://audioshake.ai/,"Audioshake has developed a music creation platform that helps musicians, audio engineers, and others to deconstruct music tracks into stems (vocals, guitars, drums, etc.), creating new uses for music. Their patented AI technology can take any song — no matter how it was recorded — and break it into its stems, enabling it to be used in instrumentals, sampling, remixes, and more. In addition to expanding creativity, the platform incorporates licensing information to protect copyright owners.",California
Audit Sight,https://auditsight.com/,"Audit Sight eliminates manual work for auditors, diligence, and private equity providers by automating financial transaction verification. Through the use of APIs to collect company records and verify the records to third-party data sources, Audit Sight makes it easy for auditors to access the data they need quickly and with minimal impact on their clients.",Southeast
Aurora,https://aurora.dev/,"Aurora has developed an Ethereum Virtual Machine and a powerful cross-chain bridge that delivers a turnkey solution for developers to operate their apps on Aurora’s Ethereum-compatible platform. Their platform enables developers to launch Ethereum decentralized apps on Aurora within minutes by clicking on other Ethereum contracts and assets. The Aurora Engine and Bridge provide a scalable, future-safe solution that speed up transaction throughput and lower costs.",Europe
Aurora Insight,http://aurorainsight.com/,Aurora Insight delivers a map of wireless spectrum connectivity in a more efficient manner than traditional methodologies. Users can stay ahead of deployments and harness the radio environment with data-driven insights on spectrum and wireless networks.,Mountain
AVA,http://avabreathe.com/,"AVA has developed a lightweight health device that monitors and filters pollutants for better respiratory health. The AVA Breathe is a personal air purifier that filters out pollens, allergens, and particulate matter while tracking local air quality.",California
AvantStay,http://avantstay.com/,"AvantStay is a hospitality brand aimed at revolutionizing group travel. It offers streamlined check-ins, high-speed connectivity, and the best amenities so travelers can enjoy their vacations.",California
Aviator,https://www.aviator.co/,"Aviator is a productivity platform that helps software teams scale without introducing cumbersome workflow overhead for their developers. With Aviator’s productivity-oriented tools, engineers save up to 10 hours a week on their code-submission and testing processes, plus many other tasks.",California
Aware Healthcare,https://awarehc.com/,"Aware Healthcare is a national network of therapists delivering data-driven, high-quality, easier to find, personalized mental health care. The platform measures 1000+ biomarkers across five areas of health and then surfaces aggregated insights to the patient. Via a smartphone app and desktop dashboard, Aware Healthcare provides quantitative measures of a patient's cognition, sociability, sleep patterns, mobility, and vitals to deliver personalized, evidence-based care.",California
Axiom Space,http://axiomspace.com/,"Axiom is opening new markets in low-Earth orbit (LEO) through operating end-to-end missions to the International Space Station while privately developing its successor — a permanent commercial destination in Earth's orbit. Its low-cost LEO platform access supports research, testing of exploration-enabling technologies, and in-space manufacturing to create new opportunities for industries, governments, and educators and enable future human space exploration.",South
Axoft,https://axoft.us/,"Axoft has developed novel brain implants using soft, durable, brain-like polymer material that can be utilized for a wide array of neurological diseases. Bridging the gap between electronic and biological materials, Axoft’s nanofabricated brain implants do not harm the central nervous system and can reside in the body for the long term. The implants target conditions such as seizures and movement disorders such as Parkinson's Disease.",New England
Ayar Labs,http://ayarlabs.com/,"Ayar Labs is an in-package optical I/O company that aims to make data transmission more efficient by replacing traditional copper wires with interconnects that move data using light waves. They are disrupting the traditional performance, cost, and efficiency curves of the semiconductor and computing industries by delivering a 1000x improvement in interconnect bandwidth density at 10x lower power.",California
Ayraa AI,http://ayraa.ai/,"Ayraa is an AI-driven intelligent workplace security and operations platform. It allows users to manage security and engagement through all stages of the employee lifecycle, using machine learning techniques for content processing and detection.",California
Aztec,https://aztec.network/,"Aztec is the privacy layer for Web3, allowing users to confidentially access world-class DeFi services on Ethereum with up to 100x cost-savings. Aztec’s allows users to privately connect to Ethereum’s decentralized finance (DeFi) ecosystem — including popular apps Uniswap, Lido, and Aave — through either bridge contracts or their own SDK.",Europe
Azumo,http://www.flexlighting.com/,"Azumo develops proprietary lighting technology that converts thin and inexpensive plastics into efficient, powerful light sources. It can be used for a large variety of devices, from displays on users’ electronics to lighting fixtures in their homes.",Great Lakes
B Generous,https://bgenerous.com/,"B Generous is a credit platform for the philanthropic sector. Its platform allows donors to “Donate Now, Pay Later” through an instant credit-granting process that can be embedded into any nonprofit’s donation process.",California
Babylon,https://https//babylonchain.io/,"Babylon solves security issues for Proof-of-Stake (PoS) blockchain-based algorithms that secure many cryptocurrencies. Babylon’s Proof-of-Work (PoW) chain provides a timestamp of events happening on the PoS chain. This includes checkpointing, issuance of fraud proofs, stalling evidence, and censored transactions.",California
BACH,https://thebach.com/,"BACH is a mobile app that helps groups plan, book, and organize bachelor and bachelorette parties to enable a unified, collaborative trip-planning experience on one platform. Its communication and planning features allow users to chat and launch polls, share itineraries, manage a unified calendar view, and track or split expenses. It also works with suppliers of related products and services to weave their existing processes into BACH’S mobile app.",New England
Bacon,https://baconwork.com/,"Bacon Work is a virtual marketplace for gig workers and freelancers seeking flexible work shifts and for companies wanting to fill open shifts with temporary independent contract workers. Bacon’s platform allows employers to post part-time or temporary jobs, check the rating and background of individual applicants, and connect with applicants in real time to fill positions.",Mountain
Baffle.io,http://baffle.io/,"Baffle develops cybersecurity software that ensures data remains encrypted across a variety of areas, aiming to reduce data hacks and breaches. It ensures that data is protected not only on-premise or in the cloud, but also in databases or cached in memory.",California
Bainbridge Health,http://www.bainbridgehealth.com/,"Bainbridge is a health safety software platform designed by clinicians to reduce medication errors. The platform allows clinicians to focus on decisions, making medication data easily available and simple to aggregate, analyze, and act on.",Mid-Atlantic
Balsa,http://balsa.com/,Balsa is a command center for all the tools that engineers use. The product will be the project management interface for developer tools.,California
Banana,http://banana.dev/,"Banana is a no-code, machine learning platform that enables developers to train, deploy, and run custom models. Their platform makes it easier for users to compartmentalize and parse through information, bringing ML superpowers to any developer. Think of it as a Github for machine learning.",California
Bandit ML,http://banditml.com/,"Bandit ML is a SaaS solution that optimize incentives, promotions, and pricing strategies for e-commerce merchants. Using machine learning, their platform sends the right offer at the right time to online customers automatically, boosting profit and retention.",California
Base Venture,http://www.baseventure.com/,"FIS (formerly Base Venture) is a technology company developing software for the private fund management industry through a Data Visualization Portal. Their software blends analysis, automated integration, and a dashboard for asset managers and fund administrators.",California
Basil Systems,https://basilsystems.com/,"Basil Systems is a comprehensive industry knowledgebase of medtech and pharma data, The company aggregates information from disconnected sources into one platform that professionals across multiple industries will be able to leverage. Serving healthcare providers, OEMs (Original Equipment Manufacturers), regulatory agencies, purchasing groups, and insurers, the platform provides analytics and insights that guide strategic healthcare product development.",New England
Battleface,https://battleface.com/en-us,"Battleface is a tech company providing travel insurance coverage solutions — including emergency medical, travel, and claims assistance services — to individuals and groups all over the world. The company connects travelers to customized insurance solutions that deliver the right insurance at the right price — where and when they need it. Battleface’s ability to write and reinsure its own risk gives it greater control of the data and financial value generated by its customers.",Midwest
Beam,https://www.beam.cloud/,"Beam (formerly Slai) helps developers quickly build machine learning-powered applications without the pain of managing their own infrastructure. Instead of spending months building their own ML platforms, developers use Beam’s platform to run their code on serverless GPUs, deploy highly performant APIs, and rapidly prototype ML.",New England
Beam Benefits,https://beambenefits.com/,"Beam Benefits (formerly Beam Dental) is a digitally-native employee benefits company that offers dental, vision, life, disability, and supplemental health coverage for employers of all sizes. Beam simplifies and modernizes the ancillary benefits industry through its intuitive online platform, self-service tools, AI-powered underwriting, and thoughtful coverage for improved overall wellness.",Midwest
Beam Mobility,http://ridebeam.com/,Beam is a micromobility scooter share company focused on Asia (excluding China and India) and Australia. Beam is a micromobility scooter share company focused on Asia (excluding China and India) and Australia.,Asia
Beam Organics,http://beamtlc.com/,"Beam Organics is a CBD consumer products company that is reimagining wellness by pairing high-quality ingredients with innovative products. Their four lines of THC-free CBD products — Balance, Performance, Recovery, and Sleep — target a wellness-minded community.",New England
Beekin,http://beekin.co/,"Beekin has developed a real estate management platform that uses proprietary and third-party data to help landlords make better decisions to reduce inefficiencies and risks. Their platform is aimed at REITs and private equity fund landlords. It provides a big data and AI-powered solution to find and retain tenants, adopt data-based marketing strategies, and provide better customer service.",New York
BEGin,http://beginlearning.co/,"BEGiN created HOMER (formerly Speakaboos), an interactive reading subscription program for children that is delivered via web, mobile, and tablet devices. The platform uses methods designed to keep kids reading, including highlighting tools and engaging touchscreen interactions.",New York
Believer,https://believer.gg/,"Believer aims to be the next big name among gaming studios, disrupting the “box product” mindsets of past games with a new era of non-linear, multi-player, open gameplay. The company will leverage frontier technology (AI, cloud computing, ML-augmented production, game engines) to accelerate game development and integrate with other content experiences such as TV / film, music, and sports.",California
Bend Financial,http://bendhsa.com/,Bend Financial is a tech-enabled HSA management platform. Their solution uses AI to offer personalized guidance that enables customers to optimize tax benefits and health spending.,New England
Benepass,http://getbenepass.com/,"Benepass provides benefit cards that help improve and simplify employee access to benefits. Their platform enables employers to manage their benefits policies by distributing funds via prepaid debit cards to employees, and it eases onboarding and offboarding.",New York
Better Life Partners,http://betterlifepartners.com/,Better Life Partners is helping people address Opioid Use Disorder and achieve their recovery goals with techniques tailored to their individual situation. Their program combines the best evidence-based practices into a community-based delivery model,New England
Better Mortgage,http://better.com/,"Better is a real estate mortgage lending platform that gives users a faster, lower cost digital mortgage experience backed by customer support. They have streamlined the mortgage process to eliminate fees, unnecessary steps, and unneeded appointments.",New York
BetterView,https://betterview.com/,"Betterview provides software and services that capture, organize, and analyze data for buildings and properties to unlock valuable insight. Insurance companies can manage property risk by using insight, workflow tools, and a geospatial predictive analytics platform.",California
BetterYou.ai,http://betteryou.ai/,"BetterYou has developed a digital wellness coach app that drives health insurance savings for employers by helping employees spend more time on activities that boost their overall wellness. Their platform enables users to set goals for physical health, social connections, education, and mindfulness. BetterYou’s AI automatically maps how users can spend their time and provides nudges to help them make better decisions that align with their goals.",Great Lakes
BeyondHQ,http://beyondhq.co/,BeyondHQ is a location intelligence solution helping companies analyze new markets for expansion. Their real-time collaborative SaaS platform helps companies run talent and real estate analyses to explore new markets.,California
BeyondTrucks,https://beyondtrucks.com/,"BeyondTrucks provides small trucking companies an end-to-end financial platform that integrates into a trucking company's operations. The platform combines credit and debit cards, revenue finance, and easy-to-use software to automate finance and operational workflows. This helps trucking companies run more efficiently while establishing a system of record that gives them access to better priced credit.",California
Big Wolf,https://bigwolf.com/,"Big Wolf is a developer, live operator, and publisher of mobile games. The company uses its narrative-based game engine to quickly produce high-quality games, in a transformative game development process that can be compared to ‘Roblox for interactive stories.’",California
BigRoom,http://bigroom.tv/,"BigRoom is a SaaS platform for live video production. Its proprietary AI analyzes thousands of visual and audio factors in real time across multiple camera feeds, seamlessly editing and producing professional-grade video content on the fly.",New York
Bionic Health,https://www.bionichealth.com/,"Bionic Health clinic changes the way patients approach their health and wellness by using state-of-the-art medical research and machine learning. Bionic combines the latest in longevity medicine, frequent comprehensive diagnostics, and cutting-edge machine learning to deliver individualized patient treatment plans.",South
Bit.io,https://bit.io/,"Bit.io helps developers become immediately productive with any Postgres database, making uploading and sharing databases as easy as editing a Google Doc. Bit.io’s offers the first truly serverless Postgres that, with a single click, can be spun up, shared with others, and edited instantly in a browser – no sign-up or provisioning required.",California
Bitwave,https://www.bitwave.io/,"Bitwave is the leading enterprise-focused digital asset management platform designed to provide visibility and transparency in tax, accounting, and compliance for cryptocurrency, DeFi, and NFTs. Bitwave helps enterprise finance and accounting departments manage and integrate digital assets with traditional bookkeeping and internal systems.",California
Blade,http://www.bladepayments.com/,"Blade was a B2B payment-processing platform that extended a debit card global payment network for use with digital currencies. It enabled a single payment card to debit multiple accounts, enabling companies to make cross-border/FX payments to suppliers.",Australia
BlastPoint,http://www.blastpoint.co/,"BlastPoint is an analytics platform that combines location and mapping information from many sources with customers’ private data. Their predictive AI-powered platform answers customer engagement problems, granting businesses useful insights.",Mid-Atlantic
BlockFi,http://blockfi.com/,"BlockFi develops loans, trading, and a number of other financial services for cryptoassets. Users can earn interest in crypto and significantly increase their Bitcoin, Ether, and Gemini Dollar (GUSD) balances over time.",New York
Bloom Energy,http://www.bloomenergy.com/,"Bloom Energy delivers sustainable, cost-effective electricity for organizations. It manufactures and installs solid oxide fuel cells for onsite distributed power generation, reducing users’ carbon footprint.",California
Bloomfilter,https://www.thebloomfilter.com/,"Bloomfilter is developer of an enterprise software planning application that provides complete visibility into software development projects in order to improve the process and outcomes. The application leverages process mining and predictive algorithms to help teams identify process bottlenecks, predict project outcomes, and deliver more software on time and within budget.",Midwest
Blue Note Therapeutics,http://bluenotetherapeutics.com/,"Blue Note Therapeutics has developed a platform that makes mental health care more easily available to cancer patients. Their platform helps reduce anxiety, depression, and other distress related to cancer by delivering clinically validated, prescription mental health therapies to patients via their own mobile devices.",California
Bluespace.ai,http://bluespace.ai/,"BlueSpace develops software that helps maximize the advances and advantages of 4D LiDAR sensor technologies. It increases the safety of autonomous vehicles, accelerating adoption and increasing efficiency across trunk transit routes.",California
