Company Name,Link,Description
Partsimony,https://www.partsimony.com/,Partsimony makes everything come together for manufacturers and innovators by using network intelligence to solve big problems.
Phuc Labs,http://www.phuclabs.com/,"Phuc Labs is pioneering AI-powered fluid-based sorting - their systems enable the reclamation of raw materials, for instance by separating valuable metals during battery recycling."
Pi-lit,https://www.pi-lit.com/,"Pi-Lit enhances road safety and traffic guidance via innovative hardware, software and design-focused solutions."
Plentify,http://www.plentify.io/,"Plentify turns home appliances into intelligence assets, enabling more clean energy."
Qucit,http://qucit.com/,Qucit – for Quantified Cities – applies artificial intelligence to optimize the operation of cities.
Resonant Link,http://www.resonant-link.com/,Resonant Link is a research and development company engineering a resonant coil technology that drastically reduces cost and increases performance of wireless charging.
Roadbotics,https://www.roadbotics.com/,RoadBotics monitors and manages roadways cost effectively and efficiently through an AI technology.
Sapient Industries,https://www.sapient.industries/,Sapient Industires develops applied machine learning to automate the energy management of buildings.
Seam Social Labs,http://seamsociallabs.com/,Seam Social Labs creates better NLP models for surveying and community engagement.
Sencity,http://sencity.city/,"Sencity, an interactive experience suite, is reimagining connected public spaces."
Singularity,https://www.singularity.energy/,"Singularity has built a patent-pending, real-time carbon intelligence platform that provides a suite of innovative products, developer APIs, and intelligent tools to help companies build the future of decarbonization solutions."
