Company Name,Company Link,Description,Location
Duality Systems,https://www.dualitysys.com,"Duality Systems’ dynamic scheduling platform enables nursing administrators to rapidly create and distribute schedules across service lines. The platform leverages deep learning and intelligence to eliminate nurse schedule creation time by 99%, freeing up 40+ hours per month for nurse managers and greatly increasing nursing satisfaction. The platform’s analytics engine provides predictive insights to enable hospital leadership to anticipate staff shortages and manage float pools.","Colorado Springs, CO"
Ejenta,https://www.ejenta.com/,"Ejenta’s intelligent agents use data from sensors and IoT devices to learn about their users, detect abnormalities, and connect care teams with patients.","San Francisco, CA"
Elemeno Health,https://www.elemenohealth.com/,"Elemeno understands that reducing procedure technique variability by frontline clinicians is key to better outcomes. The mobile-based point of care microlearning platform transforms your system’s best practices into one minute on demand videos, checklists, and decision guides. Customizable by team, this just-in-time insight is digestible, actionable, and proven to reduce care variation, errors, and overutilization.","Oakland, CA"
emocha Mobile Health,https://www.emocha.com/,"emocha Mobile Health is a mobile health platform that focuses on patient engagement and adherence by streamlining the continuum of care. Medical experts can secure and understand medication adherence through verifications tools such as asynchronous, video-based directly observed therapy.","Baltimore, MD"
Enhatch,https://www.enhatch.com/,"Enhatch’s (acquired) Intelligent Surgery platform powers the design and delivery of standard and personalized surgical implants including pre-operative planning for robotic surgery. The platform ingests CT, MRI, and X-Ray imaging data to generate 3-D models, which in turn matches patients with an optimally designed surgical approach and implant. This saves surgeons’ time while dramatically reducing inventory, logistics, and processing costs.","Hoboken, NJ"
EnsoData,https://www.ensodata.com/,"EnsoData enables sleep centers and neurology labs to automatically review and score waveform data, reducing processing time by 75% and increasing revenue. Average sleep study review times of 60 minutes are reduced to 15 minutes.","Madison, WI"
Equiva,https://equivahealth.com,Equiva streamlines patient engagement in the treatment process from arrival through discharge and follow-up via a digital content platform.,"New York, NY"
GaitBetter,https://www.gaitbetter.com,GaitBetter is the first platform to combine traditional motor-based gait rehabilitation with cognitive training for fall prevention.  A multi-center randomized controlled study published in the Lancet demonstrated a 50% reduction in falls over 6 months using GaitBetter.,"Haifa, Israel"
GIBLIB,https://giblib.com/,GIBLIB produces and curates a comprehensive library of surgical procedures and medical lectures featuring top physicians at leading teaching institutions across the US.,"Los Angeles, CA"
GraphWear Technologies,https://www.graphwear.co/,"GraphWear Technologies has created a fitness sweat patch that detects biometric data in real-time. SweatSmart is a wearable sweat sensor from GraphWear, which uses a graphene sensor to monitor hydration during exercise.","San Francisco, CA"
General Prognostics,https://gpx.ai,"GPx is developing algorithms called Bloodless Blood Tests that enable wearables to continuously and non-invasively monitor changes in vital chronic disease blood biomarkers. With this information, clinicians are provided early detection of changes in patients’ conditions, facilitating timely intervention. The initial platform is focused on heart failure.","Boston, MA"
GraphWear Technologies,https://www.graphwear.co/,"GraphWear Technologies has created a fitness sweat patch that detects biometric data in real-time. SweatSmart is a wearable sweat sensor from GraphWear, which uses a graphene sensor to monitor hydration during exercise.","San Francisco, CA"
Group K Diagnostics,https://www.groupkdiagnostics.com/,"Group K Diagnostics offers a low-cost, rapid, paper-based diagnostic system, providing multiple results from one patient sample within 30 minutes or less at the point of care.","Philadelphia, PA"
Health Note,https://healthnote.com,"Health Note is an engaging mobile-based platform that collects, organizes, and documents patient data before the visit. The platform collects accurate pre-visit information, automatically integrates the data into the EMR, surfaces key findings, and prepares an intuitive SOAP note prior to the patient encounter. The questionnaire is customized to the specific specialty, data is automatically integrated into the EMR, and the data summary is presented within existing EMR templates and workflows.","San Francisco, CA"
Regard,https://www.healthtensor.com/,"Regard, formerly HealthTensor, leverages artificial intelligence to automatically review all patient data, diagnose the most common conditions, and create documentation for physicians.","Santa Monica, California"
ImageMover,https://www.imagemovermd.com/,"ImageMover’s platform enables unscheduled studies, including ultrasounds and x-rays, to be instantly captured by the EHR and VNA/PACS systems. It also enables on-the-fly order creation, seamlessly links images to the patient record, and ensures accurate billing.","Madison, WI"
Infermedica,https://infermedica.com/,Infermedica helps patients select most suitable and cost-efficient means of care based on their symptoms by using advanced reasoning technology to perform a virtual preliminary diagnostic interview.,"Wroclaw, Poland"
InquisitHealth,https://www.inquisithealth.com/,InquisitHealth provides peer-to-peer mentoring and networking services for patients and healthcare organizations.,"River Edge, NJ"
Intelligent Observation,https://intelobserve.com/,"Intelligent Observation enables hospitals to consistently and accurately monitor hand hygiene compliance, the single biggest factor that impacts hospital-acquired infections. Intelligent Observation delivers a fully integrated personal smart badge and location-aware reader at no upfront cost to providers.","Miami, FL"
Intellihealth,https://www.intellihealth.co/,"Intellihealth empowers providers to deliver proven, effective, evidence-based weight management treatment at scale by leveraging a combination of analytics, patient engagement, and pharmacotherapy. The platform, backed by peer-reviewed science and clinical validation, empowers providers to set up and enhance effective obesity weight management care programs and support their overweight patient populations with proven results.","San Francisco, CA"
iQuartic,http://iquartic.com/,"iQuartic (acquired) streamlines the risk coding process by accurately documenting, coding, and reporting interactions to prevent health systems from underreporting risk or not properly substantiating it.","Boston, MA"
Kaizen Health,http://kaizenhealth.org/,Kaizen Health is a patient transportation platform enhancing healthcare efficiency and population health by leveraging logistics technology and data to improve patient outcomes.,"Chicago, IL"
Karuna,http://karunavr.com/,"Karuna uses Virtual Embodiment Training™ to help patients to overcome pain and motor impairment through the use of Pain Education, Graded Motor Imagery, and Movement Science that retrains the brain.","San Franicsco, CA"
Keriton,https://www.keriton.com/,"Keriton Kare is the first, end-to-end, fully automated milk management platform with pre-printed barcoded labels and 2 HIPAA-compliant apps – an app for the moms and an app for the nurses/LCs/milk technicians.","Philadelphia, PA"
Kermit,http://www.kermitppi.com/,Kermit is returning the balance of power to hospitals in physician preference items for cost reduction and improved patient outcomes.,"Lutherville, MD"
Lilu,https://www.wearlilu.com/,Lilu is developing a nursing bra that automates compression and breast massage to help pumping moms to produce more milk in less time.,"Philadelphia, PA"
Macro-Eyes,https://macro-eyes.com/,Macro-Eyes develops a suite of products like Sibyl and Cosma that use machine learning to increase access to care.,"Seattle, WA"
Mahmee,http://mahmee.com/,"Mahmee is a prenatal and postpartum care management platform for delivering personalized, ongoing support and education to new moms.","Los Angeles, CA"
MedAware,http://www.medaware.com/,MedAware is utilizing physician practice patterns to identify and alert on medication errors in real time.,"Raanana, Israel"
MedStack,https://medstack.co/,"MedStack enables the creation of powerful, integrated, compliant patient-centric healthcare apps at 1/3 the typical cost and development time.","Ontario, Canada"
Medzoomer,https://medzoomer.com,"Medzoomer is a last-mile pharmacy logistics and data aggregation platform that enables same-day delivery of prescriptions, driving improved patient satisfaction measures and medication access and adherence.","Middletown, DE"
MilagroAi,http://milagroai.com,MilagroAI automates EHR data abstraction to enable the automation of surveillance for hospital-acquired infections and other mandatory quality reporting to regulatory agencies. This real-time abstracted data also enables identification of opportunities and targeted interventions to reduce HAIs. The platform continuously monitors inpatients and can alert clinicians regarding early detection of infections. The platform is live at multiple medical centers in Israel and is now going live in US health systems.,"Georgetown, TX"
Mymee,http://www.mymee.com/,"Mymee’s mobile platform identifies triggers and guides lifestyle changes that reduce symptoms, improve quality of life, and reduce the cost of care for patients with autoimmune diseases.","New York, NY"
NarrativeDx,http://narrativedx.com,"NarrativeDx (acquired) is a healthcare patient experience management platform that enables healthcare systems, hospitals, ACOs, and outpatient facilities to collect, analyze, and visualize unstructured patient feedback from internal and external sources.","Austin, TX"
NeuroFlow ,https://www.neuroflowsolution.com/,"NeuroFlow enables expanded behavioral health access and engagement. Behavioral health treatment is proven effective, but two-thirds of patients with behavioral health issues never access care. NeuroFlow’s suite of tools includes a mobile platform incorporating remote monitoring and clinically proven behavioral protocols with integration across the continuum of care, including psychology, primary care, and pain management settings.","Philadelphia, PA"
Oncora Medical,https://oncoramedical.com/,"Oncora Medical is a digital health company that has developed a powerful predictive analytics platform for oncology, capable of analyzing diverse healthcare data and applying advanced machine learning techniques to product valuable clinical insights.","Philadelphia, PA"
PaceMate,http://www.pacemate.com/,"PaceMate enables providers to efficiently track and manage the rapidly growing population of patients with implantable cardiac devices, including pacemakers and defibrillators. The platform integrates with all major cardiac rhythm companies. By monitoring and identifying patients at risk for critical events via an intuitive dashboard, providers quickly deliver appropriate and often lifesaving interventions while immediately increasing revenues and care team efficiency.","Sarasota, FL"
PhotoniCare,https://photoni.care/,PhotoniCare is changing the way middle ear disease is managed by enabling physicians to look through the eardrum without cutting it open.,"Champaign, IL"
PocketRN,https://pocketrn.com,"PocketRN enables cost effective on demand access to specialized nurses. The platform ensures high quality care by assessing patient needs and then immediately connecting patients to nurses with the appropriate clinical expertise. The result is specialized nursing care delivered at a lower cost by leveraging intelligence, automation, and training.","Palo Alto, CA"
Protenus,https://www.protenus.com/,Protenus helps hospitals protect patient privacy information by automatically detecting inappropriate accesses in a health network’s EHR. The automated patient privacy platform analyzes user behavior to detect and resolve HIPAA violations while only alerting the administrators about true threats.,"Baltimore, MD"
Realyze Intelligence,https://realyzeintelligence.com,"The Realyze platform instantly identifies and matches patients to clinical trials, enabling health systems, cancer centers, and sponsors to increase study enrollment rates.  Additional research revenue is captured and the commercialization process for new medications is accelerated.","Pittsburgh, PA"
Redox,https://www.redoxengine.com/,"Redox manages and scales healthcare interoperability by bridging health systems to the cloud. Connecting with Redox allows integrations with any organization regardless of vendor, format, or frequency.","Madison, WI"
RegDesk,https://regdesk.co/,"RegDesk is an online marketplace of global healthcare experts that help the medical industry navigate country specific regulations. This virtual, on-demand resource base is able to provide expertise in regulatory and approval, patient privacy, quality assurance, clinical trials, reimbursement, non-compliance, testing, and verification.","Philadelphia, PA"
Reliant Immune Diagnostics,https://www.reliantid.com/,"Reliant Immune Diagnostics is developing a suite of in-home diagnostic tests for allergy, flu & strep tests at a price point roughly 1⁄4 - 1⁄2 that of a visit to an urgent care clinic.","Austin, TX"
RxLive,http://rxlive.com/,"RxLive’s platform and services deliver comprehensive medication management for high complexity patients on numerous medications. The platform enables pharmacists, the medication experts, to become integrated collaborative members of the patient’s care team. Pharmacists teleconnect with patients to carefully review their history and medication. The resulting recommendations are proven to improve efficacy, outcomes, and patient experience while reducing direct medication costs.","St. Petersburg, FL"
SafKan,https://safkanhealth.com/,"SafKan has developed the first automated wearable ear cleaning device, delivering pulsed irrigation and suction.","Seattle, WA"
Sana Health,https://www.sana.io/,"Sana Health has developed a wearable therapeutic device based on a different modality for treating chronic pain. By increasing neuroplasticity, pain perception is significantly reduced.","San Anselmo, CA"
Serenno Medical,https://www.serenno-med.com,"The Serenno Medical platform delivers life-saving insights in acute care settings using a novel bedside device for monitoring hemodynamics and fluid status. The Serenno Sentinel monitor delivers precise real-time urine output volume measurement. Initial use cases include the early detection and treatment of impending Acute Kidney Injury (AKI), a common life-threatening hospital-acquired condition. The Sentinel replaces time-consuming and error-prone manual methods via a low-cost, non-invasive device for the ICU, operating room, and other acute care settings.","Yoqne`am `illit, Israel"
SimpleTherapy,https://www.simpletherapy.com/,"SimpleTherapy reduces the need for clinical interventions for musculoskeletal injuries. By combining professionally guided physical therapy with machine learning, the platform brings a personalized musculoskeletal pain recovery program to anyone. Already used by leading Fortune 100 companies, SimpleTherapy focuses on helping workforce populations recover more quickly while reducing costs.","Fremont, CA"
Somatix,https://somatix.com/,Somatix is a provider of a leading real-time wearable gesture detection-assisted RPM (Remote Patient Monitoring) platform for cost-effective healthcare and wellbeing enhancement.,"Raanana, Israel"
Stel,https://www.stel.life/,"Stel’s universal connection hub allows remote health monitoring devices deployed in a patient’s home to automatically share data to a provider’s health record without any involvement from the patient or the provider. The hub seamlessly syncs devices like scales, blood pressure cuffs, or wearables so providers can rapidly stand up Remote Patient Monitoring programs through instant and frictionless connection to their patients. The solution simplifies remote care plan adherence and has been proven to both reduce readmissions and length of stay.","Philadelphia, PA"
SurvivorPlan,http://www.survivorplan.io/,"SurvivorPlan enables cancer care providers to effectively implement and manage mandated survivorship programs. The platform automates care plan generation, implementation, and tracking, ensuring providers can secure and maintain their Commission on Cancer accreditation. The result is improved provider efficiency and adherence to the care plan.","Chicago, IL"
Tag.bio,https://tag.bio/,"Tag.bio’s platform enables researchers, clinicians, and executives to easily and quickly perform complex, robust, reproducible data analyses for everything from clinical research, to outcomes insights and cost drivers. The platform reduces analysis times from months to minutes.","San Francisco, CA"
Tissue Analytics,https://www.tissue-analytics.com/#page=home,"Tissue Analytics has developed a mobile app and complementary enterprise software that acts like a sophisticated system for evaluating and monitoring chronic wounds, burns, and skin conditions.","Baltimore, MD"
TrackX,http://www.trackx.tech/,"TrackX is a real-time imaging guidance system that enables positioning of surgical instruments (pseudo live fluoroscopy) via a simple add-on to the C-Arm. The system is proven to significantly reduce radiation exposure and procedure time. The need for expensive equipment such as intraoperative CT scans, navigation systems, and robots is also reduced or eliminated. The system requires minimal setup time and integrates seamlessly into the operative team’s existing workflow. TrackX was designed by Rob Issaacs, MD, CEO, former Director of Spine Surgery for Duke University.","St. Petersburg, FL"
Trials.ai,https://trials.ai/,"Trials.ai leverages AI to improve clinical trial protocol recommendations, automate study design, and optimize day-to-day execution","San Diego, CA"
TrustyCare,https://www.trusty.care,"TrustyCare empowers health insurance carriers and plans to quickly match new and existing members with the right health plan based on their specific health needs and preferences. As a result, carriers reduce disenrollment rates by up to 25% and shorten sales cycles by up to 90%. The platform also offers comprehensive management for quoting, enrollment, and member retention.","New York, NY"
Vitls,https://www.vitlsinc.com/,"Vitls remotely monitors patients’ health conditions with a thin, unobtrusive wearable that tracks vital signs, enabling immediate intervention.","Houston, TX"
Voiceitt,http://www.voiceitt.com/,"Voiceitt employs machine learning algorithms to produce Talkitt, a device agnostic app that translates non-standard and often unintelligible speech patterns into clear speech in real time.","Ramat Gan, Israel"
Wellth,https://wellthapp.com/home,"Wellth helps patients change their behaviors using behavioral economics to increase adherence, engagement, and health.","New York, NY"
Yosi,https://yosicare.com/,Yosi eliminates patient intake from waiting rooms and provides an end to end patient on-boarding solution to make the office paperless.,"New York, NY"
Vytalize Health,https://www.vytalizehealth.com/,Vytalize Health provides a suite of tech-enabled services for independent primary care providers (PCPs) to expand the scope of fee-for-service primary care and transition to risk-based payment models for their Medicare patient population.,"Hoboken, NJ"
Wellth,https://wellthapp.com/home,"Wellth helps patients change their behaviors using behavioral economics to increase adherence, engagement, and health.","New York, NY"
Yosi,https://yosicare.com/,Yosi eliminates patient intake from waiting rooms and provides an end to end patient on-boarding solution to make the office paperless.,"New York, NY"
AccuKnox,https://www.accuknox.com,"AccuKnox is a Zero Trust Cloud Native Application Protection Platform (CNAPP). Developed in partnership with Stanford Research Institute, AccuKnox is built to scale runtime protection for complex cloud native applications that are rapidly developed, deployed, and iterated. It combines CSPM, KSPM, CWPP features into a comprehensive CNAPP, integrates with leading DevOps & security tools, and supports all cloud environments. AccuKnox’s, KubeArmor is an open source CNCF project with 200K+ users.","Cupertino, CA"
,https://www.alfahive.com,"Alfahive transforms the way businesses analyze risk and build cyber resilience. Alfahive’s  RiskNest security performance automation platform models the financial impact of cyber risks across your business functions and provides a roadmap of security controls to reduce risk. We enable CISOs to collaborate with the board, make data-driven investment decisions and manage security risk performance on an ongoing basis. RiskNest includes continuously researched cyber risk scenarios and machine learning techniques to help you save months of consulting effort.","South Plainfield, NJ"
ARMR ,http://armrsystems.com/,"ARMR enables every one of the 2M U.S. Service members and global forces to increase survivability with the world's first persistent, wearable high junctional tourniquet system.","Baltimore, MD"
Ascent Aerosystems,http://www.ascentaerosystems.com/,"Ascent AeroSystems designs and manufactures unique coaxial drones that are more portable and rugged than conventional multi-rotor drones. Ascent’s rugged cylinder-shaped vehicles scale to any size and are ideal for industrial, public safety and military markets where mission-critical operations in tough environments are the norm.","Tewksbury, MA"
Axis,https://axis.xyz/,"Large and mid-size enterprises have an urgent need for up-to-date sector and country-specific information and expertise, in support of their operations across global markets. Today, these insights are locked in silos with policymakers, boutique lobby firms, and expensive consultancies. Axis is the first platform that instantly surfaces business-critical data, making it easily accessible, actionable, and integrated into key enterprise workflows.","New York, NY"
CloudDefense,https://www.clouddefense.io,"Cloud Defense provides a multi-cloud data security platform that empowers security teams to intuitively discover high-risk data and proactively prioritize its protection. The agentless offering enables companies to continuously and collaboratively de-risk their crown jewels against increasingly sophisticated threats, including indirect and internal attacks.","Palo Alto, CA"
Cyber Skyline,https://www.cyberskyline.com/,"Cyber Skyline provides a cloud-based platform that distributes cybersecurity technical evaluation, aggregates performance metrics, and tracks performance and growth by providing users with a single score and ranking that can be compared across specific skills within a group, company or an entire industry.","College Park, MD"
CYBERA,https://www.cybera.io,"CYBERA provides a solution to disrupt financially motivated cybercrime. The FBI reports 1 in 600 Americans are victims of financial scams. Yet, lack of a comprehensive solution that coordinates a rapid response between victims, local law enforcement agencies and global banking institutions leaves both victims and banks losing billions annually in lost funds and reimbursement costs. CYBERA's solution automatically files criminal complaints to recover funds and alerts banks instantly to prevent money laundering and fraudulent transactions before victim losses occur.","New York, NY"
Cylera,/dreamit-portfolio-companies/cmo0gancnuyultnwawpke74qh5zlrh,"Cylera uses machine learning-powered solutions to defend medical devices from cyber attacks, including zero day exploits, data breaches, and ransomware.","New York, NY"
CyR3con,https://www.cyr3con.ai/,CyR3con (Cyber Reconnaissance) predicts cyber attacks before they occur using proprietary technology designed to uniquely address each customer’s threat landscape.,"Tempe, AZ"
CYTRIO,https://cytrio.com/,"CYTRIO enables resource-constrained midsize organizations to comply with data privacy regulations swiftly and cost-effectively. Today, over 80% of enterprises use a manual approach to identify personal information (PI) and fulfill consumer data requests. Manual compliance is time-consuming, costly, and error-prone, resulting in regulatory fines and erosion of customer trust. CYTRIO’s SaaS platform solves these challenges with easy to use self-guided deployment, automated discovery and identification of PI data, and privacy rights fulfillment workflows.","Boston, MA"
Dash Solutions,https://www.dashsdk.com/,Dash provides solutions for automating the compliance process in the public cloud and for managing vendor risk. The automated platform streamlines cloud security for enterprise organizations and allows companies to manage regulatory compliance without consultants and security experts.,"Philadelphia, PA"
Formotiv,http://www.formotiv.ai/,"Formotiv provides real-time predictive behavioral analytics of end-user intent detecting fraudulent data entry or manipulation and determining true user motives. Already trusted by banks, insurance companies, and other financial institutions, Formotiv uses machine learning to understand how users behave in both web-based and mobile apps.","Philadelphia, PA"
Graphus,https://www.graphus.ai/,"Graphus automates protection against social engineering attacks, using a portal where end-users don't need to install any software, plugins, or end-point agent.","Reston, VA"
Havoc Shield,/dreamit-portfolio-companies/vr54hzil7wm18gfec9muabxu5jry85,"Havoc Shield is a cybersecurity platform designed for startups facing stringent security requirements and increasing threats. Like how TurboTax® simplified the complicated tax filing process, Havoc Shield provides a self-serve cybersecurity program executed by your existing non-security staff. It maps complex security requirements to plain-language modules and guides you through rolling out the integrated tools, policies, and changes needed to strengthen your defenses and certifiably prove your efforts, so you can focus on closing big deals.","Chicago, IL"
Hideez,https://hideez.com/,"Hideez solves the stolen login credentials problem using its flagship product The Hideez Security Key. It differentiates itself from other hardware key solutions by including an embedded password vault, which enables organizations to make the transition from a password-based to password-less world. Hideez also provides an Enterprise Manager for administering keys in a large enterprise deployment.","Redwood City, CA"
i2Chain,https://www.i2chain.com/,"i2Chain is a SaaS platform allowing companies to securely share sensitive documents with anyone within or outside the organization.  i2Chain enables mortgage companies, banks, accounting firms, hospitals, and others to safely share their customers’ PII, IP, and PHI with co-processing entities in compliance with GDPR, CCPA privacy regulations.","San Francisco, CA"
JustProtect,https://www.justprotect.co/,"JustProtect reduces the average compliance assessment process from 6-8 weeks to just one day, using a platform that focuses on behavioral analytics and analyzing potential discrepancies.","New York, NY"
,http://www.lineaje.com,"Lineaje is a software supply chain security company. The most damaging attacks in cybersecurity in recent years have featured software supply chain compromises where existing security controls and cloud security products had failed to detect them. From SolarWinds to Kaseya to open-source software (OSS) compromises, these attacks put software & digital brands and their customers at risk. Lineage addresses this unsolved problem by attesting software bill of materials (SBOM) integrity and detecting threats throughout the software supply chain.","Saratoga, CA"
LOCH Technologies,https://www.802secure.com/,"LOCH Technologies fortifies networks from Internet of Things (IoT) risks through non-intrusive wireless monitoring across the entire electromagnetic spectrum (Wifi, LTE, Bluetooth, etc). LOCH Technologies’ products are used across a wide range of industries for asset management and security monitoring, giving organizations the ability to prevent network breaches and avoid data loss due to infiltration from wireless networks.","Berkeley, CA"
Neuralys,https://www.neuralys.io/,"Neuralys simplifies the risk mitigation process by providing enterprises transparency, accountability, and governance to improve collaboration between security teams and business units, drastically reducing risk mitigation times.","Bethesda, MD"
Nirmata,https://nirmata.com,"Nirmata is a Kubernetes policy and governance solution. Nirmata’s game-changing Policy and Governance platform, powered by the popular open source policy engine Kyverno, leverages the power of policy-as-code to tackle risk early in the delivery cycle. With Nirmata, platform teams seamlessly create, manage, and enforce policies, ensuring unrivaled security, operational excellence, and compliance throughout the entire software supply chain.","San Jose, CA"
NVISNx,https://www.nvisnx.com/,NVISNx is a SaaS security product that helps companies visually profile their data to better protect their most valuable digital assets and dispose of digital liabilities that may be toxic or have no value.,"Playa Vista, CA"
Oort ,https://www.oort.io/,"Oort is an identity threat detection and response platform. Oort automatically identifies vulnerable user accounts and triggers alerts related to behavioral anomalies, best practices, or policies not being followed. Oort also identifies inactive, overactive, overprivileged, or unusual behavior to reduce the identity attack surface and prevent account takeover before it happens.","Boston, MA"
Opscura,https://www.opscura.io,"Opscura prevents industrial cyber attacks with a patented zero trust security overlay on the infrastructure. As of 2022, 34% of industrial control systems (ICSs) suffered at least one attack and 40% of these facilities experienced an attempted shutdown. Opscura protects industrial system downtime due to cyberattacks without modifying the current network nor demanding team resources.","Silicon Valley, CA"
RaySecur,https://raysecur.com/,"RaySecur is a first-line package-scanning and defense solution that detects and confirms the presence of suspicious powders and liquids in extremely small quantities using advanced millimeter wave technology. Compared to X-rays, this technology requires little training, emits no radiation, is more effective, and far lower cost.","Cambridge, MA"
Ruvna,https://www.ruvna.com/,"Ruvna allows schools to locate and account for their students in real-time during an emergency. By simply having teachers indicate which students they have, Ruvna shows administrators and law enforcement immediately which students need attention.","New York, NY"
Spec,https://specprotected.com,"Spec provides a no-code identity abuse & fraud prevention platform. Today, Fintechs and eCommerce providers are under constant pressure from automated attacks and onerous regulatory requirements, which limits their ability to focus engineering efforts on business needs. Spec addresses this challenge with a cloud-native solution at the edge that can be commissioned in minutes and managed by fraud investigation teams without any code modifications.","San Jose, CA"
SystemSurveyor,https://systemsurveyor.com/,"System Surveyor is a B2B SaaS platform and marketplace that connects physical security IoT product manufacturers and systems integrators. Using intelligent features System Surveyor streamlines cumbersome planning, design, procurement and implementation; it cuts project timelines from weeks to days, improving margins and profitability across the supply chain.","Austin, TX"
Tidal Cyber,http://www.tidalcyber.com,"Tidal Cyber is a threat-informed defense platform. Despite a multitude of cybersecurity products, security analysts spend considerable time analyzing new threats to answer basic questions, ""Should we care?"" and ""Are we protected?"". By leveraging The MITRE ATT&CK framework to map adversary tactics, techniques and procedures (TTPs) to the enterprise's cyber defenses, Tidal empowers analysts to efficiently assess, organize and optimize their cyber defenses based on a deep understanding of the threats and adversaries that are most relevant to them.",Washington DC
Abode,https://www.abodehq.com/,"Abode is the only company that can help both large REOs (e.g., banks, REITs) and DIY home sellers list, market, show, and sell their homes at a fraction of the cost of traditional brokers. Abode operates in 38 states, can rapidly list hundreds and even thousands of homes on the relevant Multiple Listing Services (MLS), and provides customers with a dashboard so they can easily track these kinds of bulk sales.","Chicago, IL"
Amenify,https://www.amenify.com/,"Amenify provides turn-key amenity solutions like dog walking, on-site fitness, housecleaning, massage, ride-sharing, gym memberships, and other experiences for multi-family building residents.","San Francisco, CA"
