Company Name,Company Link,Participant Name,LinkedIn,Description
Skinterest,http://skinterest.tech/,Ashley Abid,https://www.linkedin.com/in/ashley-abid-20a093a6/,Skinterest is a digital health platform that helps manage the burden of care for people with chronic skin conditions.
Lysimmune BioScience,,Assaf Raz,https://www.linkedin.com/mynetwork/invite-sent/assaf-raz/?isSendInvite=true,"Platform technology to produce recombinant therapeutic antibodies against Staphylococcus aureus and other pathogens, targeting cell wall carbohydrates not adequately recognized by the human immune system."
DispoMeds L.L.C.,http://www.dispomeds.com,Bahram Marami,https://www.linkedin.com/in/bmarami/,DispoMeds’ innovation is a platform technology that uses artificial intelligence and computer vision to automatically identify and segregate mixed medications. The technology has multiple applications in pharmaceutical and healthcare industries and contributes to positive social and environmental changes.
Chemitope Glycopeptide,https://www.chemitopeglycopeptide.com/,Baptiste Aussedat,https://www.linkedin.com/in/baptiste-aussedat-7b834925/,"Chemitope specializes in the chemical synthesis of complex glycopeptides for use in challenging vaccine applications, such as HIV."
CapCell Biologics,,Ben Young,https://www.linkedin.com/in/benjaminyoung1/,CapCell Biologics is treating rare diseases with implants composed of engineered cells in a protective mesh capsule.
Veripad,http://www.veripad.co/,Bishoy Ghobryal,https://www.linkedin.com/in/bishoy-ghobryal-76a749114/,Veripad has created the most affordable and accessible system for checking the quality of medicines by using a paper chemical test card and companion mobile app.
"Kalamos Care, Inc",https://kalamos.care,Brad Thorson,https://www.linkedin.com/in/bbthorson/,"Kalamos Care regularly delivers targeted sexual health interventions (supplies, medication, & education) to reduce new HIV and other sexually transmitted infections."
DrinkSavvy,http://drinksavvy.com/,Brendan Walker,https://www.linkedin.com/in/brendan-walker-2946488/,DrinkSavvy is developing colorimetric chemical sensors to detect “date rape drugs” and help consumers from ingesting them and falling prey to date rape and robbery.
"BioHealthWays, Inc.",http://www.biohealthway.com/,Brian Pan,https://www.linkedin.com/in/brianpan/,"BioHealthWays prevents vision loss by delivering biologics in the eye. Our implant drastically reduces injections and improves compliance & convenience. The target market is $7B+, with 12M Americans having retinal neovascular conditions."
Ardent,http://www.ardentcell.com/,Brian Gillette,https://www.linkedin.com/in/brian-gillette-82b77b3b/,"Ardent has developed technologies to transform “energy-storing” white adipose tissue (WAT) into “energy-burning” brown adipose tissue (BAT) for treatment of obesity, diabetes, and metabolic disease."
Bioharmony Therapeutics,https://www.bioharmonytherapeutics.com/,Chandrabali Ghose-Paul,https://www.linkedin.com/in/chandrabali-ghose-22b9665,Bioharmony Therapeutics is an early-stage biotech startup focused on the development of first-in-class antimicrobials that target infections caused by Gram-negative bacteria.
CatheCare,http://www.cathecare.com/,Chanond Sophonpanich,https://www.linkedin.com/in/chanond-sophonpanich-09872275,CatheCare’s CASS device uses ultraviolet light to prevent the deadly catheter-related infection.
Sharper Sense,http://www.SharperSense.com/,Charles Rodenkirch,https://www.linkedin.com/in/charlesrodenkirch/,"Sharper Sense is developing wearable neuromodulation technology that can enhance perceptual acuity and reduce the probability of tactile, visual, and auditory misperception"
StudentBody,http://studentbody.me/,Charles Platkin,https://www.linkedin.com/in/platkin/,"StudentBody is a comprehensive set of cloud-based tools for student health and well-being.  StudentBody helps students address stress, anxiety, sleep, exercise, and eating habits to improve overall health and well-being and thus, improve college and university retention. Tools include a just-in-time framework via a natural language learning chatbot."
Vessel Scientific,,Chichao Chen,https://www.linkedin.com/in/chichao-chen-03a2b054/,Our technology is therapeutic strategy to treat acute myeloid leukemia that works by disrupting cancer metabolism and proliferation.
Aision Biotechnologies,,Christine Denny,https://www.linkedin.com/in/christine-ann-denny-54484244,Prophylactic drugs that protect against depression and PTSD in a vaccine-like fashion.
MenoPal,https://www.wearmenopal.com,Cira Cardaci,https://www.linkedin.com/in/cira-cardaci/,MenoPal is creating an online digital health platform to educate and empower menopausal women with credible information and community support.
Cox Biosciences LLC,http://coxbiosciences.com,Clark Sullivan,https://www.linkedin.com/in/clark-sullivan-ny-entrepreneur/,Cox Biosciences is a phase III drug development company developing a promising therapy for improving communication in children with autism.
TEZCAT Laboratories,http://www.tezcat.co/,Craig Ramirez,https://www.linkedin.com/in/craig-ramirez-29727356/,"Developing a biologics-based therapeutic approach to treat mutant Ras cancers, such as colorectal cancer."
Veripad,http://www.veripad.co/,Da Wi Shin,https://www.linkedin.com/in/da-wi-shin-b31641114/,Veripad has created the most affordable and accessible system for checking the quality of medicines by using a paper chemical test cared and companion mobile app.
Mechidea LLC,,Devansh Sharma,https://www.linkedin.com/in/devansh-sharma-38894349,“Endure” is the first product of Mechidea LLC which is a medical device designed and developed to hold and endoscope in procedures like colonoscopies etc. with an aim to get reduction in musculoskeletal injuries caused to doctors due to these procedures.
"Face2Face Health, LLC",https://www.face2facehealth.com/,Dominic Ambrosio,https://www.linkedin.com/in/dominicambrosio1/,"Face2Face Health is an integrative child-centric connected care platform for caregivers that provides remote access to experts across health silos, evidence-based education on top
conditions and communities."
ALT therapeutics,https://www.linkedin.com/in/dong-zhang-6554058/,Dong Zhang,https://www.linkedin.com/in/dong-zhang-6554058/,We discovered that inhibition of FANCM prevents the survival of ALT cancers (10-15% of cancers) and planned to develop FANCM inhibitors to treat ALT cancers.
Synthis,,Dori Thomas-Karyat,https://www.linkedin.com/in/dorithomaskaryat/,We are developing a novel immuno-oncology (IO) therapeutic that reserves immune suppression in metastatic melanoma patients who have failed immune checkpoint blockade.
OSD (USA) Inc.,http://us.onesoftdigm.com/index.php?getLang=en#Main,Douglass Lee,https://www.linkedin.com/in/douglee93/,"OSD develops smart IoT wellness devices that measure, analyze and report timely and accurate biometric data to develop a healthier lifestyle."
Halo Mountain,,Eleanor Haglund,https://www.linkedin.com/in/eleanor-haglund/,Halo Mountain’s drug has the potential to stop Alzheimer’s disease by fighting inflammation and oxidative stress.
Qlear Chemicals,,Elif Alpoge,https://www.linkedin.com/in/elifalpoge/,"Qlear Chemicals We develop novel permeabilization and optical clearing reagents for 3D imaging of intact, grossed anatomic pathology samples."
DESTROKE Inc.,https://www.de-stroke.com/,Evan Noch,https://www.linkedin.com/in/evan-noch-86883a95/,"DESTROKE Inc. is a mobile-based app for early detection of stroke in real-time, based on the bedside examination and validated NIH stroke scale."
BioSapien,http://www.biosapieninc.com/,Furwa Hussain,https://www.linkedin.com/in/furwa-hussain-aa7040170/,
Bow Therapeutics,,George Georgiev,http://www.linkedin.com/in/nygeorgiev,Bow Therapeutics is developing isolation of human monoclonal antibodies against Chikungunya Virus Glycoprotein using Single B-cell sorting Technology.
Microstructure Imaging,,Gregory Lemberskiy,https://www.linkedin.com/in/gregory-lemberskiy-0b76125b/,We are a service company that improves medical image quality via advanced post-processing and uses this improvement to develop quantitative biomarkers specific to cellular-level pathology.
"Mara Nanotech New York, Inc.",http://mara-nanotech.com/,HeaYeon Lee,https://www.linkedin.com/in/heayeon-lee-794b034a/,"Mara Nanotech NY, inc. is a prototype development stage nanobiomedical device company that is focused on developing an electrochemical nanowell-biosensor based mobile cardiovascular self-diagnostics."
Purple Inc.,https://www.purpleny.com/,Hennesys Disla,https://www.linkedin.com/in/hennesysdisla/,Purple is an e-commerce medical supply kit company that delivers custom supplies for blood draw procedures to nurses and phlebotomists in New York City.
Energizing Solutions,,Jeannette Beasley,http://www.linkedin.com/in/EnergizingSolutions,"We will develop an evidence-based diet and physical activity assessment and intervention tool to facilitate compliance with prescribed regimens (i.e., diabetes, cardiovascular disease, weight loss)."
Bow Therapeutics,,Jeetayu Biswas,https://www.linkedin.com/in/jeetayu/,Isolation of human monoclonal antibodies against Chikungunya Virus Glycoprotein using Single B-cell sorting Technology
Savvy Cooperative,https://www.savvy.coop/,Jen Horonjeff,https://www.linkedin.com/in/jenhoronjeff/,"Savvy Cooperative is the Match.com for patient insights, where professionals can connect with targeted patients to gain the insights they need to build better products and services."
Haystack Diagnostics LLC,https://www.haystackdiagnostics.com,John P. Wilson,https://www.linkedin.com/in/drjohnwilson/,Haystack Diagnostics detects illnesses like cancer early using multivariate AI analysis of all biomarkers read out by proteomics.
CapCell Biologics,,Jon Zaikowski,https://www.linkedin.com/in/jon-zaikowski-01683850/,CapCell Biologics is treating rare diseases with implants composed of engineered cells in a protective mesh capsule.
AvoMD,https://avomd.io,Joongheum Park,https://www.linkedin.com/in/joongheum-pj%E2%80%8B-park-md-931070137/,"AvoMD is a mobile clinical application and content platform where clinicians are guided through the process of diagnosis and treatment at the point of care, with relevant portions of the guidelines curated to the specific clinical situation at hand."
CRANEeH,https://www.innovacreate.com/,Jose Bartolomei,https://www.linkedin.com/in/josebartolomeidiaz/,"CRANEeH is a patient engagement application and home-based cardiac recovery service (SaaS). CRANEeH provides integrated sensors to monitor blood pressure, pulse, physical activity, electrocardiogram screening and psychosocial assessment giving a better insight of the patient greatest risk factors. CRANEeH reduces cost of delivery, improves quality of service and assists clinicians during patient decision making."
Bow Therapeutics,,Jose Quiroz,https://www.linkedin.com/in/jose-quiroz-592130134/,Bow Therapeutics is developing isolation of human monoclonal antibodies against Chikungunya Virus Glycoprotein using Single B-cell sorting Technology.
Energizing Solutions,,Josh Chodosh,https://www.linkedin.com/in/andreawestervelt/,"We will develop an evidence-based diet and physical activity assessment and intervention tool to facilitate compliance with prescribed regimens (i.e., diabetes, cardiovascular disease, weight loss)."
Ichor Biologics,http://www.ichorbiologics.com/,Justin Ring,https://www.linkedin.com/in/justinring,"A validated platform for the isolation of human monoclonal antibodies (mAbs), which neutralize emerging and re-emerging infectious diseases."
Gencove,https://gencove.com/,Kaja Wasik,https://www.linkedin.com/in/andreawestervelt/,"Gencove (Formerly Seeq) aims to advance precision medicine by creating a billion-person
scale genomics dataset and making genome exploration approachable
and inexpensive for consumers and researchers"
Savvy Cooperative,https://www.savvy.coop/,Kelsey McCarthy,https://www.savvy.coop/,Savvy is the first patient insights marketplace where professionals can easily and securely fain patient input and feedback.
BioSapien,http://www.biosapieninc.com/,Khatija Ali,https://www.linkedin.com/in/kpalimd/,
Gentroma,,Krista Fretes,https://www.linkedin.com/in/krista-fretes-27637b111/,"A portable DNA sequencer that can make finding out information about one’s genetic ancestry, disease risk, and other factors available to the masses, cost-effectively."
MediScribe,,Kurt Yaeger,https://www.linkedin.com/in/kurt-yaeger/,"MediScribe is developing a medical language recognition and error correction algorithm using Artificial Intelligence, to enhance efficiency of physician workflow and reduce physician burnout."
Indah,https://www.pathology.columbia.edu/profile/laura-mcintire-phd,Laura Beth McIntire,https://www.linkedin.com/in/laura-beth-mcintire-5106a21a/,"Evidence is emerging supporting the critical and early role of lipid metabolic pathways in Alzheimer’s disease (AD). Perhaps the most compelling is altered uptake of docosahexaenoic acid in human ApoE4 carriers at age 30, decades before amyloid and tau pathology and clinical manifestation of disease. Further, genome wide association studies have identified multiple hits in phospholipid metabolism and membrane trafficking in human. My previous work has identified phosphoinositide metabolism by Synaptojanin 1 as critical for cognitive rescue in a mouse model of AD. Based on these studies and studies of others, we have identified multiple components of phospholipid metabolism which likely indicate system wide dysregulation in AD. Synthesizing these data, my current work has identified a specific pathway in lipid metabolism which is dysregulated and a novel lipid target which is able to rescue cognitive dysfunction in a mouse model of AD. In addition to the current target, I have developed a lipidomics platform for identification of lipid dyshomeostasis in AD and other neurodegenerative diseases."
AvoMD,https://avomd.io,Laurence Coman,https://www.linkedin.com/in/laurence-coman/,"AvoMD is a mobile clinical application and content platform where clinicians are guided through the process of diagnosis and treatment at the point of care, with relevant portions of the guidelines curated to the specific clinical situation at hand."
Vessel Scientific,,Lingbo Zhang,https://www.linkedin.com/in/lingbo-zhang-479a691a/,Vessel Scientific’s technology is a therapeutic strategy to treat acute myeloid leukemia that works by disrupting cancer metabolism and proliferation.
CRANEeH,https://www.innovacreate.com/,Lorena Padro Cortes,https://www.linkedin.com/in/lorena-padro-cortes-pe-phd-567522145/,"CRANEeH is a patient engagement application and home-based cardiac recovery service (SaaS). CRANEeH provides integrated sensors to monitor blood pressure, pulse, physical activity, electrocardiogram screening and psychosocial assessment giving a better insight of the patient greatest risk factors. CRANEeH reduces cost of delivery, improves quality of service and assists clinicians during patient decision making."
Patch Benefit,http://trustpatch.com,Loune Calixte,https://www.linkedin.com/in/lounecalixte/,"Patch is a healthcare concierge for employees. We work one-on-one with individuals to find them doctors, schedule their appointments and manage their prescriptions."
Cathecare,http://www.cathecare.com/,Luca Marcovici,https://www.linkedin.com/in/luca-marcovici-25a193125,CatheCare’s CASS device uses ultraviolet light to prevent the deadly catheter-related infections.
Ardent,http://www.ardentcell.com,Luis Santos,https://www.linkedin.com/in/lu%C3%ADs-santos-7b56b919/,"Ardent has developed technologies to transform “energy-storing’ white adipose tissue (WAT) into “energy-burning” brown adipose tissue (BAT) for treatment of obesity, diabetes, and metabolic disease."
iHealthScreen,http://ihealthscreen.org/,Mamnun Jaigirdar,,"iHealthScreen has developed AI based tool iPredict (TM), to screen an individual at risk of developing age-related macular degeneration (AMD) and diabetic retinopathy (DR), and prevent blindness."
SiteRx,https://www.siterx.health,Manoj Pooleery,https://www.linkedin.com/in/manojpooleery/,SiteRx is the first virtual clinical trial site focused on building the bridge between clinical research and clinical care
SmartWater / Pharos,,Marcelo Cespedes,https://www.linkedin.com/in/andreawestervelt/,Pharos is a water bottle cap that detects water contamination in real time and tells you what’s in your water using a color coding system.
"Innovene, Inc",,Mario Castellanos,https://www.linkedin.com/in/mario-castellanos-md-b331409b/,Innovene has designed a new class of medications from safe plant-derived components; TriCurin will target the unmet medical need of treating patients with oncogenic human papillomavirus infections.
SparkLife,,Mark Stewart,https://www.linkedin.com/in/mark-stewart-1a55049,"Our cardioverter/defibrillator, based on vagus nerve stimulation, eliminates problems of existing devices. We will start a company to advance this and other resuscitation technologies."
Motion2Movement,https://www.motion2movement.com/,Mark Hase,https://www.linkedin.com/in/mark-hase-2b83a7156/,"A remote knee-therapy platform that enables patient engagement, and provides critical data to clinicians including muscle activation, therapy compliance and progress, and patient-reported ou"
MEG Cura,https://megcura.com/,Maryam Alkhaldi,https://www.linkedin.com/in/maryam-s-a-81506813b/,"MEG Cura is a patients compilance and reporting solution for physical
therapists that improves treatment outcomes and decreases
administrative costs"
Vitrisa Therapeutics,https://www.vitrisatherapeutics.com/,Matthew Levy,https://www.linkedin.com/in/matthew-levy-8a0402147/,"Platform technology for rapid development of highly stable, high affinity clinic ready ligands called aptamers."
"NeuroSilica, Inc.",http://neurosilica.com,Max Signaevsky,https://www.linkedin.com/in/max-signaevsky-m-d-ph-d-67537014/,NeuroSilica’s objective is to develop and commercialize a novel nanotechnology–based biocompatible implantable materials for biomedical applications such as Deep Brain Stimulation and Brain-Computer Interface.
MEG Cura,https://megcura.com/,Meshal Alhathal,https://www.linkedin.com/in/meshal516/,MEG Cura is a patients compilance and reporting solution for physical therapists that improves treatment outcomes and decreases administrative costs
Gentroma,,Mgavi Brathwaite,https://www.linkedin.com/in/mgaviebrathwaite/,"A portable DNA sequencer that can make finding out information about one’s genetic ancestry, disease risk, and other factors available to the masses, cost-effectively."
MenoPal,https://www.wearmenopal.com,Mican Meneses,https://www.linkedin.com/in/micanmeneses/,MenoPal is creating an online digital health platform to educate and empower menopausal women with credible information and community support.
Global Dynamics Technology,http://www.globaldynamicstechnologynyc.com,Michelle Roberts,https://www.linkedin.com/in/michelle-roberts-lmt-product-design-development-868ab855/,"The NTD 1000, trigger point therapy device is an effective pain management system based on proprietary Ischemic Compression Technology (ICT). The purpose of the invention is to provide an apparatus for controlled trigger point therapy, providing the new ischemic compression (IC) for chronic myofascial pain to the general public and medical healthcare professionals."
Sonify Bioscience,http://www.sonifybio.com/,Miriam Boer,https://www.linkedin.com/in/miriam-boer-37773a12/,"Sonify is building a device that uses low-intensity ultrasound and RF radiometry to deliver controlled, remote hyperthermia to a wide array of superficial tumors."
"Taithera, Inc.",http://www.taithera.com/,Mo Chen,,Taithera is a revolutionary nanomedicine bone-targeted drug delivery and controlled release platform technology for the treatment of musculoskeletal conditions focused initially on fracture healing & bone cancer (osteosarcoma is our first oncology target).
AdviceCoach,https://www.advicecoach.com/,Nan Xiao,https://www.linkedin.com/in/nanxiao85/,"AdviceCoach is a HIPAA compliant SaaS platform that makes it easy, fast and cheap for healthcare providers to publish mini-apps (Playbooks) that give each patient a unique treatment plan."
Instras Scientific,https://instras.com/,Nathan Stevens,https://www.linkedin.com/in/ns096/,Instras Scientific is designing and developing low-cost dip coater kits for thin film biosensor research.
"Mara Nanotech New York, Inc.",http://mara-nanotech.com/,NaYoung Yang,https://www.linkedin.com/in/nayoungyang/,"Mara Nanotech NY, inc. is a prototype development stage nanobiomedical device company that is focused on developing an electrochemical nanowell-biosensor based mobile cardiovascular self-diagnostics."
jotteq,http://www.jotteq.com,Nigel Kelly,https://www.linkedin.com/in/nigelkelly1,Jot is a new kind of eye drop dispenser that is safe and easy to use.  My objective is to bring it to market
MaMome,https://www.mamome.io/,Nini Fan,https://www.linkedin.com/in/ninifan/,Brooklyn InnoSeq (MaMome) empowers pregnant women and mothers to take control of theirs and their infant’s health with personalized nutrition based on their gut microbiome.
Gentroma,,Parth Shah,,"A portable DNA sequencer that can make finding out information about one’s genetic ancestry, disease risk, and other factors available to the masses, cost-effectively."
"Applied Surgical Robotics, LLC",http://www.appliedsurgicalrobotics.com,Paul Booth,https://www.linkedin.com/in/paul-booth-427275127/,Applied Surgical Robotics developed a robotic uterine manipulator that positions anatomy during hysterectomies.
PZM Diagnostics,,Peilin Zhang,https://www.linkedin.com/in/peilin-zhang-md-ph-d-338244a0,PZM Diagnostics is testing for anti-bacterial antibodies in autoimmune disease with goal to change the direction of diagnosis and therapy of Crohn’s and other autoimmune disease
Lipidsense,https://www.lipidsense.com/,Prakrit Jena,https://www.linkedin.com/in/prakrit-jena/,LipidSense is developing an optical sensor to non-invasively monitor lipid accumulation in live animals for accelerating pre-clinical drug development.
Motion2Movement,https://www.motion2movement.com/,Ralph Hertz,https://www.linkedin.com/in/ralphhertz/,"A remote knee-therapy platform that enables patient engagement, and provides critical data to clinicians including muscle activation, therapy compliance and progress, and patient-reported outcomes."
Ichor Biologics,http://www.ichorbiologics.com/,Raymond Alvarez,https://www.linkedin.com/in/raymond-alvarez-a5b33537/,"A validated platform for the isolation of human monoclonal antibodies (mAbs), which neutralize emerging and re-emerging infectious diseases."
Aision Biotechnologies,,Rebecca Brachman,https://www.linkedin.com/in/rebecca-brachman-03893b82,Prophylactic drugs that protect against depression and PTSD in a vaccine-like fashion.
SparkLife,,Rena Orman,https://www.linkedin.com/in/rena-orman-39a6a640/,"Our cardioverter/defibrillator, based on vagus nerve stimulation, eliminates problems of existing devices. We will start a company to advance this and other resuscitation technologies."
DispoMeds L.L.C.,http://www.dispomeds.com,Reza Royaee,https://www.linkedin.com/in/atabak-reza-royaee/,DispoMeds’ innovation is a platform technology that uses artificial intelligence and computer vision to automatically identify and segregate mixed medications. The technology has multiple applications in pharmaceutical and healthcare industries and contributes to positive social and environmental changes.
Hyro,https://www.hyro.ai/,Rom Cohen,https://www.linkedin.com/in/rom-cohen/,Hyro creates the next generation of conversational AI assistants. Powered by cutting edge natural language understanding (NLU) our plug & play conversational AI platform enables enterprises to easily add voice & text capabilities to their digital channels.
Agamon,http://www.agamon.io,Rotem Lev-Zwickel,https://www.linkedin.com/in/rotem-lev-zwickel-17b52322/,"Agamon partners with hospitals, structures their textual clinical data using NLP and provides tools & services for a faster, efficient & scalable way to access clinical data & insights."
Bow Therapeutics,,Ryan Malonis,https://www.linkedin.com/in/ryan-malonis-37843764/,Isolation of human monoclonal antibodies against Chikungunya Virus Glycoprotein using Single B-cell sorting Technology
Motion2Movement,https://www.motion2movement.com/,Sam Tran,https://www.linkedin.com/in/sam-tran-0608925a/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_top%3BV4v5wKP0QcGIAG8aCRh29Q%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_top-search_srp_result&lici=uZfueQq4RGuWxADH21hO1g%3D%3D,"A remote knee-therapy platform that enables patient engagement, and provides critical data to clinicians including muscle activation, therapy compliance and progress, and patient-reported outcomes."
Aldentyfy,,Sam Cho,https://www.linkedin.com/in/samuel-cho-935072139/,Aldentyfy is a healthcare software company that offers machine learning-based digital solutions that have been developed by physicians for physicians.
"Massive Bio, Inc.",http://massbio.io/,Selin Kurnaz,https://www.linkedin.com/in/selinkurnaz,Massive Bio provides cutting-edge concierge advisory services for precision oncology to cancer patients treated at community practices.
"Taithera, Inc.",http://www.taithera.com/,Seth Harlem,http://bit.ly/2f61Qgv,"Taithera is a revolutionary nanomedicine bone targeted drug delivery controlled release platform technology for the treatment of musculoskeletal conditions focused initially on fracture healing & bone cancer
(osteosarcoma is our first oncology target)."
SiteRx,https://www.siterx.health,Seth Goodman,https://www.linkedin.com/in/seth-goodman/,SiteRx is an AI-powered digital B2B marketplace connecting doctors and patients with clinical trials in their communities and integrating clinical research into the continuum of care.
BrainFUS,,Shih-Ying Wu,https://www.linkedin.com/in/shih-ying-wu/,BrainFUS is a patent ultrasound medical system to treat brain disease by disrupting the blood-brain barrier and assisting drug delivery noninvasively.
StudentBody,http://studentbody.me/,Sonia Gonzalez,http://www.linkedin.com/in/sonia-k-gonzalez-drph,"StudentBody is a comprehensive set of cloud-based tools for student health and well-being.  StudentBody helps students address stress, anxiety, sleep, exercise, and eating habits to improve overall health and well-being and thus, improve college and university retention. Tools include a just-in-time framework via a natural language learning chatbot."
ASTHMAXcel,http://www.asthmaxcel.net,Sunit Jariwala,https://www.linkedin.com/in/sunit-jariwala-64b21644,"The ASTHMAXcel mobile application is a patient-facing self- management tool with personalizable features (tailored algorithms, animated educational videos, adherence support messages, games, self-assessments, patient/provider dashboards)."
Digital Dementia Healthcare,http://www.DigitalDementiaHealthcare.com,Sunnie Kenowsky,https://www.linkedin.com/in/kenowsky-sunnie-7557aa46/,Digital Dementia Healthcare is an online mobile platform that will empower dementia persons and their care partners to obtain the essential healthcare and support needed to live full and healthy lives.
AdviceCoach,https://www.advicecoach.com/,Susannah Bailin,https://www.linkedin.com/in/susannahrabbbailin/detail/recent-activity/posts/,"AdviceCoach is a HIPAA compliant SaaS platform that makes it easy, fast and cheap for healthcare providers to publish mini-apps (Playbooks) that give each patient a unique treatment plan."
MyophonX,https://myophonx.com,Tal Herman,https://www.linkedin.com/in/tal-avidan-herman-92302b163/,MyophonX is an individually tailored wearable device that applies machine learning to silent articulation to restore speech in patients with limited phonation capacity.
AlgiKnit,https://www.algiknit.com/,Tessa  Callaghan,https://www.linkedin.com/in/tessacallaghan/,AlgiKnit is a material solution company providing and inspiring brands with algae-based textile materials for a diverse range of products
Skinterest,http://www.skinterest.tech/,Thandiwe-Kesi Robins,https://www.linkedin.com/in/thandiwe-kesi/,Skinterest is a digital health platform that helps manage the burden of care for people with chronic skin conditions.
Movement One Labs,http://www.movementone.io,Vadim Gordin,https://www.linkedin.com/in/vadimgordin/,"Insurance forces thousands of therapists to abandon disabled stroke survivors long before they’ve met their potential for recovery. Movement One is bridging that gap with an in-home video game rehabilitation system for survivors of stroke. Our controllers re-imagine $150,000 rehabilitation robots into a system that can be affordably deployed into every patient’s room and home."
BUPeriod,http://www.buperiod.com,Vanessa Siverls,https://www.linkedin.com/in/siverlsv/,"BUPeriod is building sustainable consumer medical device solutions, in menstrual health, by incorporating design and sensor technologies to identify menstrual health risks associated with heavy menstrual flow and potential Iron Deficiency Anemia (IAD)."
Novyx Technologies,,Waleed Abdel-Naby,https://www.linkedin.com/in/waleed-abdel-naby-1b03005a,"A cost-effective hydrogel dressing for chronic wounds, which enhances wound healing, reduces inflammation, risk of infection and pain, as well as provides comfort during use."
BUPeriod,http://www.buperiod.com,Wesley Alexis,https://www.linkedin.com/in/wesleyalexis/,"BUPeriod is building sustainable consumer medical device solutions, in menstrual health, by incorporating design and sensor technologies to identify menstrual health risks associated with heavy menstrual flow and potential Iron Deficiency Anemia (IAD)."
Chemitope Glycopeptide,https://www.chemitopeglycopeptide.com/,William Walkowicz,https://www.linkedin.com/in/william-walkowicz-3a41a067/,"Chemitope specializes in the chemical synthesis of complex glycopeptides for use in challenging vaccine applications, such as HIV."
AvoMD,https://avomd.io,Yair Saperstein,https://www.linkedin.com/in/yair-saperstein-2ba22335/,"AvoMD is a mobile clinical application and content platform where clinicians are guided through the process of diagnosis and treatment at the point of care, with relevant portions of the guidelines curated to the specific clinical situation at hand."
