Company Name,Link,Year Founded,Description
finway,https://finway.de/,2021,"With finway, enterprises can seamlessly plan & control all expenses and budgets in one tool and get real insights to run their business."
Vamstar,https://vamstar.io/,2021,"With the help of machine learning, commercial and procurement teams can automatically remain updated on the competitors, contracts, contract winners, discounts and prices, and forecasted tenders in the global healthcare markets."
LatticeFlow,https://latticeflow.ai/,2021,"LatticeFlow's mission is to change the way the next generation of AI systems are built. If we are to use AI in our businesses, at doctor’s offices, on our roads, or in our homes, we need to build AI systems that companies and users can trust."
Innatera Nanosystems,https://www.innatera.com/,2020,"Innatera’s ultra-efficient neuromorphic processors mimic the brain’s mechanisms for processing sensory data. Based on a proprietary analog-mixed signal computing architecture, Innatera’s processors leverage the computing capabilities of spiking neural networks to deliver ground-breaking cognition performance within a narrow power envelope."
Araris Biotech,https://www.ararisbiotech.com/,2020,Araris Biotech AG is a spin-off company from the Paul Scherrer Institute (PSI) and ETH Zurich pioneering a novel antibody-drug conjugate (ADC)-linker technology. Their linker platform enables the attachment of any payload to ‘off the shelf’ antibodies without the need of prior antibody engineering.
Picker,https://www.picker.me/en/,2020,Picker is a Social Commerce platform where consumers can discover and buy their friends' and influencers favourite products. Recommended products are purchased through the implementation of affiliate links.
Sensolus,https://www.sensolus.com/,2020,"Sensolus connects non-powered assets to the internet so you can track specific assets, detect issues in processes and ensure full visibility when working with contractors or costumers."
Sternum,https://www.sternumiot.com/,2020,"Sternum provides on-device real-time threat detection and prevention, as well as cloud-based monitoring, management and response platform for IoT devices."
Threedy,https://www.threedy.io/,2020,"Threedy is a spin-off from Fraunhofer Institute for Computer Graphics Research IGD. Building on 25 years of research at Fraunhofer IGD, Threedy’s visual computing pioneers are leading the development of their platform technology instant3Dhub in Darmstadt, Germany. Their goal is to ease the utilization of industrial 3D data for everyone. Their customers are relying on Threedy's technology to gain the most value out of their 3D data."
heartbeat medical,https://heartbeat-med.com/,2020,"Heartbeat Medical is one of the leading providers in Europe for the digital collection of health outcomes . Acting as the driver of value-based healthcare in Germany, the company provides both technical infrastructure and organizational know-how to establish the standardized collection of clinical and patient-reported information."
Semalytix,https://www.semalytix.com/,2020,Semalytix develops AI-based solutions that support pharmaceutical companies in becoming more customer-focused.
Ava,https://www.avawomen.com/wo_en,2020,"Ava is a digital women’s health company with offices in Zurich, San Francisco, Makati and Belgrade. Ava’s mission is to advance women’s reproductive health by bringing together artificial intelligence and clinical research. Ava aims to be a long-term companion for women, providing data-driven and scientifically proven insights along all stages of their reproductive lives."
neon,https://www.neon-free.ch/en/,2020,neon is a transaction account for everyday finances with no base fees and easily accessible on your smartphone.
toolsense,https://toolsense.io/,2020,"For machine manufacturers and distributors, capturing the after-sales potential of their sold machines is an important source of revenue. ToolSense offers the necessary technology for this, combining a comprehensive platform (software) with smart sensors (hardware)."
Headmade Materials,https://www.headmade-materials.de/en/,2020,"Headmade Materials is based in Wuerzburg, Germany and stands as a deep tech technology provider in the areas of 3D printing and powder metallurgy for smart material and consulting solutions."
gitti,https://www.gitticonsciousbeauty.com/,2020,"Gitti produce and sell beauty conscious and sustainable products which are based on natural ingredients, are vegan and free of animal testing"
Decentriq,https://www.decentriq.com/,2020,"Data confidentiality and privacy is important, but it should not be difficult. Decentriq makes Machine Learning seamless, no matter how sensitive the data is. They provide the software infrastructure that bakes confidentiality and privacy into any analytical workflow."
Regulus,https://www.regulus.com/,2020,Regulus is the software leader for smart sensor security. Regulus provides affordable GNSS spoofing detection and protection to the mass markets requiring reliability and low-cost. The Pyramid Software technology defends against ever-increasing attacks and interferences.
LynxCare,https://www.lynx.care/,2020,"LynxCare is an AI powered data platform that collects and analyses structured and unstructered data from different sources to provide actionable insights for medical professionals. By using NLP data-driven technology, the platform increases efficiency and raises healthcare quality while being compliant with strict data protection legislation."
Neptune,https://neptune.ai/,2019,Neptune brings organization and collaboration to data science projects. Everything is secured and backed-up in an organized knowledge repository.
Ninox,https://ninox.com/en,2019,Ninox is a no-code platform for developing database focused programs. Ninox runs on all devices. Even when there is no Internet connection.
Retinai,https://www.retinai.com/,2019,"RetinAI is a company improving and supporting R&D of first-in-human drug candidates, supercharging management and oversight of clinical trials and enabling the research needed to elevate the quality of care on patients with eye diseases"
Skribble,https://www.skribble.com/de-de/,2019,Skribble is a one-stop shop for electronic signatures that makes signature processes 100% digital. Skribble provides the legally suitable electronic signature for every type of contract – even if the law requires the same legal weight as a handwritten signature.
healx,https://healx.ai/,2019,"AI-powered, patient-inspired treatments for rare diseases"
HQS Quantum Simulations,https://quantumsimulations.de/,2019,"HQS Quantum Simulations is developing quantum algorithms to predict molecular properties for performance materials, specialty chemicals and pharmaceutical companies."
DEMECAN,https://www.demecan.de/en/startseite-english/,2019,"DEMECAN is the only German company that covers the entire production chain for medical cannabis - from cultivation, processing and storage to distribution to pharmacies."
DessIA,https://www.dessia.tech/,2019,DessIA develops a bot platform based on an explainable AI to automate engineers tasks. Their vision is to offer engineers a new working way by automating all time consuming tasks.
Kiroku,https://trykiroku.com/,2019,"Kiroku is changing the way clinical notes are written. Their software works by building workflows for healthcare professionals that then adapts as they use Kiroku. Their intelligent machine learning systems finds the optimal way to improve efficiency, while also improving the information collected."
mobile GARANTIE,https://mobile-garantie.de/,2019,"mobile GARANTIE has a unique product range that adapts to the needs of customers and with which virtually all vehicles can be insured - whether used cars, cabs, classic cars, motor homes, emergency vehicles or motorcycles."
MyPass,https://www.mypass.cc/en/,2019,MyPass provides you with the digital pass for your travel and leisure activities
Incredo,https://www.incredosugar.com/,2019,"Incredo (formerly DouxMatok) is a food-tech company and pioneer in the development of Targeted Flavor Delivery, enabling improved nutritional profile of foods while retaining the same taste. Their first product is a sugar-based, sugar reduction solution called Incredo Sugar."
Stamp,https://stampit.co/,2019,"Stamp started with the idea that technology can make shopping tax free simple and free of charges. They built a platform that connects retailers with international customers cutting out intermediary agencies, and it’s aimed to become the one-stop-shop for travel shoppers around the world."
Skoove,https://www.skoove.com/en,2019,"From tutorials to theory: Skoove offers everything for your musical journey. With more than 1 million users to date, Skoove creates interactive applications for learning piano and guitar. With their team of 20 certified music enthusiasts, they combine music learning science, audio technology and machine learning to create a unique music technology company."
Zeitgold,https://www.deel.com/,2019,"With Zeitgold, entrepreneurs and tax consultants work together digitally. The intuitive software ensures smooth workflows, more efficient communication and creates free capacities on both sides with precise booking suggestions and automated accounting processes. Zeitgold was acquired by the US HR platform Deel."
Synfioo,https://www.project44.com/,2019,Synfioo offers an innovative software platform for Process-ETA calculation and real-time multimodal transportation monitoring.
altoida,https://altoida.com/,2019,"Altoida’s mission is to set a new gold standard in brain health. The company’s precision neurology platform is designed to accelerate and improve drug development, research, and care for people with neurological diseases, like Alzheimer’s, using data captured with a standard smartphone or tablet. Altoida’s technology platform uses artificial intelligence (AI) to analyze cognitive and functional test results and help diagnose neurological diseases, like Mild Cognitive Impairment (MCI) and Alzheimer’s."
Chattermill,https://chattermill.com/,2019,Chattermill applies artificial neural networks to customer feedback that learn from your data and help you make more customer centric decisions. Chattermill help brands redefine customer experience.
Cybus,https://www.cybus.io/en/,2019,Cybus is an industrial IoT company that specializes in connectivity and architectures for smart factories
Layer,https://golayer.io/,2019,"Layer is a cloud application that adds granular access control, process transparency, sophisticated data consolidation, and much more."
Blue Circle,#,2018,"A single SaaS AI platform that provides holistic control, from nature to consumer, over the entire value chain for food producers to increase efficiency, enhance profitability, and promote sustainability."
Theftex,https://www.thingfox.com/,2018,"Theftex is a cutting-edge technology company that specializes in developing state-of-the-art IoT solutions for businesses and industries of all sizes under the brand name Thingfox. The company is committed to helping its clients leverage the full potential of the IoT to streamline operations, improve efficiencies, and create new revenue streams."
campai,https://www.campai.com/,2018,"Cloud-based software solutions to mange your non-profit club. With campai, your online club management becomes an experience and saves you time."
Clique Brands Inc.,https://cliquebrands.com/,2018,"Named to Fast Company’s Most Innovative Companies list in 2017 and as Digiday’s most innovative publisher in 2018, Clique Brands is a global media and consumer brands company that combines the power of data science with its expert editorial team to create content and products that millennial women and Gen Z girls crave. Founded in 2012, the company manages several fashion and lifestyle businesses, including shopping site Who What Wear."
Codasip,https://codasip.com/,2018,"Codasip pioneers the RISC-V commercialization and offers a wide range of production-ready RISC-V-based embedded and application processor cores. Founded in 2014 and based in Europe, Codasip has evolved into a strong global player in the processor design field. With the mission to democratize processor design, Codasip’s tools make design simpler, faster, and less expensive."
DeepCode,https://www.deepcode.ai/,2018,DeepCode alerts you about critical vulnerabilities you need to solve in your code. Don't let security bugs go to production. Save time finding and fixing them.
DyeMansion,https://dyemansion.com/,2018,"DyeMansion is the global leader in Additive Manufacturing finishing systems that turn 3D-printed raw parts into high-value products. From perfect fit eyewear to personalized car interiors, our technology makes 3D-printed products become a part of our everyday life."
Flatfox,https://flatfox.ch/c/en/,2018,"Flatfox is an IT company specialized in the real estate market. In addition to its own real estate marketplace, which is oriented towards landlords and potential tenants, Flatfox also offers self-developed services and digital products for real estate agencies and real estate managers."
Flytrex,https://www.flytrex.com/,2018,"Flytrex' delivery service is the first of its kind to bring on-demand drone delivery convenience to the suburbs. While urban dwellers can choose from a myriad of affordable on-demand delivery options, those living in the suburbs have been left with expensive and inconvenient choices until now. Flytrex deeply cares about preserving their customers privacy, which means their drones carry no cameras whatsoever. Their system navigates using GPS and sensors only."
Fruitcore,https://fruitcore-robotics.com/en/,2018,German robotics company Fruitcore offers a solution for automation in manufacturing and logistics. The robots are called HORST which stands for Highly Optimized Robotic Systems Technology. They are easy to implement and control because of Fruitcore’s proprietary intuitive software application platform.
i2x,https://i2x.ai/en/home/,2018,"i2x is the first automatic training and voice recognition software to fully utilize data from sales and service calls in real time, through the use of artificial intelligence."
immoledo,https://www.immoledo.ch/,2018,immoledo enables real estate portfolios to be analyzed efficiently and professionally using artificial intelligence.
Ledgy,https://ledgy.com/,2018,"Ledgy helps startups handle their employee shareholdings, cap table and investor relations professionally and accurately from the start. Ledgy provides investors a centralized source of all important information."
Luciole Medical,https://www.luciolemedical.com/,2018,Luciole Medical is a Swiss medical technology company developing brain oxygenation monitoring systems. The company has developed a unique proprietary technology making the measurement of the true oxygen content and blood flow of the brain tissue possible.
mymoria,https://www.mymoria.de/,2018,mymoria is a digital platform for funeral planning. They digitize the organization of funerals. Together they have set themselves the goal of changing the way we deal with death.
Sharpist,https://www.sharpist.com/,2018,Sharpist supports organisations with developing their employees into inspiring leaders. Their mobile remote coaching platform enables personalised learning for your entire workforce: from anywhere and at any time.
Hem,https://hem.com/,2018,"Hem is a Stockholm-based independent design brand creating a new generation of furniture, accessories and lighting. Together with vanguard designers and renowned European manufacturers, Hem crafts iconic products for homes and workplaces all around the world."
Vitta,https://www.vitta.com.br/,2018,"Vitta created the First Health Plans for Startups in Brazil to offer quality care, without the bureaucracy of conventional plans, with a digital medical network and pricing that is up to 20% lower than any plan with a similar hospital and laboratory network."
yamo,https://www.yamo.bio/en-de/,2018,yamo is a mission-driven company pioneering a new generation of kids' food.
Volocopter,https://www.volocopter.com/,2017,"Volocopter is building the world’s first sustainable and scalable urban air mobility business to bring affordable air taxi services to megacities worldwide. With the VoloCity, the company is developing the first fully electric “eVTOL” aircraft in certification to safely and quietly transport passengers within cities. Volocopter leads and cooperates with partners in infrastructure, operations, and air traffic management to build the ecosystem necessary to ‘Bring Urban Air Mobility to Life’."
Arktis Radiation Detectors Ltd.,https://www.arktis-detectors.com/,2017,"Arktis develops and manufactures next generation radiation detection systems and works with government and agencies around the globe to supply systems that improve security at ports, airports and border crossings."
BigRep,https://bigrep.com/,2017,"BigRep develops the world’s largest serial production 3D printers, creating the industry benchmark for large-format additive manufacturing. Their award-winning, German-engineered machines are establishing new standards in speed, reliability and efficiency."
Blok,https://blok.ai/en,2017,Blok is a digital marketplace for buying and selling real estate with a focus on apartments between 1 and 4.5 rooms. The physical broker is thus completely replaced.
Carisma Therapeutics,https://carismatx.com/,2017,"Carisma Therapeutics is pioneering the development of CAR macrophages, a disruptive approach to immunotherapy. Our technology leverages advances in macrophage biology, chimeric antigen receptor engineering and adoptive cellular therapy for the treatment of human disease."
eperi,https://eperi.com/,2017,"eperi provides data encryption for cloud applications. The company holds several international patents for its innovative technology that provides matchless data protection for SaaS applications, databases, custom applications and file storage solutions. The eperi solutions use encryption and tokenization, which enable some of the world’s largest enterprises to leverage all the benefits of the cloud."
fabfab,https://www.stoffe.de/,2017,"fabfab is Europe’s leading Do It Yourself Online Shop. In addition to the german creative platform stoffe.de, they run 11 more shops all over Europe and ship to over 50 countries worldwide. They revolutionized the market in 2003 with the idea of ​​selling fabrics over the Internet – but fabfab has much more to offer and are constantly refining their portfolio with new ideas and innovations."
foodspring,https://www.foodspring.de/,2017,"foodsprings mission: Take sports nutrition to the next level. With its certified organic quality, their protein powder has made quite a splash in the trade. With milk from pastured cows, they have shaken the foundations of crusty old structures. And given fitness enthusiasts some food for thought."
IDAGIO,https://www.idagio.com/de/,2017,IDAGIO is an online music streaming service focused on classical music.
INZMO,https://inzmo.com/de/,2017,INZMO is one of the fastest growing InsurTech startups in Europe helping people to protect their rental homes and belongings
KIVU,https://kivu.tech/,2017,"KIVU’s talented multidisciplinary team of engineers, developers, data scientists and analysts developed a fully-fledged graph database and data analytics platform for a broad set of use cases."
Medlanes,https://medlanes.com/,2017,"As a private on-call medical service, Medlanes organises home visits for private patients and self-pay patients by cooperating on-call doctors. Appointments can be arranged in a particularly flexible manner, as the doctors in our network are on call around the clock every day (depending on the workload of the doctors) and treat you at the location of your choice, both on weekends and public holidays."
NVision Imaging,https://www.nvision-imaging.com/,2017,"NVision has developed a quantum-based platform which polarizes natural metabolites, enabling these safe molecules to be used as an agent for imaging tumor metabolism via standard MRI. This safe imaging technology will provide clinicians worldwide unprecedented early insights into treatment efficacy, allowing non-responders to be moved onto another line of therapy more quickly. The company is based in Ulm, Germany, and active throughout the US and Europe."
ottonova,https://www.ottonova.de/,2017,Germany's first purely digital health insurance company with the mission to finally make the complex topic of health insurance and healthcare simple and transparent.
PriceHubble,https://www.pricehubble.com/de/,2017,"PriceHubble was founded to bring transparency into real estate markets globally. They provide insights & solutions to their clients, allowing them to take smarter real estate decisions and enabling them to boost critical performance metrics in their business (e.g. client conversion, retention or rental yield)."
Urban Sports Club,https://urbansportsclub.com/en/,2017,"Urban Sports Club is the biggest, the most flexible and most varied flat-rate sports membership in Europe. This flat-rate membership allows you to choose freely between sports partners and many different kinds of sport and wellness."
Whitebox,https://www.whitebox.eu/,2017,"Whitebox is your digital asset management with above-average returns and personal service. Independent, professional & cost-effective. Achieve your financial goals - simply and relaxed."
ARMEDANGELS,https://www.armedangels.com/de-en,2016,"Timeless design instead of fast fashion, sustainable materials instead of cheap mass goods and fair production instead of wage slavery. Everyone has a choice."
Baze,https://www.baze.com/,2016,At-home blood nutrient testing & personalized supplements delivered to your door
BUX,https://getbux.com/,2016,"BUX offers you easy to use apps for investing and trading. These apps open up new opportunities, connect you to an international community and giving you the chance to learn from others."
CheckYeti,https://www.checkyeti.com/,2016,"CheckYeti is the largest online booking platform for ski schools in Europe. Winter sports enthusiasts can choose and book their perfect ski lessons as well as snowboarding and off piste adventures from more than 6,000 offers online."
COMATCH,https://www.comatch.com/,2016,COMATCH is the online marketplace for independent management consultants and industry experts. The perfect candidate for your project – just a click away.
Comtravo,https://www.comtravo.com/,2016,"Comtravo radically simplifies the booking of your entire business trip including flights, hotels, trains, and rental cars."
CrediMarket,https://www.credimarket.com/,2016,"CrediMarket is a Spanish online loan, card and mortgage comparator"
EFFECT photonics,https://effectphotonics.com/,2016,EFFECT Photonics delivers highly integrated optical communications products based on its Dense Wavelength Division Multiplexing (DWDM) optical System-on-Chip technology.
Joblift,https://joblift.de/,2016,Joblift bundles the entire online job market on one platform. Individual filters enable particularly relevant results. A user-friendly design and intuitive navigation make job searches easier.
Jura Online,https://jura-online.de/,2016,"Jura Online adapts to the learning personality of its users and is a companion that guides, queries and shows where you stand while learning."
ONWARD,https://www.onwd.com/,2016,"ONWARD is a medical technology company creating innovative therapies to restore movement, independence, and health in people with spinal cord injuries."
Pamono,https://www.pamono.de/,2016,"Pamono is the unique marketplace and magazine for distinctive designer objects and the stories behind them. Pamono is convinced that a good life should also be surrounded by beauty and soul - in this sense they track down contemporary and vintage furniture, lamps, accessories and handicrafts worldwide"
Testbirds,https://www.testbirds.com/de/,2016,"Testbirds is a world-leading crowdtesting provider, helps clients create digital products that people really love. Testbirds’ crowdtesting services offer a comprehensive, high-quality testing experience adaptable to the individual needs of clients with a focus on the quality assurance and usability of digital products."
Tiko,https://en.tiko.es/,2016,Tiko is a Spanish company that provides customers with the fastest and most convenient way of selling and buying houses.
Triplemint,https://www.theagencyre.com/,2016,"Triplemint is a software-powered real estate brokerage that makes it easier for people to buy, sell, and rent apartments. In 2022 Triplemint joined The Agency RE under it's name."
UroMems,https://www.uromems.com/en,2016,"UroMems focuses on designing, developing and commercializing active implantable medical devices. UroMems is highly innovative and focuses on clearly identified clinical unmet needs, not only for their prevalence but also for their negative impact on patient’s quality of life."
Websitebutler,https://www.websitebutler.de/de,2016,Websitebutler creates professional website based on pre-defined requirements and wishes.
Wine in Black,https://www.wine-in-black.de/,2016,"Wine in Black is the discovery platform for premium wine. Every day the team presents a new exciting wine, with which you can enjoy your personal wine moments."
MOVU,https://www.movu.ch/en/,2015,"MOVU is an online platform for removals and cleaning services and has accompanied more than 15,000 customers during their move. MOVU offers its customers relaxed moving and at the same time brings transparency to the Swiss moving market."
Azimo,https://azimo.com/,2015,"Azimos mission is to use technology to democratise financial services, making them affordable and available to all. Azimo is the better way to share money around the world, improving millions of people’s lives."
Brille24,https://www.brille24.de/,2015,Brille24 is the leading online optician in the German-speaking countries and offers about 4700 models of glasses.
COMPEON,https://www.compeon.de/,2015,"COMPEON is the leading product- and provider-independent full-service provider for SME financing in Germany. Companies and their advisors, freelancers and self-employed persons can quickly find the best financing solution and the best conditions in terms of interest rates, terms, equity and collateral through their platform and with the help of their independent advice."
Equippo,https://www.equippo.com/,2015,"Equippo bring together select manufacturers, dealers, leasing companies and other trusted sellers of heavy equipment with buyers from all over the world, including markets like South America and Poland."
Exosome Diagnostics,https://www.exosomedx.com/europe,2015,Exosome Diagnostics is a developer of fluid-based molecular diagnostic tests for use in personalized medicine.
Getsafe,https://www.hellogetsafe.com/de-de,2015,"Getsafe is a digital insurance company that creates a better insurance experience for everyone. Powered by its unique technological platform, Getsafe makes insurance simple, fair and accessible."
GNA Biosolutions,https://www.gna-bio.com/,2015,"GNA Biosolutions develops ultrafast, portable molecular diagnostic platforms. Their goal is to make molecular testing possible for everyone, everywhere."
Nestpick,https://www.nestpick.com/,2015,"Nestpick is the biggest database for furnished apartment rentals. On Nestpick you can browse more than 1 million listings from over 100 providers like Spotahome, ErasmusU, Student.com and many more, all in one place. Nestpick is a free meta-search engine that will help you find your room or flat for rent in Berlin, London, Barcelona, Amsterdam, Madrid and many other cities around the world."
Seven Senders,https://sevensenders.com/,2015,Seven Senders is the leading shipping platform with the best solution for Europe-wide shipping. Seven Senders makes delivery a perfect experience for your customers - and supports you with its services to raise your shipping to a top level.
TargetVideo,https://www.target-video.com/,2015,"TargetVideo is a digital publishing house and one of the leading video suppliers and marketers. For publishers, they offer high-quality moving image content with over 3,000 premium video clips from various subject areas and attractive marketing within their video syndication network."
Raisin,https://www.raisin.com/,2014,"The first and only pan-European
deposit marketplace"
AYOXXA,http://ayoxxa.com/,2014,"AYOXXA is a life science tools company driving advances that empower translational proteomics, setting sights on better diagnostics and therapeutics."
Beekeeper,https://www.beekeeper.io/,2014,Beekeeper helps companies connect their frontline workers with everything they need to do great work so workers live better lives and their businesses thrive.
Campanda,https://www.campanda.de/,2014,"At Campanda users can search for campervan rental deals around the world, or offer their own motorhome or caravan to prospective customers. They work with a large number of commercial vehicle suppliers as well as private motorhome owners in order to deliver the best possible choice."
Codecheck,https://www.codecheck.info/,2014,"Codecheck is your shopping assistant for a conscious lifestyle. Gain full transparency over the ingredients in your food, drinks and cosmetics."
Data Artisans,https://www.ververica.com/,2014,"Data Artisans develops on the open source framework Apache Flink. The company was founded in 2014 by the Apache Flink community and created applications that enable fast, reliable and meaningful analysis of huge amounts of data. In January 2019, Data Artisans was acquired by the Chinese Internet group Alibaba and renamed Ververica."
Electrochaea,https://www.electrochaea.com/,2014,"Using a conversion process known as “power-to-gas”, Electrochaea has developed a commercially viable and disruptive solution for utility-scale energy storage, grid balancing, and carbon reuse."
PflegeWelt,https://www.pflege-paket.de/,2014,"A sudden need for nursing care in the family often leaves you helpless. PflegeWelt is at your side, providing you with all the important information and checklists, so that your relative receives the best possible care as quickly as possibl"
jobvalley,https://jobvalley.com/en-de/,2014,"jobvalley operates Germany's largest digital platform for jobs for academics. The HR tech company brings students, graduates and companies together by using automated matching"
OrCam,https://orcam.de/de/willkommen,2013,OrCam harnesses the power of artificial vision to assist people who are visually impaired. OrCam has created a technologically advanced device unique in its ability to provide visual aid through a discreet wearable platform and simple easy-to-use interface which serves to enhance the daily lives of people with vision loss.
Twill,https://www.twill.health/,2013,"Twill (formerly Happify Health) is the Intelligent Healing Company, shortening the distance between need and care by intelligently guiding each person to the care they need, when they need it, in the way they want. The company delivers Sequences™, fully configurable, scientifically designed, digital-first solutions that support the care journey for specific medical conditions."
URBANARA,https://www.urbanara.de/,2013,"URBANARA combines natural materials and careful workmanship to create timelessly beautiful home accessories. As an interior brand, URBANARA has its collections produced in direct cooperation with its own manufacturers and deliberately dispenses with middlemen. The result is real favourite pieces in noticeably high quality."
WISE,https://wiseneuro.com/,2013,WISE Srl is a Milan- and Berlin-based medical device company developing a genuinely new generation of implantable leads for Neuromodulation and Neuromonitoring.
