Startup Name,Startup Link,Description
Passage Bio,https://www.passagebio.com/home/default.aspx,"Ambitiously focused on innovating within the field of genetic medicines, they seek to develop transformative therapies for the treatment of rate monogenic central nervous system disorders.  Passage Bio is a biotech startup with a clear mission to develop a portfolio of five life-transforming AAV-delivered therapeutics. Their focus is set on unique aspects and therapy goals for a given indication and screens a variety of AAVs in non-human primates to choose the optimal capsid and route of delivery to best meet the clinical needs of the patients."
Passage Bio,https://www.passagebio.com/home/default.aspx,"Ambitiously focused on innovating within the field of genetic medicines, they seek to develop transformative therapies for the treatment of rate monogenic central nervous system disorders.  Passage Bio is a biotech startup with a clear mission to develop a portfolio of five life-transforming AAV-delivered therapeutics. Their focus is set on unique aspects and therapy goals for a given indication and screens a variety of AAVs in non-human primates to choose the optimal capsid and route of delivery to best meet the clinical needs of the patients."
Maze,https://mazetx.com/,"Maze is the biotech startup that focuses on decoding the mysteries of genetic modifiers in a range of severe diseases. They use the advances in human genetics and functional genomics to systematically identify genetic modifiers and turn these insights into medicines. To achieve their mission, they have teamed up with some of the brightest and the best scientific pioneers and industry leaders.  As genetic navigators, Maze are paving the way to decode the complex maze of human genetics in an effort to fight diseases. Their ultimate goal is to develop medicines that will transform the lives of people with serious illnesses."
Maze,https://mazetx.com/,"Maze is the biotech startup that focuses on decoding the mysteries of genetic modifiers in a range of severe diseases. They use the advances in human genetics and functional genomics to systematically identify genetic modifiers and turn these insights into medicines. To achieve their mission, they have teamed up with some of the brightest and the best scientific pioneers and industry leaders.  As genetic navigators, Maze are paving the way to decode the complex maze of human genetics in an effort to fight diseases. Their ultimate goal is to develop medicines that will transform the lives of people with serious illnesses."
Ribon,https://ribontx.com/,This biotech startup is pursuing the creation of novel small molecules that target cancer through its dependency on stress support pathways. They have even created their own platform BEACON to facilitate this. They use their platform to find and explore the vulnerabilities of cancer cells to cellular stress.
Ribon,https://ribontx.com/,This biotech startup is pursuing the creation of novel small molecules that target cancer through its dependency on stress support pathways. They have even created their own platform BEACON to facilitate this. They use their platform to find and explore the vulnerabilities of cancer cells to cellular stress.
10x Genomics,https://www.10xgenomics.com/,Creating an impressive platform with the goal to help researchers better identify subtle variations in DNA is what this biotech startup is doing.
10x Genomics,https://www.10xgenomics.com/,Creating an impressive platform with the goal to help researchers better identify subtle variations in DNA is what this biotech startup is doing.
10x Genomics,https://www.10xgenomics.com/,Creating an impressive platform with the goal to help researchers better identify subtle variations in DNA is what this biotech startup is doing.

