Company Name,Link,Description
PharmAbcine Inc.,https://www.bio.org/events/bio-international-convention/sessions/2420084,PharmAbcine Inc. is a clinical stage public company developing next generation antibody…
Centivax,https://www.bio.org/events/bio-international-convention/sessions/2416065,"Centivax’s mission is to accelerate the world’s transition to a post-pathogen humanity. 
…"
BYOMass Inc,https://www.bio.org/events/bio-international-convention/sessions/2416093,BYOMass is a preclinical pharmaceutical company developing novel biologic and small molecule drugs…
Sibylla Biotech S.p.A.,https://www.bio.org/events/bio-international-convention/sessions/2416056,Sibylla Biotech is an early-stage drug discovery company whose primary goal is the identification…
Aeolian Biotech,https://www.bio.org/events/bio-international-convention/sessions/2416140,Aeolian Biotech is reaching for an improved pneumococcal vaccine. Our management team includes…
"Aprea Therapeutics, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2441140,We are a clinical-stage biopharmaceutical company focused on developing novel synthetic lethality…
"Privo Technologies Inc,",https://www.bio.org/events/bio-international-convention/sessions/2420110,"Privo Technologies, Inc. (Privo) is a phase 3 clinical-stage biopharmaceutical company committed to…"
One-carbon Therapeutics AB,https://www.bio.org/events/bio-international-convention/sessions/2416031,One carbon therapeutics is developing innovative therapeutics for oncology indications with high…
Blue Lake Biotechnology,https://www.bio.org/events/bio-international-convention/sessions/2416041,Blue Lake is a clinical stage company developing novel intranasal vaccines based on parainfluenza…
Prazer Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2420069,Prazer Therapeutics is a Korean biotech company pioneering innovative small molecule therapeutics…
Sirona Biochem Corp,https://www.bio.org/events/bio-international-convention/sessions/2416055,Sirona Biochem is a cosmetic ingredient and drug discovery company with a proprietary platform…
CHA Vaccine Institute,https://www.bio.org/events/bio-international-convention/sessions/2416077,CHA Vaccine Institute (CVI) is a clinical stage biopharmaceutical company developing proprietary…
Oxymo Technologies Inc.,https://www.bio.org/events/bio-international-convention/sessions/2416099,"Oxymo Technologies, a French-Canadian biotech, is developing Oximo, a topical drug product for the…"
Predictive Oncology,https://www.bio.org/events/bio-international-convention/sessions/2416111,Predictive Oncology is a knowledge-driven company disrupting the oncology drug discovery paradigm…
Serna Bio,https://www.bio.org/events/bio-international-convention/sessions/2420607,"Founded in 2021, Serna Bio is building the first map of the druggable transcriptome, opening up the…"
"Neuro-Innovators, LLC",https://www.bio.org/events/bio-international-convention/sessions/2416058,"Neuro-Innovators, LLC (NIV) is a clinical stage drug company. Its purpose, accelerate brain…"
"FunPep Co., Ltd.",https://www.bio.org/events/bio-international-convention/sessions/2416061,"FunPep is a public, late clinical-stage therapeutics company that has developed a functional…"
Vaxxas,https://www.bio.org/events/bio-international-convention/sessions/2420065,Vaxxas is developing and commercializing a high-density microarray patch (HD-MAP) as an alternative…
Rejuvenate Biomed,https://www.bio.org/events/bio-international-convention/sessions/2416035,Rejuvenate Biomed is an independent Belgian biomedical company established in October 2017 by Ann…
Reconnect Labs,https://www.bio.org/events/bio-international-convention/sessions/2416050,"Reconnect Labs is a Swiss, clinical stage pharmaceutical company developing Regenerative…"
CytoTronics,https://www.bio.org/events/bio-international-convention/sessions/2416064,CytoTronics is commercializing technology emerging from the Harvard University labs to bring unique…
"Aprogen, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2416101,"We, Aprogen, Inc., are a listed company on the Korea Exchange (007460:KS) with over 20 years of…"
"NanoViricides, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2420123,"NanoViricides, Inc. is developing highly effective & safe antivirals acting by a novel mechanism of…"
Caszyme,https://www.bio.org/events/bio-international-convention/sessions/2420116,"Caszyme is a biotech company, based in Vilnius, Lithuania. The company specializes in development…"
SymBio Pharmaceuticals Limited,https://www.bio.org/events/bio-international-convention/sessions/2431897,"SymBio Pharmaceuticals Limited is a fully integrated, commercial-stage specialty pharmaceutical…"
MindMed,https://www.bio.org/events/bio-international-convention/sessions/2416118,MindMed is a clinical stage biopharmaceutical company developing novel products to treat brain…
ATAMYO THERAPEUTICS,https://www.bio.org/events/bio-international-convention/sessions/2420128,Atamyo Therapeutics is a clinical-stage biopharma focused on the development of a new generation of…
"Io Therapeutics, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2416103,Privately held and financed start up company focused on discovery and development of small…
Anima Biotech,https://www.bio.org/events/bio-international-convention/sessions/2416079,"We are advancing mRNA Lightning, a novel platform for the discovery of small molecule mRNA drugs…"
Unravel Biosciences,https://www.bio.org/events/bio-international-convention/sessions/2441143,Unravel Biosciences is the first rapid prototyping therapeutics company leveraging AI models of…
Baseimmune,https://www.bio.org/events/bio-international-convention/sessions/2416036,Baseimmune is a discovery stage biotech company developing future-proof antigens. Based on…
HAII,https://www.bio.org/events/bio-international-convention/sessions/2420099,HAII is one of the most innovative digital therapeutics companies in South Korea. HAII was founded…
Actinogen Medical Limited,https://www.bio.org/events/bio-international-convention/sessions/2420095,"Actinogen is an ASX-listed, biotech company conducting Ph 2 trials of an oral, brain-penetrant…"
Accelerated Biosciences Corp.,https://www.bio.org/events/bio-international-convention/sessions/2416148,Accelerated Biosciences discovered and has freedom-to-operate to the Human Trophoblast Stem Cell …
Asahi Kasei Pharma,https://www.bio.org/events/bio-international-convention/sessions/2395779,"The Asahi Kasei Group operates in the three business sectors of Material, Homes, and Health Care…"
Chimeric Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2416068,Chimeric Therapeutics is a clinical stage cell therapy company with encouraging early clinical data…
Reset Pharma,https://www.bio.org/events/bio-international-convention/sessions/2416062,Clinical Stage Neuro Biotechnology company bringing science to Psilocybin to help people raise…
BioRankings,https://www.bio.org/events/bio-international-convention/sessions/2420108,The BioRankings team brings decades of experience working with data in diverse subject areas in…
Shaperon,https://www.bio.org/events/bio-international-convention/sessions/2420132,Shaperon is a clinical stage biotech company developing novel inflammasome inhibitors(small…
Reveal Pharma,https://www.bio.org/events/bio-international-convention/sessions/2420122,Reveal is a clinical stage company positioned to transform medical insight. Our first in class…
"Rise Therapeutics, LLC",https://www.bio.org/events/bio-international-convention/sessions/2420606,Rise Therapeutics is a clinical-stage developer of targeted oral immunotherapy drugs that leverages…
Ocugen,https://www.bio.org/events/bio-international-convention/sessions/2416132,"Ocugen, Inc. is a biotechnology company focused on discovering, developing, and commercializing…"
"Neurobiogen Co., Ltd",https://www.bio.org/events/bio-international-convention/sessions/2416045,NEUROBIOGEN prioritizes its research and development efforts to develop innovative new medicine to…
AI Proteins,https://www.bio.org/events/bio-international-convention/sessions/2429640,AI Proteins is re-imagining the possibilities of protein therapeutics by rationally designing…
MirimGENE,https://www.bio.org/events/bio-international-convention/sessions/2416037,"MirimGENE's target of focus includes WARS among human aminoacyl-tRNA synthetase (ARSs). WARS, …"
Tranquis Therapeutics Inc.,https://www.bio.org/events/bio-international-convention/sessions/2416127,"Built on the groundbreaking immuno-neurology research of our scientific founder, Dr. Edgar Engleman…"
Leveragen,https://www.bio.org/events/bio-international-convention/sessions/2416144,Leveragen is a genetic engineering company with technologies designed to revolutionize the…
Zelluna Immunotherapy,https://www.bio.org/events/bio-international-convention/sessions/2431902,"Zelluna is developing a unique and proprietary ""off the shelf"" cell therapy platform. The approach…"
ZYMEWORKS INC.,https://www.bio.org/events/bio-international-convention/sessions/2420117,"Zymeworks is a global biotechnology company developing novel, multifunctional therapeutics to…"
"AltruBio, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2429654,"AltruBio is a privately held, clinical stage biotechnology company headquartered in San Francisco,…"
Protalix Biotherapeutics,https://www.bio.org/events/bio-international-convention/sessions/2420066,"Protalix is a biopharmaceutical company focused on the development, production and…"
"NurrOn Pharmaceuticals, INC.",https://www.bio.org/events/bio-international-convention/sessions/2416052,NurrOn Pharmaceuticals Inc. is a clinical-stage biopharmaceutical company dedicated to developing…
Forge Biologics,https://www.bio.org/events/bio-international-convention/sessions/2416073,Forge Biologics is a hybrid gene therapy contract manufacturing and clinical-stage therapeutics…
Ferrer Internacional,https://www.bio.org/events/bio-international-convention/sessions/2416029,At Ferrer we want to promote a new way of doing business and a responsible way of being in the…
AMPEL BioSolutions,https://www.bio.org/events/bio-international-convention/sessions/2429645,AMPEL BioSolutions is a precision medicine company commercializing a development pipeline of CLIA…
Curate Biosciences,https://www.bio.org/events/bio-international-convention/sessions/2429649,Curate Biosciences is a life science company offering what standard cell processing technologies…
